control,s,orbit_count,unsigned_re,unsigned_im,even_only_re,even_only_im,odd_only_re,odd_only_im,parity_twist_re,parity_twist_im
baseline_digits_1_to_D_intrinsic_roof,1.25+0j,63319,0.6640698632789745,0.0,0.11157995824634016,0.0,0.5524899050326344,0.0,-0.44090994678629425,0.0
baseline_digits_1_to_D_intrinsic_roof,1.5+0j,63319,0.41394309061828005,0.0,0.045039246140277864,0.0,0.3689038444780022,0.0,-0.32386459833772435,0.0
baseline_digits_1_to_D_intrinsic_roof,2+0j,63319,0.19876516935798072,0.0,0.00907939541923493,0.0,0.18968577393874578,0.0,-0.18060637851951086,0.0
baseline_digits_1_to_D_intrinsic_roof,1.5+1j,63319,0.04688976596596408,-0.2771831609954085,-0.03197441084950237,-0.00038851240774259336,0.07886417681546645,-0.2767946485876659,-0.11083858766496883,0.2764061361799233
neighbor_digits_2_to_Dplus1_intrinsic_roof,1.25+0j,63319,0.23454675787524978,0.0,0.016636724495607883,0.0,0.2179100333796419,0.0,-0.20127330888403402,0.0
neighbor_digits_2_to_Dplus1_intrinsic_roof,1.5+0j,63319,0.1289154347482837,0.0,0.004978903190987047,0.0,0.12393653155729666,0.0,-0.11895762836630962,0.0
neighbor_digits_2_to_Dplus1_intrinsic_roof,2+0j,63319,0.043528986035108394,0.0,0.0004937799467376382,0.0,0.043035206088370755,0.0,-0.042541426141633115,0.0
neighbor_digits_2_to_Dplus1_intrinsic_roof,1.5+1j,63319,-0.05732068124410827,-0.08502097395895569,-0.00029501477524243716,0.004048134153165002,-0.05702566646886583,-0.0890691081121207,0.056730651693623395,0.0931172422652857
same_words_additive_log1p_roof_control,1.25+0j,63319,0.3379615092540181,0.0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
same_words_additive_log1p_roof_control,1.5+0j,63319,0.20166637413033078,0.0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
same_words_additive_log1p_roof_control,2+0j,63319,0.08247866053270404,0.0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
same_words_additive_log1p_roof_control,1.5+1j,63319,-0.02897713915694428,-0.14936330386617538,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
