cutoff_k,grid_id,sigma,tau,observable,method,value_re,value_im,abs_diff_vs_mpmath_100
18,R160,1.6,0.0,unsigned,numpy_complex128,15.327407409249117,0.0,1.319607883368878077702140669067322319779e-16
18,R160,1.6,0.0,unsigned,mpmath_50dps,15.327407409249117131960788336887807770214066906732,0.0,2.319778702071464955923171976540786742152e-49
18,R160,1.6,0.0,unsigned,mpmath_100dps,15.3274074092491171319607883368878077702140669067322319778702071464955923171976540786742152128454505,0.0,0.0
18,R175,1.75,0.0,unsigned,numpy_complex128,8.541189137330688,0.0,7.849425149345460891382244394160727807816e-15
18,R175,1.75,0.0,unsigned,mpmath_50dps,8.5411891373306801505748506545391086177556058392722,0.0,7.815848259334984815086786588328005548943e-51
18,R175,1.75,0.0,unsigned,mpmath_100dps,8.541189137330680150574850654539108617755605839272192184151740665015184913213411671994451056629360385,0.0,0.0
18,R190,1.9,0.0,unsigned,numpy_complex128,5.275176102049547,0.0,2.534370311969960668992969083332369376106e-15
18,R190,1.9,0.0,unsigned,mpmath_50dps,5.2751761020495444656296880300393310070309166676306,0.0,2.389351285624174543806752909739514670772e-50
18,R190,1.9,0.0,unsigned,mpmath_100dps,5.275176102049544465629688030039331007030916667630623893512856241745438067529097395146707717344482145,0.0,0.0
18,R200,2.0,0.0,unsigned,numpy_complex128,4.049667412519327,0.0,5.646473552138655259955097799211991200387e-16
18,R200,2.0,0.0,unsigned,mpmath_50dps,4.0496674125193275646473552138655259955097799211991,0.0,2.00387202641769529434634924085407909928e-50
18,R200,2.0,0.0,unsigned,mpmath_100dps,4.049667412519327564647355213865525995509779921199120038720264176952943463492408540790992796044087952,0.0,0.0
18,R2125,2.125,0.0,unsigned,numpy_complex128,3.0866731000661387,0.0,1.864628413370826368357915309419001549694e-15
18,R2125,2.125,0.0,unsigned,mpmath_50dps,3.0866731000661405646284133708263683579153094190016,0.0,5.030584536042706346633244313853543176032e-50
18,R2125,2.125,0.0,unsigned,mpmath_100dps,3.086673100066140564628413370826368357915309419001549694154639572936533667556861464568239678097301173,0.0,0.0
18,R250,2.5,0.0,unsigned,numpy_complex128,1.8457263734898925,0.0,6.009532001923937041560006219841469127268e-17
