N,p,q,mixed_mass_pq,diagonal_atom_loop_zeta_coeff_at_pq,free_mixing_zeta_coeff_at_pq,target_von_mangoldt_at_pq,diagonal_atom_loop_logderiv_at_pq,free_mixing_logderiv_at_pq,expected_free_mixing_log_pq,free_mixing_creates_spurious_mixed_term
32,2,3,6,1,2,0.0,0.0,1.791759469228055,1.791759469228055,True
32,2,5,10,1,2,0.0,0.0,2.3025850929940455,2.302585092994046,True
32,2,7,14,1,2,0.0,0.0,2.6390573296152584,2.6390573296152584,True
32,2,11,22,1,2,0.0,0.0,3.091042453358316,3.091042453358316,True
32,2,13,26,1,2,0.0,0.0,3.258096538021482,3.258096538021482,True
32,2,17,34,1,2,0.0,0.0,3.5263605246161616,3.5263605246161616,True
32,2,19,38,1,2,0.0,0.0,3.6375861597263857,3.6375861597263857,True
32,3,5,15,1,2,0.0,0.0,2.70805020110221,2.70805020110221,True
32,3,7,21,1,2,0.0,0.0,3.044522437723423,3.044522437723423,True
32,3,11,33,1,2,0.0,0.0,3.4965075614664807,3.4965075614664802,True
32,3,13,39,1,2,0.0,0.0,3.6635616461296463,3.6635616461296463,True
32,3,17,51,1,2,0.0,0.0,3.931825632724326,3.9318256327243257,True
32,3,19,57,1,2,0.0,0.0,4.04305126783455,4.04305126783455,True
32,5,7,35,1,2,0.0,0.0,3.5553480614894135,3.5553480614894135,True
32,5,11,55,1,2,0.0,0.0,4.007333185232471,4.007333185232471,True
32,5,13,65,1,2,0.0,0.0,4.174387269895637,4.174387269895637,True
32,5,17,85,1,2,0.0,0.0,4.442651256490317,4.442651256490317,True
32,5,19,95,1,2,0.0,0.0,4.553876891600541,4.553876891600541,True
32,7,11,77,1,2,0.0,0.0,4.343805421853684,4.343805421853684,True
32,7,13,91,1,2,0.0,0.0,4.51085950651685,4.51085950651685,True
32,7,17,119,1,2,0.0,0.0,4.77912349311153,4.77912349311153,True
32,7,19,133,1,2,0.0,0.0,4.890349128221754,4.890349128221754,True
32,11,13,143,1,2,0.0,0.0,4.962844630259907,4.962844630259907,True
32,11,17,187,1,2,0.0,0.0,5.231108616854587,5.231108616854587,True
32,11,19,209,1,2,0.0,0.0,5.342334251964811,5.342334251964811,True
32,13,17,221,1,2,0.0,0.0,5.398162701517753,5.3981627015177525,True
32,13,19,247,1,2,0.0,0.0,5.509388336627977,5.5093883366279774,True
32,17,19,323,1,2,0.0,0.0,5.777652323222656,5.777652323222656,True
64,2,3,6,1,2,0.0,0.0,1.791759469228055,1.791759469228055,True
64,2,5,10,1,2,0.0,0.0,2.3025850929940455,2.302585092994046,True
64,2,7,14,1,2,0.0,0.0,2.6390573296152584,2.6390573296152584,True
64,2,11,22,1,2,0.0,0.0,3.091042453358316,3.091042453358316,True
64,2,13,26,1,2,0.0,0.0,3.258096538021482,3.258096538021482,True
64,2,17,34,1,2,0.0,0.0,3.5263605246161616,3.5263605246161616,True
64,2,19,38,1,2,0.0,0.0,3.6375861597263857,3.6375861597263857,True
64,3,5,15,1,2,0.0,0.0,2.70805020110221,2.70805020110221,True
64,3,7,21,1,2,0.0,0.0,3.044522437723423,3.044522437723423,True
