n,mu,euler,homology_supertrace,boundary_squared_zero,betti_matches_sphere_or_acyclic,simplex_count_including_empty,boundary_incidence_count,max_chain_dimension,chain_dimensions,boundary_ranks_gf2,betti_gf2
2,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
3,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
4,0,0,0,True,True,2,1,0,"{""-1"": 1, ""0"": 1}","{""0"": 1}",{}
5,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
6,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
7,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
8,0,0,0,True,True,4,4,1,"{""-1"": 1, ""0"": 2, ""1"": 1}","{""0"": 1, ""1"": 1}",{}
9,0,0,0,True,True,2,1,0,"{""-1"": 1, ""0"": 1}","{""0"": 1}",{}
10,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
11,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
12,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
13,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
14,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
15,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
16,0,0,0,True,True,8,12,2,"{""-1"": 1, ""0"": 3, ""1"": 3, ""2"": 1}","{""0"": 1, ""1"": 2, ""2"": 1}",{}
17,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
18,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
19,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
20,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
21,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
22,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
23,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
24,0,0,0,True,True,20,36,2,"{""-1"": 1, ""0"": 6, ""1"": 9, ""2"": 4}","{""0"": 1, ""1"": 5, ""2"": 4}",{}
25,0,0,0,True,True,2,1,0,"{""-1"": 1, ""0"": 1}","{""0"": 1}",{}
26,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
27,0,0,0,True,True,4,4,1,"{""-1"": 1, ""0"": 2, ""1"": 1}","{""0"": 1, ""1"": 1}",{}
28,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
29,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
