p,q,mass,canonical_commutative_zeta_coefficient,free_word_zeta_coefficient,canonical_logderivative_coefficient,free_word_logderivative_coefficient,free_mixing_creates_spurious_mixed_term
2,3,6,1,2,0.0,1.791759469228055,True
2,5,10,1,2,0.0,2.302585092994046,True
2,7,14,1,2,0.0,2.6390573296152584,True
2,11,22,1,2,0.0,3.091042453358316,True
2,13,26,1,2,0.0,3.258096538021482,True
2,17,34,1,2,0.0,3.5263605246161616,True
2,19,38,1,2,0.0,3.6375861597263857,True
3,5,15,1,2,0.0,2.70805020110221,True
3,7,21,1,2,0.0,3.044522437723423,True
3,11,33,1,2,0.0,3.4965075614664802,True
3,13,39,1,2,0.0,3.6635616461296463,True
3,17,51,1,2,0.0,3.9318256327243257,True
3,19,57,1,2,0.0,4.04305126783455,True
5,7,35,1,2,0.0,3.5553480614894135,True
5,11,55,1,2,0.0,4.007333185232471,True
5,13,65,1,2,0.0,4.174387269895637,True
5,17,85,1,2,0.0,4.442651256490317,True
5,19,95,1,2,0.0,4.553876891600541,True
7,11,77,1,2,0.0,4.343805421853684,True
7,13,91,1,2,0.0,4.51085950651685,True
7,17,119,1,2,0.0,4.77912349311153,True
7,19,133,1,2,0.0,4.890349128221754,True
11,13,143,1,2,0.0,4.962844630259907,True
11,17,187,1,2,0.0,5.231108616854587,True
11,19,209,1,2,0.0,5.342334251964811,True
13,17,221,1,2,0.0,5.3981627015177525,True
13,19,247,1,2,0.0,5.5093883366279774,True
17,19,323,1,2,0.0,5.777652323222656,True
