atom,det_residual,chiral_square_residual,chiral_gauge_residual,chiral_eigen_residual,critical_gauge_unitarity_residual
2,1.1102230246251565e-16,1.1109152659243103e-16,6.938893903907228e-17,2.220446049250313e-16,4.4349060258225524e-18
3,2.220446049250313e-16,5.554250735301138e-17,1.185718710066887e-16,5.551115123125783e-16,2.5869265302195256e-17
5,5.551115123125783e-17,5.552937473392867e-17,6.938893903907228e-17,5.551115123125783e-17,9.737707618682661e-18
7,5.551115123125783e-17,2.7765342480041184e-17,5.551115123125783e-17,6.206335383118183e-17,1.3614361656256061e-17
11,2.2887833992611187e-16,2.7768793627520317e-17,6.206335383118183e-17,1.1102230246251565e-16,4.481537711018093e-18
13,1.1443916996305594e-16,3.324861113592008e-18,3.925231146709438e-17,1.387778780781446e-17,1.1441357506420753e-16
17,1.1102230246251565e-16,2.4340208294665225e-19,0.0,5.721958498152797e-17,1.1837781959376011e-18
19,2.220446049250313e-16,1.3880734968731887e-17,2.8609792490763984e-17,2.7755575615628914e-17,1.099515708287014e-17
23,2.220446049250313e-16,8.393826391608622e-20,0.0,5.551115123125783e-17,1.1102374770327012e-16
29,1.1102230246251565e-16,2.6094113054557588e-20,3.0383206275634555e-17,8.326672684688674e-17,1.8847586647835044e-17
31,1.1443916996305594e-16,1.3895295333360892e-17,3.1031676915590914e-17,2.7755575615628914e-17,8.211297822477712e-18
37,3.469446951953614e-18,2.0959855930881926e-19,0.0,5.553824967135427e-17,5.252057141623028e-18
41,1.3877787807814457e-17,6.942483645587708e-18,3.925231146709438e-17,2.8609792490763984e-17,1.1344533791775737e-16
43,2.237726045655905e-16,8.257743107052686e-19,3.925231146709438e-17,3.1031676915590914e-17,2.1153744821416386e-18
47,2.237726045655905e-16,3.470688762677502e-18,2.7755575615628914e-17,1.1102230246251565e-16,2.5075051982096616e-17
53,1.3877787807814457e-17,3.469854584060211e-18,2.7755575615628914e-17,8.355534721610419e-17,6.094352400512847e-18
59,2.220446049250313e-16,3.4710354797501854e-18,5.594315114139763e-17,2.8609792490763984e-17,1.019819184072319e-17
61,2.220446049250313e-16,1.547681379802121e-19,0.0,5.551115123125783e-17,1.116199643934045e-16
67,2.2247786310271853e-16,3.473808984384958e-18,2.8609792490763984e-17,4.163336342344337e-17,8.418343408000472e-18
71,1.3877787807814457e-17,1.734723725728501e-18,1.919037845299343e-17,4.163336342344337e-17,1.11263495553596e-16
73,2.7755575615628914e-17,3.4710153709681006e-18,1.4304896245381992e-17,5.594315114139762e-17,1.6458672991827773e-18
79,1.1102230246251565e-16,7.492250966384545e-21,1.962615573354719e-17,2.8609792490763984e-17,1.3680222824544259e-17
83,0.0,3.49189493044489e-18,1.5515838457795457e-17,2.797157557069881e-17,1.1102392208653319e-16
89,1.1102231569740467e-16,3.1668527291426886e-21,1.3878211317825933e-17,1.387789368652897e-17,1.2074368432757605e-19
97,1.1123893155135927e-16,1.7349280436699196e-18,6.938893903907228e-18,2.8609792490763984e-17,1.1439339508597862e-17
101,0.0,1.7696080164505804e-18,1.3877787807814457e-17,1.3877787807814457e-17,4.9911235903262234e-18
103,1.1102230246251565e-16,1.7476716797329235e-18,1.962615573354719e-17,1.3877787807814457e-17,1.2172858755320398e-17
107,0.0,3.4696963978691964e-18,1.4304896245381992e-17,2.7755575615628914e-17,1.937104767084255e-17
109,1.1188630228279524e-16,1.7369915513624843e-18,1.3985787785349408e-17,2.7755575615628914e-17,9.408199211813231e-18
113,1.3877787807814457e-17,1.7347313708101706e-18,3.469446951953614e-18,2.7755575615628914e-17,2.2468836051195377e-18
127,0.0,1.7373373725596496e-18,1.5515838457795457e-17,2.7755575615628914e-17,2.295605030275698e-17
131,6.938893903907228e-18,2.6102936432052566e-18,6.938893903907228e-18,5.561946577567963e-17,1.121400886246332e-17
137,1.734723475976807e-18,4.368994635155706e-20,0.0,4.16423974613979e-17,1.1104242422297542e-16
139,0.0,1.7347334206072928e-18,2.168404344971009e-19,4.163336342344337e-17,2.0540604577057893e-19
149,0.0,8.6744222665681e-19,3.1031676915590914e-17,4.1777673608052095e-17,1.111571391770104e-16
151,6.938893903907228e-18,1.7349549656335328e-18,1.962615573354719e-17,0.0,2.7623794713153424e-17
157,6.938893903907228e-18,1.734780855717402e-18,6.938893903907228e-18,5.551115123125783e-17,1.1388694672863792e-16
163,2.2247786310271853e-16,8.704034260858352e-19,1.5515838457795457e-17,2.8609792490763984e-17,1.0756541351121622e-17
167,2.220446049250313e-16,2.6021052280959422e-18,3.469446951953614e-18,2.7755575615628914e-17,1.819446094256168e-17
173,2.220446049250313e-16,1.7348874295818967e-18,1.5515838457795457e-17,2.8609792490763984e-17,1.2776826237938624e-18
179,0.0,6.257655694836089e-21,6.938893903907228e-18,1.3877787807814457e-17,1.7522312881513313e-18
181,1.1188630228279524e-16,8.69657342296528e-19,1.4304896245381992e-17,5.551115123125783e-17,2.4750427576629263e-17
191,1.1102230246251565e-16,1.2332503793643974e-19,1.3877787807814457e-17,2.797157557069881e-17,1.110523125758883e-16
193,6.938893903907228e-18,8.685278049776087e-19,0.0,4.1777673608052095e-17,2.104134654923795e-17
197,0.0,1.7459657045099753e-18,6.938893903907228e-18,0.0,1.1115598709755916e-16
199,1.1123893155135927e-16,8.67530648884131e-19,6.938893903907228e-18,4.1777673608052095e-17,2.1862369850047e-17
211,1.1107649934270853e-16,1.0147796204038432e-19,0.0,1.3877787807814457e-17,4.1927447861794385e-18
223,2.220513810852149e-16,8.675500542059597e-19,2.7971575570698816e-17,1.3904866443919908e-17,1.1119892130112216e-16
227,1.1102230246251565e-16,1.7353346472802883e-18,1.5515838457795457e-17,1.3877787807814457e-17,1.2938272816636516e-17
229,1.1102230246251565e-16,1.7365771308318683e-18,7.757919228897728e-18,4.166948782366562e-17,1.3315091654715229e-17
233,0.0,1.736958903956305e-18,7.757919228897728e-18,2.7809732887839817e-17,4.337957261686348e-18
239,1.1102230246251565e-16,1.4231367295168704e-19,6.938893903907228e-18,2.7755575615628914e-17,1.1328277313152248e-16
241,0.0,1.7362529842614996e-18,9.813077866773595e-18,5.551115123125783e-17,2.2288966048284063e-16
251,1.1102230246251565e-16,8.699156851481162e-19,1.5515838457795457e-17,2.7755575615628914e-17,1.1219126589376528e-16
257,1.1123893155135927e-16,8.708976162637883e-19,6.938893903907228e-18,6.938893903907228e-18,1.8046282150441197e-17
263,6.938893903907228e-18,1.3021286483698293e-18,2.1942709178604383e-17,1.4304896245381992e-17,2.4721799898571427e-17
269,1.1123893155135927e-16,2.0351857817663306e-20,1.5922644930580816e-17,4.220764384040162e-17,2.3281775723567215e-17
271,1.1102230246251565e-16,8.674069557344694e-19,2.6020852139652106e-18,2.7755575615628914e-17,4.353884450426667e-18
277,4.441434166503682e-16,8.673630581086927e-19,1.3985787785349408e-17,6.938893903907228e-18,1.9501477804588244e-17
281,1.3877787807814457e-17,1.7353309056051023e-18,7.757919228897728e-18,2.0816681711721685e-17,1.946569149561067e-17
283,2.2215299868541707e-16,8.676959782821954e-19,1.4821483875836088e-17,2.110382192020081e-17,1.8697352021152676e-17
293,4.440892098500626e-16,1.73718657035113e-18,1.734723475976807e-17,1.4304896245381992e-17,1.434153872661387e-17
307,2.220446049250313e-16,8.6762418636587e-19,2.501853776554201e-17,2.7755575615628914e-17,1.1123402984356297e-16
311,2.2215299868541707e-16,8.734897266193349e-19,6.938893903907228e-18,7.757919228897728e-18,1.1105225362611675e-16
313,2.220446049250313e-16,1.7349171231910948e-18,9.813077866773595e-18,0.0,1.115715069893971e-16
317,3.469446951953614e-18,8.740402491235995e-19,2.3273757686693185e-17,1.4304896245381992e-17,2.3453923082921827e-17
331,2.220513810852149e-16,1.9130900627672498e-20,1.4304896245381992e-17,2.7755575615628914e-17,6.452820244922577e-18
337,2.220446049250313e-16,4.338141508567583e-19,1.734723475976807e-18,6.938893903907228e-18,2.7956911651153677e-18
347,4.440900568822021e-16,4.336904304702336e-19,0.0,2.7755575615628914e-17,3.0166575219630665e-18
349,2.220513810852149e-16,4.3409743769629845e-19,7.152448122690996e-18,2.7758963540648015e-17,1.1103751582893275e-16
