length,closed_path_count,mixed_closed_path_count,tau_surviving_path_count,tau_surviving_mixed_path_count,distinct_closed_reduced_words,tau_trace,tau_trace_expanded,identity_examples,mixed_identity_examples,target,trace_exact
1,3,0,3,0,1,x0 + x1 + x2,x0 + x1 + x2,"[{""coefficient"": ""x0"", ""edge_names"": [""loop_0""], ""start"": 0, ""states"": [0, 0]}, {""coefficient"": ""x1"", ""edge_names"": [""loop_1""], ""start"": 1, ""states"": [1, 1]}, {""coefficient"": ""x2"", ""edge_names"": [""loop_2""], ""start"": 2, ""states"": [2, 2]}]",[],x0 + x1 + x2,True
2,7,4,3,0,5,x0**2 + x1**2 + x2**2,x0**2 + x1**2 + x2**2,"[{""coefficient"": ""x0**2"", ""edge_names"": [""loop_0"", ""loop_0""], ""start"": 0, ""states"": [0, 0, 0]}, {""coefficient"": ""x1**2"", ""edge_names"": [""loop_1"", ""loop_1""], ""start"": 1, ""states"": [1, 1, 1]}, {""coefficient"": ""x2**2"", ""edge_names"": [""loop_2"", ""loop_2""], ""start"": 2, ""states"": [2, 2, 2]}]",[],x0**2 + x1**2 + x2**2,True
3,15,12,3,0,5,x0**3 + x1**3 + x2**3,x0**3 + x1**3 + x2**3,"[{""coefficient"": ""x0**3"", ""edge_names"": [""loop_0"", ""loop_0"", ""loop_0""], ""start"": 0, ""states"": [0, 0, 0, 0]}, {""coefficient"": ""x1**3"", ""edge_names"": [""loop_1"", ""loop_1"", ""loop_1""], ""start"": 1, ""states"": [1, 1, 1, 1]}, {""coefficient"": ""x2**3"", ""edge_names"": [""loop_2"", ""loop_2"", ""loop_2""], ""start"": 2, ""states"": [2, 2, 2, 2]}]",[],x0**3 + x1**3 + x2**3,True
4,35,32,3,0,13,x0**4 + x1**4 + x2**4,x0**4 + x1**4 + x2**4,"[{""coefficient"": ""x0**4"", ""edge_names"": [""loop_0"", ""loop_0"", ""loop_0"", ""loop_0""], ""start"": 0, ""states"": [0, 0, 0, 0, 0]}, {""coefficient"": ""x1**4"", ""edge_names"": [""loop_1"", ""loop_1"", ""loop_1"", ""loop_1""], ""start"": 1, ""states"": [1, 1, 1, 1, 1]}, {""coefficient"": ""x2**4"", ""edge_names"": [""loop_2"", ""loop_2"", ""loop_2"", ""loop_2""], ""start"": 2, ""states"": [2, 2, 2, 2, 2]}]",[],x0**4 + x1**4 + x2**4,True
5,83,80,3,0,13,x0**5 + x1**5 + x2**5,x0**5 + x1**5 + x2**5,"[{""coefficient"": ""x0**5"", ""edge_names"": [""loop_0"", ""loop_0"", ""loop_0"", ""loop_0"", ""loop_0""], ""start"": 0, ""states"": [0, 0, 0, 0, 0, 0]}, {""coefficient"": ""x1**5"", ""edge_names"": [""loop_1"", ""loop_1"", ""loop_1"", ""loop_1"", ""loop_1""], ""start"": 1, ""states"": [1, 1, 1, 1, 1, 1]}, {""coefficient"": ""x2**5"", ""edge_names"": [""loop_2"", ""loop_2"", ""loop_2"", ""loop_2"", ""loop_2""], ""start"": 2, ""states"": [2, 2, 2, 2, 2, 2]}]",[],x0**5 + x1**5 + x2**5,True
6,199,196,3,0,29,x0**6 + x1**6 + x2**6,x0**6 + x1**6 + x2**6,"[{""coefficient"": ""x0**6"", ""edge_names"": [""loop_0"", ""loop_0"", ""loop_0"", ""loop_0"", ""loop_0"", ""loop_0""], ""start"": 0, ""states"": [0, 0, 0, 0, 0, 0, 0]}, {""coefficient"": ""x1**6"", ""edge_names"": [""loop_1"", ""loop_1"", ""loop_1"", ""loop_1"", ""loop_1"", ""loop_1""], ""start"": 1, ""states"": [1, 1, 1, 1, 1, 1, 1]}, {""coefficient"": ""x2**6"", ""edge_names"": [""loop_2"", ""loop_2"", ""loop_2"", ""loop_2"", ""loop_2"", ""loop_2""], ""start"": 2, ""states"": [2, 2, 2, 2, 2, 2, 2]}]",[],x0**6 + x1**6 + x2**6,True
7,479,476,3,0,29,x0**7 + x1**7 + x2**7,x0**7 + x1**7 + x2**7,"[{""coefficient"": ""x0**7"", ""edge_names"": [""loop_0"", ""loop_0"", ""loop_0"", ""loop_0"", ""loop_0"", ""loop_0"", ""loop_0""], ""start"": 0, ""states"": [0, 0, 0, 0, 0, 0, 0, 0]}, {""coefficient"": ""x1**7"", ""edge_names"": [""loop_1"", ""loop_1"", ""loop_1"", ""loop_1"", ""loop_1"", ""loop_1"", ""loop_1""], ""start"": 1, ""states"": [1, 1, 1, 1, 1, 1, 1, 1]}, {""coefficient"": ""x2**7"", ""edge_names"": [""loop_2"", ""loop_2"", ""loop_2"", ""loop_2"", ""loop_2"", ""loop_2"", ""loop_2""], ""start"": 2, ""states"": [2, 2, 2, 2, 2, 2, 2, 2]}]",[],x0**7 + x1**7 + x2**7,True
8,1155,1152,3,0,61,x0**8 + x1**8 + x2**8,x0**8 + x1**8 + x2**8,"[{""coefficient"": ""x0**8"", ""edge_names"": [""loop_0"", ""loop_0"", ""loop_0"", ""loop_0"", ""loop_0"", ""loop_0"", ""loop_0"", ""loop_0""], ""start"": 0, ""states"": [0, 0, 0, 0, 0, 0, 0, 0, 0]}, {""coefficient"": ""x1**8"", ""edge_names"": [""loop_1"", ""loop_1"", ""loop_1"", ""loop_1"", ""loop_1"", ""loop_1"", ""loop_1"", ""loop_1""], ""start"": 1, ""states"": [1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""coefficient"": ""x2**8"", ""edge_names"": [""loop_2"", ""loop_2"", ""loop_2"", ""loop_2"", ""loop_2"", ""loop_2"", ""loop_2"", ""loop_2""], ""start"": 2, ""states"": [2, 2, 2, 2, 2, 2, 2, 2, 2]}]",[],x0**8 + x1**8 + x2**8,True
9,2787,2784,3,0,61,x0**9 + x1**9 + x2**9,x0**9 + x1**9 + x2**9,"[{""coefficient"": ""x0**9"", ""edge_names"": [""loop_0"", ""loop_0"", ""loop_0"", ""loop_0"", ""loop_0"", ""loop_0"", ""loop_0"", ""loop_0"", ""loop_0""], ""start"": 0, ""states"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {""coefficient"": ""x1**9"", ""edge_names"": [""loop_1"", ""loop_1"", ""loop_1"", ""loop_1"", ""loop_1"", ""loop_1"", ""loop_1"", ""loop_1"", ""loop_1""], ""start"": 1, ""states"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""coefficient"": ""x2**9"", ""edge_names"": [""loop_2"", ""loop_2"", ""loop_2"", ""loop_2"", ""loop_2"", ""loop_2"", ""loop_2"", ""loop_2"", ""loop_2""], ""start"": 2, ""states"": [2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}]",[],x0**9 + x1**9 + x2**9,True
10,6727,6724,3,0,125,x0**10 + x1**10 + x2**10,x0**10 + x1**10 + x2**10,"[{""coefficient"": ""x0**10"", ""edge_names"": [""loop_0"", ""loop_0"", ""loop_0"", ""loop_0"", ""loop_0"", ""loop_0"", ""loop_0"", ""loop_0"", ""loop_0"", ""loop_0""], ""start"": 0, ""states"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {""coefficient"": ""x1**10"", ""edge_names"": [""loop_1"", ""loop_1"", ""loop_1"", ""loop_1"", ""loop_1"", ""loop_1"", ""loop_1"", ""loop_1"", ""loop_1"", ""loop_1""], ""start"": 1, ""states"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}, {""coefficient"": ""x2**10"", ""edge_names"": [""loop_2"", ""loop_2"", ""loop_2"", ""loop_2"", ""loop_2"", ""loop_2"", ""loop_2"", ""loop_2"", ""loop_2"", ""loop_2""], ""start"": 2, ""states"": [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}]",[],x0**10 + x1**10 + x2**10,True
