length,closed_path_count,mixed_closed_path_count,identity_survivor_count,mixed_identity_survivor_count,trace,trace_expanded,mixed_identity_examples,target,trace_exact,specialized_target
1,0,0,0,0,0,0,[],0,True,0
2,14,8,6,0,2*(a0*b0 + a1*b1 + a2*b2),2*a0*b0 + 2*a1*b1 + 2*a2*b2,[],2*a0*b0 + 2*a1*b1 + 2*a2*b2,True,2*sum_p p^(-1)
3,0,0,0,0,0,0,[],0,True,0
4,70,64,6,0,2*(a0**2*b0**2 + a1**2*b1**2 + a2**2*b2**2),2*a0**2*b0**2 + 2*a1**2*b1**2 + 2*a2**2*b2**2,[],2*a0**2*b0**2 + 2*a1**2*b1**2 + 2*a2**2*b2**2,True,2*sum_p p^(-2)
5,0,0,0,0,0,0,[],0,True,0
6,398,392,6,0,2*(a0**3*b0**3 + a1**3*b1**3 + a2**3*b2**3),2*a0**3*b0**3 + 2*a1**3*b1**3 + 2*a2**3*b2**3,[],2*a0**3*b0**3 + 2*a1**3*b1**3 + 2*a2**3*b2**3,True,2*sum_p p^(-3)
7,0,0,0,0,0,0,[],0,True,0
8,2310,2304,6,0,2*(a0**4*b0**4 + a1**4*b1**4 + a2**4*b2**4),2*a0**4*b0**4 + 2*a1**4*b1**4 + 2*a2**4*b2**4,[],2*a0**4*b0**4 + 2*a1**4*b1**4 + 2*a2**4*b2**4,True,2*sum_p p^(-4)
9,0,0,0,0,0,0,[],0,True,0
10,13454,13448,6,0,2*(a0**5*b0**5 + a1**5*b1**5 + a2**5*b2**5),2*a0**5*b0**5 + 2*a1**5*b1**5 + 2*a2**5*b2**5,[],2*a0**5*b0**5 + 2*a1**5*b1**5 + 2*a2**5*b2**5,True,2*sum_p p^(-5)
11,0,0,0,0,0,0,[],0,True,0
12,78406,78400,6,0,2*(a0**6*b0**6 + a1**6*b1**6 + a2**6*b2**6),2*a0**6*b0**6 + 2*a1**6*b1**6 + 2*a2**6*b2**6,[],2*a0**6*b0**6 + 2*a1**6*b1**6 + 2*a2**6*b2**6,True,2*sum_p p^(-6)
