seed,pairing,mixed_atom_terms,trace_C2_range,motion
-1,"identity:2->2,3->3",0,0.0,False
-2,cross:2<->3,2,3.2657650176352018,True
0,5<->11;7<->17;13<->2;3<->19,8,4.238618241949579,True
1,13<->2;3<->11;5<->17;7<->19,8,4.108282226340055,True
2,17<->13;19<->5;7<->11;2<->3,8,5.3157247949895226,True
3,17<->19;5<->3;11<->13;7<->2,8,5.083093998875377,True
4,3<->5;2<->19;11<->13;7<->17,8,4.721646168695548,True
5,3<->11;5<->7;19<->13;17<->2,8,4.455126397209593,True
6,5<->13;7<->19;2<->11;3<->17,8,4.3878395293598755,True
7,2<->17;19<->5;11<->13;3<->7,8,4.009938007069225,True
8,7<->19;2<->13;17<->3;5<->11,8,3.9669730316268526,True
9,7<->19;13<->5;11<->2;17<->3,8,4.3878395293598755,True
10,3<->5;7<->11;17<->19;13<->2,8,4.636391435963001,True
11,7<->3;19<->13;11<->5;2<->17,8,4.325365522341304,True
12,3<->17;7<->13;5<->19;11<->2,8,4.3264400824473,True
13,2<->19;7<->5;13<->17;3<->11,8,4.178798387637456,True
14,7<->17;11<->2;19<->3;5<->13,8,3.7776127547408382,True
15,5<->2;7<->17;11<->19;13<->3,8,4.526978902056225,True
16,17<->2;11<->7;13<->3;19<->5,8,4.008335051124438,True
17,3<->2;17<->11;5<->19;13<->7,8,5.169127452879808,True
18,5<->17;2<->11;13<->3;19<->7,8,4.409700712623874,True
19,2<->5;3<->13;11<->19;7<->17,8,4.526978902056225,True
20,17<->2;11<->19;3<->13;7<->5,8,4.5277989137357375,True
21,13<->2;11<->3;17<->7;19<->5,8,4.280133374486698,True
22,3<->19;17<->5;13<->2;11<->7,8,4.163601205507409,True
23,5<->7;17<->13;19<->2;3<->11,8,4.178798387637456,True
24,19<->17;13<->7;5<->3;11<->2,8,4.5828477259671,True
25,17<->5;3<->7;13<->19;2<->11,8,3.870732570869394,True
26,19<->13;2<->5;7<->17;3<->11,8,4.591156275435441,True
27,3<->2;5<->19;7<->11;17<->13,8,5.3157247949895226,True
28,17<->7;3<->11;13<->5;19<->2,8,3.4794451903048924,True
29,13<->7;2<->17;19<->5;11<->3,8,4.071191503891649,True
30,3<->17;2<->13;11<->19;7<->5,8,4.0759583828829,True
31,11<->5;3<->13;7<->2;17<->19,8,4.909479267468998,True
