repetition,relative_trace,log_coefficient,target_log_coefficient,exact
1,a0 + a1 + a2 - b0 - b1 - b2,-a0 - a1 - a2 + b0 + b1 + b2,-a0 - a1 - a2 + b0 + b1 + b2,True
2,a0**2 + a1**2 + a2**2 - b0**2 - b1**2 - b2**2,-a0**2/2 - a1**2/2 - a2**2/2 + b0**2/2 + b1**2/2 + b2**2/2,-a0**2/2 - a1**2/2 - a2**2/2 + b0**2/2 + b1**2/2 + b2**2/2,True
3,a0**3 + a1**3 + a2**3 - b0**3 - b1**3 - b2**3,-a0**3/3 - a1**3/3 - a2**3/3 + b0**3/3 + b1**3/3 + b2**3/3,-a0**3/3 - a1**3/3 - a2**3/3 + b0**3/3 + b1**3/3 + b2**3/3,True
4,a0**4 + a1**4 + a2**4 - b0**4 - b1**4 - b2**4,-a0**4/4 - a1**4/4 - a2**4/4 + b0**4/4 + b1**4/4 + b2**4/4,-a0**4/4 - a1**4/4 - a2**4/4 + b0**4/4 + b1**4/4 + b2**4/4,True
5,a0**5 + a1**5 + a2**5 - b0**5 - b1**5 - b2**5,-a0**5/5 - a1**5/5 - a2**5/5 + b0**5/5 + b1**5/5 + b2**5/5,-a0**5/5 - a1**5/5 - a2**5/5 + b0**5/5 + b1**5/5 + b2**5/5,True
6,a0**6 + a1**6 + a2**6 - b0**6 - b1**6 - b2**6,-a0**6/6 - a1**6/6 - a2**6/6 + b0**6/6 + b1**6/6 + b2**6/6,-a0**6/6 - a1**6/6 - a2**6/6 + b0**6/6 + b1**6/6 + b2**6/6,True
7,a0**7 + a1**7 + a2**7 - b0**7 - b1**7 - b2**7,-a0**7/7 - a1**7/7 - a2**7/7 + b0**7/7 + b1**7/7 + b2**7/7,-a0**7/7 - a1**7/7 - a2**7/7 + b0**7/7 + b1**7/7 + b2**7/7,True
8,a0**8 + a1**8 + a2**8 - b0**8 - b1**8 - b2**8,-a0**8/8 - a1**8/8 - a2**8/8 + b0**8/8 + b1**8/8 + b2**8/8,-a0**8/8 - a1**8/8 - a2**8/8 + b0**8/8 + b1**8/8 + b2**8/8,True
9,a0**9 + a1**9 + a2**9 - b0**9 - b1**9 - b2**9,-a0**9/9 - a1**9/9 - a2**9/9 + b0**9/9 + b1**9/9 + b2**9/9,-a0**9/9 - a1**9/9 - a2**9/9 + b0**9/9 + b1**9/9 + b2**9/9,True
10,a0**10 + a1**10 + a2**10 - b0**10 - b1**10 - b2**10,-a0**10/10 - a1**10/10 - a2**10/10 + b0**10/10 + b1**10/10 + b2**10/10,-a0**10/10 - a1**10/10 - a2**10/10 + b0**10/10 + b1**10/10 + b2**10/10,True
