order,first_leak_repetition,first_leak_equals_order,max_det_error_vs_haar,formula
2,2,True,0.17289786483170103,(1-q)*(1-q^N)^(c/N)
3,3,True,0.09773538212710721,(1-q)*(1-q^N)^(c/N)
4,4,True,0.06193635224378464,(1-q)*(1-q^N)^(c/N)
5,5,True,0.04268072752009787,(1-q)*(1-q^N)^(c/N)
6,6,True,0.031297402250270154,(1-q)*(1-q^N)^(c/N)
7,7,True,0.024082609716592315,(1-q)*(1-q^N)^(c/N)
8,8,True,0.0192653302582649,(1-q)*(1-q^N)^(c/N)
9,9,True,0.01591825090929654,(1-q)*(1-q^N)^(c/N)
10,10,True,0.013518515806715568,(1-q)*(1-q^N)^(c/N)
11,11,True,0.011751140509934132,(1-q)*(1-q^N)^(c/N)
12,12,True,0.010412118973571723,(1-q)*(1-q^N)^(c/N)
13,13,True,0.009355411268197476,(1-q)*(1-q^N)^(c/N)
14,14,True,0.008461316219884107,(1-q)*(1-q^N)^(c/N)
15,15,True,0.007622508646765304,(1-q)*(1-q^N)^(c/N)
16,16,True,0.00675894774610407,(1-q)*(1-q^N)^(c/N)
17,17,True,0.00585823619385605,(1-q)*(1-q^N)^(c/N)
18,18,True,0.004979886982168263,(1-q)*(1-q^N)^(c/N)
19,19,True,0.004193851429399967,(1-q)*(1-q^N)^(c/N)
20,20,True,0.003532592709733076,(1-q)*(1-q^N)^(c/N)
21,21,True,0.0029940904930005835,(1-q)*(1-q^N)^(c/N)
22,22,True,0.002560929409540035,(1-q)*(1-q^N)^(c/N)
23,23,True,0.002212776604942399,(1-q)*(1-q^N)^(c/N)
24,24,True,0.0019313760180904942,(1-q)*(1-q^N)^(c/N)
25,25,True,0.0017017554590456046,(1-q)*(1-q^N)^(c/N)
26,26,True,0.0015120236081258294,(1-q)*(1-q^N)^(c/N)
27,27,True,0.0013527973873156416,(1-q)*(1-q^N)^(c/N)
28,28,True,0.001216647005128367,(1-q)*(1-q^N)^(c/N)
29,29,True,0.0010976879737394224,(1-q)*(1-q^N)^(c/N)
30,30,True,0.00099135195190286,(1-q)*(1-q^N)^(c/N)
31,31,True,0.0008943112569806382,(1-q)*(1-q^N)^(c/N)
32,32,True,0.0008044677270940431,(1-q)*(1-q^N)^(c/N)
33,33,True,0.0007208653239865737,(1-q)*(1-q^N)^(c/N)
34,34,True,0.0006434176809378249,(1-q)*(1-q^N)^(c/N)
35,35,True,0.0005724787163915732,(1-q)*(1-q^N)^(c/N)
36,36,True,0.0005084159084266384,(1-q)*(1-q^N)^(c/N)
37,37,True,0.0004513411312306371,(1-q)*(1-q^N)^(c/N)
38,38,True,0.000401037185694559,(1-q)*(1-q^N)^(c/N)
39,39,True,0.00035701708938838423,(1-q)*(1-q^N)^(c/N)
40,40,True,0.00031863147381654274,(1-q)*(1-q^N)^(c/N)
41,41,True,0.00028516858052663087,(1-q)*(1-q^N)^(c/N)
42,42,True,0.00025592603059656073,(1-q)*(1-q^N)^(c/N)
43,43,True,0.00023025426585743708,(1-q)*(1-q^N)^(c/N)
44,44,True,0.0002075790350039422,(1-q)*(1-q^N)^(c/N)
45,45,True,0.0001874106001710442,(1-q)*(1-q^N)^(c/N)
46,46,True,0.00016934506625800304,(1-q)*(1-q^N)^(c/N)
47,47,True,0.0001530607130588767,(1-q)*(1-q^N)^(c/N)
48,48,True,0.00013831042271070546,(1-q)*(1-q^N)^(c/N)
49,49,True,0.00012491059836436158,(1-q)*(1-q^N)^(c/N)
50,50,True,0.00011272729260616394,(1-q)*(1-q^N)^(c/N)
51,51,True,0.00010166110082898023,(1-q)*(1-q^N)^(c/N)
52,52,True,9.163297558177494e-05,(1-q)*(1-q^N)^(c/N)
53,53,True,8.257294495301144e-05,(1-q)*(1-q^N)^(c/N)
54,54,True,7.441280530384339e-05,(1-q)*(1-q^N)^(c/N)
55,55,True,6.708271373469989e-05,(1-q)*(1-q^N)^(c/N)
56,56,True,6.051076930686001e-05,(1-q)*(1-q^N)^(c/N)
57,57,True,5.4624372604095904e-05,(1-q)*(1-q^N)^(c/N)
58,58,True,4.935229111698069e-05,(1-q)*(1-q^N)^(c/N)
59,59,True,4.462669696888771e-05,(1-q)*(1-q^N)^(c/N)
60,60,True,4.03847860874648e-05,(1-q)*(1-q^N)^(c/N)
61,61,True,3.6569838376695576e-05,(1-q)*(1-q^N)^(c/N)
62,62,True,3.313172394123517e-05,(1-q)*(1-q^N)^(c/N)
63,63,True,3.0026928263176825e-05,(1-q)*(1-q^N)^(c/N)
64,64,True,2.7218194046109323e-05,(1-q)*(1-q^N)^(c/N)
