frequency,epsilon,density_minimum,density_nonnegative,first_leak_repetition,first_leak_equals_frequency,leak_value,determinant_real,determinant_imag,determinant_formula
1,-0.25,0.5,True,1,True,0.75,0.44915863650827564,-0.14784531770639167,(1-q)*exp(-c*epsilon*q^k/k)
1,-0.1,0.8,True,1,True,0.9,0.4063513677604617,-0.14328003616368457,(1-q)*exp(-c*epsilon*q^k/k)
1,0.1,0.8,True,1,True,1.1,0.35527838603246087,-0.13657072278838114,(1-q)*exp(-c*epsilon*q^k/k)
1,0.25,0.5,True,1,True,1.25,0.32104287950859006,-0.13121269122160545,(1-q)*exp(-c*epsilon*q^k/k)
2,-0.25,0.5,True,2,True,0.75,0.40081500337891907,-0.13786724899278902,(1-q)*exp(-c*epsilon*q^k/k)
2,-0.1,0.8,True,2,True,0.9,0.3882177732578765,-0.1392125873903249,(1-q)*exp(-c*epsilon*q^k/k)
2,0.1,0.8,True,2,True,1.1,0.37192435303779975,-0.14070311114749304,(1-q)*exp(-c*epsilon*q^k/k)
2,0.25,0.5,True,2,True,1.25,0.3600733129853535,-0.14160568447916286,(1-q)*exp(-c*epsilon*q^k/k)
3,-0.25,0.5,True,3,True,0.75,0.3882957936328513,-0.1372519065880426,(1-q)*exp(-c*epsilon*q^k/k)
3,-0.1,0.8,True,3,True,0.9,0.38330593045880684,-0.13891945991829158,(1-q)*exp(-c*epsilon*q^k/k)
3,0.1,0.8,True,3,True,1.1,0.37671060879810675,-0.14105590700242696,(1-q)*exp(-c*epsilon*q^k/k)
3,0.25,0.5,True,3,True,1.25,0.3718075727095116,-0.14259413228179474,(1-q)*exp(-c*epsilon*q^k/k)
4,-0.25,0.5,True,4,True,0.75,0.3835561772229268,-0.13787170658834252,(1-q)*exp(-c*epsilon*q^k/k)
4,-0.1,0.8,True,4,True,0.9,0.3814217458561253,-0.1391537027023771,(1-q)*exp(-c*epsilon*q^k/k)
4,0.1,0.8,True,4,True,1.1,0.3785792426080091,-0.140839627547343,(1-q)*exp(-c*epsilon*q^k/k)
4,0.25,0.5,True,4,True,1.25,0.3764500003714769,-0.14208660749042618,(1-q)*exp(-c*epsilon*q^k/k)
