c,q_abs,q_arg,unnormalized_positive_moment_r1,normalized_state_moment_r1,analytic_D_real,analytic_D_imag,fk_unnormalized,fk_normalized,fk_quadrature,fk_quadrature_residual
0.25,0.5,0.37,1.0,0.8,0.5338363271969828,-0.180807715982481,0.5636245686571564,0.6321089401506363,0.5636245686571564,0.0
0.25,0.9,0.37,1.0,0.8,0.16090538895456896,-0.3254538887684658,0.3630575407688677,0.4446111699329772,0.36305754076886765,5.551115123125783e-17
0.25,1.1,0.37,1.0,0.8,-0.025560080166638022,-0.3977769751614582,0.4082089925985407,0.4883217341025271,0.40820899259854077,5.551115123125783e-17
0.25,1.5000000000000002,0.36999999999999994,1.0,0.8,-0.39849101840905177,-0.542423147947443,0.7448700739426252,0.7900679073351484,0.7448700739426252,0.0
1.0,0.5,0.37,1.0,0.5,0.5338363271969828,-0.180807715982481,0.5636245686571564,0.7507493380997124,0.5636245686571564,0.0
1.0,0.9,0.37,1.0,0.5,0.16090538895456896,-0.3254538887684658,0.3630575407688677,0.6025425634499755,0.36305754076886765,5.551115123125783e-17
1.0,1.1,0.37,1.0,0.5,-0.025560080166638022,-0.3977769751614582,0.4384570742920411,0.6621609126881781,0.4384570742920411,0.0
1.0,1.5000000000000002,0.36999999999999994,1.0,0.5,-0.39849101840905177,-0.542423147947443,1.009599136865354,1.0047881054557493,1.009599136865354,0.0
3.0,0.5,0.37,1.0,0.25,0.5338363271969828,-0.180807715982481,0.5636245686571564,0.8664579263297858,0.5636245686571565,1.1102230246251565e-16
3.0,0.9,0.37,1.0,0.25,0.16090538895456896,-0.3254538887684658,0.3630575407688677,0.7762361518571365,0.36305754076886765,5.551115123125783e-17
3.0,1.1,0.37,1.0,0.25,-0.025560080166638022,-0.3977769751614582,0.5305330598933699,0.85345005943933,0.53053305989337,1.1102230246251565e-16
3.0,1.5000000000000002,0.36999999999999994,1.0,0.25,-0.39849101840905177,-0.542423147947443,2.271598057947047,1.2276734737639419,2.2715980579470467,4.440892098500626e-16
