n,total,fixed,two_cycles
0,1,1,0
1,1,1,0
2,1,1,0
3,2,2,0
4,5,5,0
5,14,8,3
6,42,36,3
7,132,48,42
8,429,303,63
9,1430,368,531
10,4862,2792,1035
11,16796,3248,6774
12,58786,27310,15738
13,208012,31132,88440
14,742900,278632,232134
15,2674440,314316,1180062
16,9694845,2932743,3381051
17,35357670,3288228,16034721
18,129644790,31615008,49014891
19,477638700,35306568,221166066
20,1767263190,347300346,709981422
21,6564120420,386757852,3088681284
22,24466267020,3873858456,10296204282
23,91482563640,4304750304,43588906668
24,343059613650,43757299494,149651157078
25,1289904147324,48542356416,620680895454
26,4861946401452,499511716368,2181217342542
27,18367353072152,553374830480,8906989120836
28,69533550916004,5753679965180,31889935475412
29,263747951750360,6366836554088,128690557598136
30,1002242216651368,66789640572640,467726288039364
