n	antichain_coefficients_s0_up	E_X	E_X2	min_output	min_probability	support_size
1	1	1	1	1	1	1
2	1;1	2	4	2	1	1
3	1;2	3	9	3	1	1
4	1;3;1/3	13/3	19	4	2/3	2
5	1;4;7/6	37/6	233/6	5	1/3	3
6	1;5;13/5;2/15	131/15	393/5	6	2/15	6
7	1;6;47/10;59/90	556/45	7141/45	7	2/45	9
8	1;7;263/35;121/63;17/315	787/45	100981/315	8	4/315	15
9	1;8;1551/140;1221/280;43/126	8921/360	1634729/2520	9	1/315	25
10	1;9;1943/126;10673/1260;14047/11340;62/2835	9491/270	1242881/945	10	2/2835	40
11	1;10;25909/1260;186433/12600;384107/113400;2396/14175	134771/2700	560983/210	11	2/14175	63
12	1;11;30634/1155;59216/2475;1611493/207900;22826/31185;1382/155925	702313/9900	25105669/4620	12	4/155925	97
