charge_case,N,r,cross_count,charge,pure,closed_word_count,coefficient
positive,2,1,0,0,True,2,13/36
positive,2,2,0,0,True,2,97/1296
positive,2,2,2,2,False,2,169/2592
positive,2,3,0,0,True,2,793/46656
positive,2,3,2,2,False,6,2197/62208
positive,2,4,0,0,True,2,6817/1679616
positive,2,4,2,2,False,12,22477/1679616
positive,2,4,4,4,False,2,28561/13436928
positive,2,5,0,0,True,2,60073/60466176
positive,2,5,2,2,False,20,1065545/241864704
positive,2,5,4,4,False,10,1856465/967458816
positive,2,6,0,0,True,2,535537/2176782336
positive,2,6,2,2,False,30,1961245/1451188224
positive,2,6,4,4,False,30,4141345/3869835264
positive,2,6,6,6,False,2,4826809/69657034752
positive,2,7,0,0,True,2,4799353/78364164096
positive,2,7,2,2,False,42,124769827/313456656384
positive,2,7,4,4,False,70,298890865/626913312768
positive,2,7,6,6,False,14,439239619/5015306502144
positive,2,8,0,0,True,2,43112257/2821109907456
positive,2,8,2,2,False,56,161110573/1410554953728
positive,2,8,4,4,False,140,2104517285/11284439629824
positive,2,8,6,6,False,56,728848159/11284439629824
positive,2,8,8,8,False,2,815730721/361102068154368
positive,2,9,0,0,True,2,387682633/101559956668416
positive,2,9,2,2,False,72,1452764053/45137758519296
positive,2,9,4,4,False,252,4037068789/60183678025728
positive,2,9,6,6,False,168,39468817193/1083306204463104
positive,2,9,8,8,False,18,10604499373/2888816545234944
positive,2,10,0,0,True,2,3487832977/3656158440062976
positive,2,10,2,2,False,90,65429760305/7312316880125952
positive,2,10,4,4,False,420,1331782150595/58498535041007616
positive,2,10,6,6,False,420,2040702443065/116997070082015232
positive,2,10,8,8,False,90,3152799236665/935976560656121856
positive,2,10,10,10,False,2,137858491849/1871953121312243712
positive,2,11,0,0,True,2,31385253913/131621703842267136
positive,2,11,2,2,False,110,1295996579735/526486815369068544
positive,2,11,4,4,False,660,974924451215/131621703842267136
positive,2,11,6,6,False,924,62954143890209/8423789045905096704
positive,2,11,8,8,False,330,77571912913495/33695156183620386816
positive,2,11,10,10,False,22,19713764334407/134780624734481547264
positive,2,12,0,0,True,2,282446313697/4738381338321616896
positive,2,12,2,2,False,132,1060538047309/1579460446107205632
positive,2,12,4,4,False,990,3276951618785/1403964840984182784
positive,2,12,6,6,False,1848,28017014941331/9476762676643233792
positive,2,12,8,8,False,990,528230507037155/404341874203444641792
positive,2,12,10,10,False,132,21643783220293/134780624734481547264
positive,2,12,12,12,False,2,23298085122481/9704204980882671403008
inverse,2,1,0,0,True,2,13/36
inverse,2,2,0,0,True,2,97/1296
inverse,2,2,2,0,False,2,169/2592
inverse,2,3,0,0,True,2,793/46656
inverse,2,3,2,0,False,6,2197/62208
inverse,2,4,0,0,True,2,6817/1679616
inverse,2,4,2,0,False,12,22477/1679616
inverse,2,4,4,0,False,2,28561/13436928
inverse,2,5,0,0,True,2,60073/60466176
inverse,2,5,2,0,False,20,1065545/241864704
inverse,2,5,4,0,False,10,1856465/967458816
inverse,2,6,0,0,True,2,535537/2176782336
inverse,2,6,2,0,False,30,1961245/1451188224
inverse,2,6,4,0,False,30,4141345/3869835264
inverse,2,6,6,0,False,2,4826809/69657034752
inverse,2,7,0,0,True,2,4799353/78364164096
inverse,2,7,2,0,False,42,124769827/313456656384
inverse,2,7,4,0,False,70,298890865/626913312768
inverse,2,7,6,0,False,14,439239619/5015306502144
inverse,2,8,0,0,True,2,43112257/2821109907456
inverse,2,8,2,0,False,56,161110573/1410554953728
inverse,2,8,4,0,False,140,2104517285/11284439629824
inverse,2,8,6,0,False,56,728848159/11284439629824
inverse,2,8,8,0,False,2,815730721/361102068154368
inverse,2,9,0,0,True,2,387682633/101559956668416
inverse,2,9,2,0,False,72,1452764053/45137758519296
inverse,2,9,4,0,False,252,4037068789/60183678025728
inverse,2,9,6,0,False,168,39468817193/1083306204463104
inverse,2,9,8,0,False,18,10604499373/2888816545234944
inverse,2,10,0,0,True,2,3487832977/3656158440062976
inverse,2,10,2,0,False,90,65429760305/7312316880125952
inverse,2,10,4,0,False,420,1331782150595/58498535041007616
inverse,2,10,6,0,False,420,2040702443065/116997070082015232
inverse,2,10,8,0,False,90,3152799236665/935976560656121856
inverse,2,10,10,0,False,2,137858491849/1871953121312243712
inverse,2,11,0,0,True,2,31385253913/131621703842267136
inverse,2,11,2,0,False,110,1295996579735/526486815369068544
inverse,2,11,4,0,False,660,974924451215/131621703842267136
inverse,2,11,6,0,False,924,62954143890209/8423789045905096704
inverse,2,11,8,0,False,330,77571912913495/33695156183620386816
inverse,2,11,10,0,False,22,19713764334407/134780624734481547264
inverse,2,12,0,0,True,2,282446313697/4738381338321616896
inverse,2,12,2,0,False,132,1060538047309/1579460446107205632
inverse,2,12,4,0,False,990,3276951618785/1403964840984182784
inverse,2,12,6,0,False,1848,28017014941331/9476762676643233792
inverse,2,12,8,0,False,990,528230507037155/404341874203444641792
inverse,2,12,10,0,False,132,21643783220293/134780624734481547264
inverse,2,12,12,0,False,2,23298085122481/9704204980882671403008
positive,3,1,0,0,True,3,361/900
positive,3,2,0,0,True,3,61921/810000
positive,3,2,2,2,False,4,124121/1620000
positive,3,3,0,0,True,3,12437281/729000000
positive,3,3,2,2,False,12,36843581/972000000
positive,3,4,0,0,True,3,2664570241/656100000000
positive,3,4,2,2,False,24,9055594541/656100000000
positive,3,4,4,4,False,8,15406022641/5248800000000
positive,3,5,0,0,True,3,586710856801/590490000000000
positive,3,5,2,2,False,40,2109557169101/472392000000000
positive,3,5,4,4,False,40,4573062117301/1889568000000000
positive,3,6,0,0,True,3,130748514672961/531441000000000000
positive,3,6,2,2,False,60,481692105353261/354294000000000000
positive,3,6,4,4,False,120,1201809453650161/944784000000000000
positive,3,6,6,6,False,16,1912210936223561/17006112000000000000
positive,3,7,0,0,True,3,29293004389554721/478296900000000000000
positive,3,7,2,2,False,84,763553184992381147/1913187600000000000000
positive,3,7,4,4,False,280,2084183067261667897/3826375200000000000000
positive,3,7,6,6,False,112,3973291301430621947/30611001600000000000000
positive,3,8,0,0,True,3,6578411176822798081/430467210000000000000000
positive,3,8,2,2,False,112,24612399844211654381/215233605000000000000000
positive,3,8,4,4,False,560,71405456995179999841/344373768000000000000000
positive,3,8,6,6,False,448,153999339531586448831/1721868840000000000000000
positive,3,8,8,8,False,32,237345533615004614881/55099802880000000000000000
positive,3,9,0,0,True,3,1478891981595357059041/387420489000000000000000000
positive,3,9,2,2,False,144,5544744245276629323341/172186884000000000000000000
positive,3,9,4,4,False,1008,16796518108095818264941/229582512000000000000000000
positive,3,9,6,6,False,1344,39598373376567732126221/826497043200000000000000000
positive,3,9,8,8,False,288,70452698517838603811941/11019960576000000000000000000
positive,3,10,0,0,True,3,332625676664123527953601/348678440100000000000000000000
positive,3,10,2,2,False,180,1248262609279085852905901/139471376040000000000000000000
positive,3,10,4,4,False,1680,27321803502356011612969207/1115771008320000000000000000000
positive,3,10,6,6,False,3360,9837227217054413490240401/446308403328000000000000000000
positive,3,10,8,8,False,1440,19474221043338734308986961/3570467226624000000000000000000
positive,3,10,10,10,False,64,29459564977827987803644601/178523361331200000000000000000000
positive,3,11,0,0,True,3,74828276558413848617657761/313810596090000000000000000000000
positive,3,11,2,2,False,220,3090214518986107810983158671/1255242384360000000000000000000000
positive,3,11,4,4,False,2640,2474285424967273415870187299/313810596090000000000000000000000
positive,3,11,6,6,False,7392,183845864473260718568806120297/20083878149760000000000000000000000
positive,3,11,8,8,False,5280,56456047378714088908879986371/16067102519808000000000000000000000
positive,3,11,10,10,False,704,96191253320059098781161217471/321342050396160000000000000000000000
positive,3,12,0,0,True,3,16835112200766613912784507521/282429536481000000000000000000000000
positive,3,12,2,2,False,264,63215883542600689924789875821/94143178827000000000000000000000000
positive,3,12,4,4,False,3960,206272407800021750534108888321/83682825624000000000000000000000000
positive,3,12,6,6,False,14784,1995413119467743792005587501211/564859072962000000000000000000000000
positive,3,12,8,8,False,15840,9157044567124680443096460951847/4820130755942400000000000000000000000
