s,sigma,sigma_bar,raw_region_certified,word_length,alphabet_sum,F_partial,F_closed,actual_F_residual,exact_remainder_residual,absolute_geometric_tail_bound,D_partial,target_one_over_zeta,D_residual,closed_D_identity_residual,precision_digits
(1.75+0j),1.75,1.7286472389981836181351030103,True,1,(0.962320099451341990156621079261 + 0.0j),(0.962320099451341990156621079261 + 0.0j),(0.490399145236500104754047702362 + 0.0j),0.47192095421484187,0.0,24.577028079258636,(0.0376799005486580098433789207389 + 0.0j),(0.509600854763499895245952297638 + 0.0j),0.47192095421484187,1.0542197943230523e-81,80
(1.75+0j),1.75,1.7286472389981836181351030103,True,2,(0.962320099451341990156621079261 + 0.0j),(0.0362601256433012516521582421825 + 0.0j),(0.490399145236500104754047702362 + 0.0j),0.45413901959319886,0.0,23.650968105450595,(0.963739874356698748347841757818 + 0.0j),(0.509600854763499895245952297638 + 0.0j),0.45413901959319886,1.0542197943230523e-81,80
(1.75+0j),1.75,1.7286472389981836181351030103,True,4,(0.962320099451341990156621079261 + 0.0j),(0.0698391766468130750910998633259 + 0.0j),(0.490399145236500104754047702362 + 0.0j),0.420559968589687,5.271098971615262e-82,21.902214904268384,(0.930160823353186924908900136674 + 0.0j),(0.509600854763499895245952297638 + 0.0j),0.420559968589687,1.0542197943230523e-81,80
(1.75+0j),1.75,1.7286472389981836181351030103,True,8,(0.962320099451341990156621079261 + 0.0j),(0.129732351874001875711820736056 + 0.0j),(0.490399145236500104754047702362 + 0.0j),0.36066679336249824,0.0,18.78305641772987,(0.870267648125998124288179263944 + 0.0j),(0.509600854763499895245952297638 + 0.0j),0.36066679336249824,1.0542197943230523e-81,80
(1.75+0j),1.75,1.7286472389981836181351030103,True,16,(0.962320099451341990156621079261 + 0.0j),(0.225144735440059083426915310098 + 0.0j),(0.490399145236500104754047702362 + 0.0j),0.26525440979644105,1.5813296914845785e-81,13.814103865255493,(0.774855264559940916573084689902 + 0.0j),(0.509600854763499895245952297638 + 0.0j),0.26525440979644105,1.0542197943230523e-81,80
(1.75+0j),1.75,1.7286472389981836181351030103,True,32,(0.962320099451341990156621079261 + 0.0j),(0.346924380649529893762127419397 + 0.0j),(0.490399145236500104754047702362 + 0.0j),0.1434747645869702,2.635549485807631e-82,7.4719786998771305,(0.653075619350470106237872580603 + 0.0j),(0.509600854763499895245952297638 + 0.0j),0.1434747645869702,1.0542197943230523e-81,80
(1.75+0j),1.75,1.7286472389981836181351030103,True,64,(0.962320099451341990156621079261 + 0.0j),(0.448423117600156680041160113041 + 0.0j),(0.490399145236500104754047702362 + 0.0j),0.04197602763634342,5.929986343067169e-82,2.1860567975637974,(0.551576882399843319958839886959 + 0.0j),(0.509600854763499895245952297638 + 0.0j),0.04197602763634342,1.0542197943230523e-81,80
(1.8+0j),1.8,1.7286472389981836181351030103,True,1,(0.882229618102822046665946247965 + 0.0j),(0.882229618102822046665946247965 + 0.0j),(0.468715192672431845269126709659 + 0.0j),0.4135144254303902,0.0,6.608869620015232,(0.117770381897177953334053752035 + 0.0j),(0.531284807327568154730873290341 + 0.0j),0.4135144254303902,0.0,80
(1.8+0j),1.8,1.7286472389981836181351030103,True,2,(0.882229618102822046665946247965 + 0.0j),(0.103900519044970812751222010783 + 0.0j),(0.468715192672431845269126709659 + 0.0j),0.364814673627461,5.271098971615262e-82,5.830540520957381,(0.896099480955029187248777989217 + 0.0j),(0.531284807327568154730873290341 + 0.0j),0.364814673627461,0.0,80
(1.8+0j),1.8,1.7286472389981836181351030103,True,4,(0.882229618102822046665946247965 + 0.0j),(0.184769316424886059152310216578 + 0.0j),(0.468715192672431845269126709659 + 0.0j),0.2839458762475458,1.0542197943230523e-81,4.5380793506970525,(0.815230683575113940847689783422 + 0.0j),(0.531284807327568154730873290341 + 0.0j),0.2839458762475458,0.0,80
