s,readout,z,abs_zF,repetition_cutoff,trace_log_partial,trace_log_target,trace_log_residual,determinant_reconstruction_residual,precision_digits
(1.75+0j),raw_bar,0.25,0.12259978630912502,1,(0.122599786309125026188511925591 + 0.0j),(0.130792046699933465899539037857 + 0.0j),0.00819226039080844,0.007217414120191021,80
(1.75+0j),raw_bar,0.25,0.12259978630912502,2,(0.130115140110646586294247024234 + 0.0j),(0.130792046699933465899539037857 + 0.0j),0.0006769065892868796,0.0005941190449516732,80
(1.75+0j),raw_bar,0.25,0.12259978630912502,4,(0.130785874500144639982001498991 + 0.0j),(0.130792046699933465899539037857 + 0.0j),6.172199788825918e-06,5.415506126434326e-06,80
(1.75+0j),raw_bar,0.25,0.12259978630912502,8,(0.130792045918292990381851936886 + 0.0j),(0.130792046699933465899539037857 + 0.0j),7.816404755176871e-10,6.858115205166848e-10,80
(1.75+0j),raw_bar,0.25,0.12259978630912502,16,(0.13079204669993344465032278567 + 0.0j),(0.130792046699933465899539037857 + 0.0j),2.124921625218747e-17,1.86440668804329e-17,80
(1.75+0j),raw_bar,0.25,0.12259978630912502,32,(0.130792046699933465899539037857 + 0.0j),(0.130792046699933465899539037857 + 0.0j),2.862032071166006e-32,2.511147550831191e-32,80
(1.75+0j),raw_bar,0.25,0.12259978630912502,64,(0.130792046699933465899539037857 + 0.0j),(0.130792046699933465899539037857 + 0.0j),9.881062634753295e-62,8.669646467225462e-62,80
(1.75+0j),raw_bar,0.25,0.12259978630912502,128,(0.130792046699933465899539037857 + 0.0j),(0.130792046699933465899539037857 + 0.0j),7.906648457422892e-82,1.0542197943230523e-81,80
(1.75+0j),raw_bar,0.25,0.12259978630912502,256,(0.130792046699933465899539037857 + 0.0j),(0.130792046699933465899539037857 + 0.0j),7.906648457422892e-82,1.0542197943230523e-81,80
(1.75+0j),raw_bar,0.5,0.24519957261825004,1,(0.245199572618250052377023851181 + 0.0j),(0.281301899269367561088754974922 + 0.0j),0.03610232665111751,0.027747920052327735,80
(1.75+0j),raw_bar,0.5,0.24519957261825004,2,(0.275260987824336292799964245757 + 0.0j),(0.281301899269367561088754974922 + 0.0j),0.006040911445031268,0.00457348263409375,80
(1.75+0j),raw_bar,0.5,0.24519957261825004,4,(0.281078707282417078822379599773 + 0.0j),(0.281301899269367561088754974922 + 0.0j),0.00022319198695048228,0.00016848420860163441,80
(1.75+0j),raw_bar,0.5,0.24519957261825004,8,(0.281301442121028184689429513702 + 0.0j),(0.281301899269367561088754974922 + 0.0j),4.571483393763993e-07,3.450558408090098e-07,80
(1.75+0j),raw_bar,0.5,0.24519957261825004,16,(0.281301899266161994217530307345 + 0.0j),(0.281301899269367561088754974922 + 0.0j),3.2055668712246676e-12,2.419563244405036e-12,80
(1.75+0j),raw_bar,0.5,0.24519957261825004,32,(0.28130189926936756108847071828 + 0.0j),(0.281301899269367561088754974922 + 0.0j),2.842566418260425e-22,2.1455703473639794e-22,80
(1.75+0j),raw_bar,0.5,0.24519957261825004,64,(0.281301899269367561088754974922 + 0.0j),(0.281301899269367561088754974922 + 0.0j),4.2258418032294894e-42,3.189667199125283e-42,80
(1.75+0j),raw_bar,0.5,0.24519957261825004,128,(0.281301899269367561088754974922 + 0.0j),(0.281301899269367561088754974922 + 0.0j),2.1084395886461046e-81,2.1084395886461046e-81,80
(1.75+0j),raw_bar,0.5,0.24519957261825004,256,(0.281301899269367561088754974922 + 0.0j),(0.281301899269367561088754974922 + 0.0j),0.0,0.0,80
(1.75+0j),raw_bar,1.0,0.4903991452365001,1,(0.490399145236500104754047702362 + 0.0j),(0.674127497403180637653130631066 + 0.0j),0.18372835216668054,0.10278106130830605,80
(1.75+0j),raw_bar,1.0,0.4903991452365001,2,(0.610644806060845066445809280665 + 0.0j),(0.674127497403180637653130631066 + 0.0j),0.06348269134233557,0.033399771308995636,80
(1.75+0j),raw_bar,1.0,0.4903991452365001,4,(0.664416071199033058951205008275 + 0.0j),(0.674127497403180637653130631066 + 0.0j),0.00971142620414758,0.004973059761256806,80
(1.75+0j),raw_bar,1.0,0.4903991452365001,8,(0.673799357441022349624107902472 + 0.0j),(0.674127497403180637653130631066 + 0.0j),0.000328139962158288,0.00016724784404782196,80
(1.75+0j),raw_bar,1.0,0.4903991452365001,16,(0.674126894873127087564036262156 + 0.0j),(0.674127497403180637653130631066 + 0.0j),6.02530053550089e-07,3.070499228132167e-07,80
(1.75+0j),raw_bar,1.0,0.4903991452365001,32,(0.674127497399627833146615288088 + 0.0j),(0.674127497403180637653130631066 + 0.0j),3.552804506515343e-12,1.8105122133310493e-12,80
(1.75+0j),raw_bar,1.0,0.4903991452365001,64,(0.674127497403180637652901868203 + 0.0j),(0.674127497403180637653130631066 + 0.0j),2.287628633472447e-22,1.1657775069990163e-22,80
(1.75+0j),raw_bar,1.0,0.4903991452365001,128,(0.674127497403180637653130631066 + 0.0j),(0.674127497403180637653130631066 + 0.0j),1.8193312997867334e-42,9.271327854693086e-43,80
(1.75+0j),raw_bar,1.0,0.4903991452365001,256,(0.674127497403180637653130631066 + 0.0j),(0.674127497403180637653130631066 + 0.0j),0.0,0.0,80
(2+0j),raw_bar,0.25,0.09801822453649334,1,(0.0980182245364933428341808051854 + 0.0j),(0.103160963709541586978169731547 + 0.0j),0.0051427391730482445,0.004650605184944578,80
(2+0j),raw_bar,0.25,0.09801822453649334,2,(0.102822010707136555630522887657 + 0.0j),(0.103160963709541586978169731547 + 0.0j),0.0003389530024050313,0.00030578125071690257,80
(2+0j),raw_bar,0.25,0.09801822453649334,4,(0.103158992796376090584161178531 + 0.0j),(0.103160963709541586978169731547 + 0.0j),1.970913165496394e-06,1.7777295081735084e-06,80
(2+0j),raw_bar,0.25,0.09801822453649334,8,(0.103160963607760357122928101334 + 0.0j),(0.103160963709541586978169731547 + 0.0j),1.0178122985524163e-10,9.180481441836213e-11,80
(2+0j),raw_bar,0.25,0.09801822453649334,16,(0.10316096370954158651688479869 + 0.0j),(0.103160963709541586978169731547 + 0.0j),4.612849328566566e-19,4.160706027326116e-19,80
(2+0j),raw_bar,0.25,0.09801822453649334,32,(0.103160963709541586978169731547 + 0.0j),(0.103160963709541586978169731547 + 0.0j),1.729943850627972e-35,1.5603778258415935e-35,80
(2+0j),raw_bar,0.25,0.09801822453649334,64,(0.103160963709541586978169731547 + 0.0j),(0.103160963709541586978169731547 + 0.0j),4.635745514537503e-68,4.181357969799547e-68,80
(2+0j),raw_bar,0.25,0.09801822453649334,128,(0.103160963709541586978169731547 + 0.0j),(0.103160963709541586978169731547 + 0.0j),2.635549485807631e-82,0.0,80
(2+0j),raw_bar,0.25,0.09801822453649334,256,(0.103160963709541586978169731547 + 0.0j),(0.103160963709541586978169731547 + 0.0j),2.635549485807631e-82,0.0,80
(2+0j),raw_bar,0.5,0.19603644907298667,1,(0.196036449072986685668361610371 + 0.0j),(0.218201345498711685137082246668 + 0.0j),0.022164896425725,0.01801872271326486,80
(2+0j),raw_bar,0.5,0.19603644907298667,2,(0.215251593755559536853729940258 + 0.0j),(0.218201345498711685137082246668 + 0.0j),0.0029497517431521483,0.0023749939850261008,80
(2+0j),raw_bar,0.5,0.19603644907298667,4,(0.218132061362061920341806538984 + 0.0j),(0.218201345498711685137082246668 + 0.0j),6.92841366497648e-05,5.570385019815896e-05,80
(2+0j),raw_bar,0.5,0.19603644907298667,8,(0.218201287784166643702909033453 + 0.0j),(0.218201345498711685137082246668 + 0.0j),5.771454504143417e-08,4.640039191063721e-08,80
(2+0j),raw_bar,0.5,0.19603644907298667,16,(0.218201345498644346381071980478 + 0.0j),(0.218201345498711685137082246668 + 0.0j),6.733875601026619e-14,5.413790539702319e-14,80
(2+0j),raw_bar,0.5,0.19603644907298667,32,(0.218201345498711685137082080602 + 0.0j),(0.218201345498711685137082246668 + 0.0j),1.6606648606713907e-25,1.335114018285085e-25,80
(2+0j),raw_bar,0.5,0.19603644907298667,64,(0.218201345498711685137082246668 + 0.0j),(0.218201345498711685137082246668 + 0.0j),1.914909168518567e-48,1.539517174824882e-48,80
(2+0j),raw_bar,0.5,0.19603644907298667,128,(0.218201345498711685137082246668 + 0.0j),(0.218201345498711685137082246668 + 0.0j),7.906648457422892e-82,1.0542197943230523e-81,80
(2+0j),raw_bar,0.5,0.19603644907298667,256,(0.218201345498711685137082246668 + 0.0j),(0.218201345498711685137082246668 + 0.0j),7.906648457422892e-82,1.0542197943230523e-81,80
(2+0j),raw_bar,1.0,0.39207289814597335,1,(0.392072898145973371336723220742 + 0.0j),(0.497700302470745347474377344325 + 0.0j),0.10562740432477198,0.06772775632481452,80
(2+0j),raw_bar,1.0,0.39207289814597335,2,(0.468933476876264776078196540291 + 0.0j),(0.497700302470745347474377344325 + 0.0j),0.028766825594480572,0.017742101387744277,80
(2+0j),raw_bar,1.0,0.39207289814597335,4,(0.494930992009661505726333677932 + 0.0j),(0.497700302470745347474377344325 + 0.0j),0.0027693104610838418,0.0016858721570170172,80
(2+0j),raw_bar,1.0,0.39207289814597335,8,(0.49766260778762303222441917112 + 0.0j),(0.497700302470745347474377344325 + 0.0j),3.769468312231525e-05,2.291605136978897e-05,80
(2+0j),raw_bar,1.0,0.39207289814597335,16,(0.497700291039614428721888936479 + 0.0j),(0.497700302470745347474377344325 + 0.0j),1.143113091875249e-08,6.9492943300703035e-09,80
(2+0j),raw_bar,1.0,0.39207289814597335,32,(0.497700302470743482313040112999 + 0.0j),(0.497700302470745347474377344325 + 0.0j),1.865161337231326e-15,1.133882126233222e-15,80
(2+0j),raw_bar,1.0,0.39207289814597335,64,(0.497700302470745347474377344233 + 0.0j),(0.497700302470745347474377344325 + 0.0j),9.287400773564247e-29,5.646062636029758e-29,80
(2+0j),raw_bar,1.0,0.39207289814597335,128,(0.497700302470745347474377344325 + 0.0j),(0.497700302470745347474377344325 + 0.0j),4.4436520579983895e-55,2.701416517266642e-55,80
(2+0j),raw_bar,1.0,0.39207289814597335,256,(0.497700302470745347474377344325 + 0.0j),(0.497700302470745347474377344325 + 0.0j),5.271098971615262e-82,0.0,80
