control,cutoff,nonunit_input_count,bar_inverse_mismatch_count,convolution_mismatch_count,inverse_sha256,universal_inversion_exact,proves_too_much
all_objects,128,127,0,0,3c6b47c864c4079ae7578f1776a4d9c8b90da671bd49fc01381db6975e22317a,True,True
composite_only,128,96,0,0,43612d2463b5e0e3e579f5086a00f88b49205d36c90c3bb4f98bdce691c1a955,True,True
prime_only,128,31,0,0,29a746d9a598545095d81cf28883208ecc049ad792164349fc63594c73c33141,True,True
random_positive,128,127,0,0,c2f52fa70687690cffe46bd10187d8802288292ebdda74628c47b82c26eb1dc9,True,True
random_increasing_support,128,32,0,0,a6c2f2f944c2c4013000f0c0a9271aa08bff616641bd7139f891f7ef27fe06fe,True,True
synthetic_signed,128,127,0,0,3a297d6357e45af1d620f6defc5f9f9c352827238c064bdb40c548174667a602,True,True
shuffled_ramp,128,127,0,0,a7680eb02f66204b91281a45c295c4b4e23d91e014ad7b238ea8a0addc4d4a72,True,True
scalar_positive,not_applicable,not_applicable,0,0,a524479da1a7b96f24eecaa8da1cf07eb7fb144cdca7625825bffb3bdefd0c37,True,True
scalar_near_boundary,not_applicable,not_applicable,0,0,c6b84487071215bcc19a66e1edfdac2b11395735726148a407f35ca4eca398d6,True,True
scalar_signed,not_applicable,not_applicable,0,0,88a09c48f589386b2d18d8be987cffe6a938c9e22314f3542082f7f6243efdb5,True,True
