inventory,control_id,N,max_value,raw_inventory_divisor_closed,unit_augmented_divisor_closed,ambient_tensor_monoid_used,prime_power_count,mixed_prime_count,lambda_nonzero_count,support_exact,order_invariant
tensor_primes,primary,16,53,False,True,True,16,0,16,True,True
composites,deterministic,16,26,False,False,True,5,11,5,True,True
shuffled_primes,14000,16,53,False,True,True,16,0,16,True,True
shuffled_primes,14001,16,53,False,True,True,16,0,16,True,True
shuffled_primes,14002,16,53,False,True,True,16,0,16,True,True
shuffled_primes,14003,16,53,False,True,True,16,0,16,True,True
shuffled_primes,14004,16,53,False,True,True,16,0,16,True,True
shuffled_primes,14005,16,53,False,True,True,16,0,16,True,True
shuffled_primes,14006,16,53,False,True,True,16,0,16,True,True
shuffled_primes,14007,16,53,False,True,True,16,0,16,True,True
shuffled_primes,14008,16,53,False,True,True,16,0,16,True,True
shuffled_primes,14009,16,53,False,True,True,16,0,16,True,True
shuffled_primes,14010,16,53,False,True,True,16,0,16,True,True
shuffled_primes,14011,16,53,False,True,True,16,0,16,True,True
shuffled_primes,14012,16,53,False,True,True,16,0,16,True,True
shuffled_primes,14013,16,53,False,True,True,16,0,16,True,True
shuffled_primes,14014,16,53,False,True,True,16,0,16,True,True
shuffled_primes,14015,16,53,False,True,True,16,0,16,True,True
random_increasing,14100,16,246,False,False,True,1,15,1,True,True
random_increasing,14101,16,225,False,False,True,4,12,4,True,True
random_increasing,14102,16,257,False,False,True,7,9,7,True,True
random_increasing,14103,16,251,False,False,True,4,12,4,True,True
random_increasing,14104,16,241,False,False,True,5,11,5,True,True
random_increasing,14105,16,226,False,False,True,4,12,4,True,True
random_increasing,14106,16,230,False,False,True,7,9,7,True,True
random_increasing,14107,16,254,False,False,True,5,11,5,True,True
random_increasing,14108,16,206,False,False,True,4,12,4,True,True
random_increasing,14109,16,250,False,False,True,4,12,4,True,True
random_increasing,14110,16,255,False,False,True,8,8,8,True,True
random_increasing,14111,16,246,False,False,True,6,10,6,True,True
random_increasing,14112,16,248,False,False,True,1,15,1,True,True
random_increasing,14113,16,255,False,False,True,7,9,7,True,True
random_increasing,14114,16,234,False,False,True,6,10,6,True,True
random_increasing,14115,16,242,False,False,True,1,15,1,True,True
tensor_primes,primary,32,131,False,True,True,32,0,32,True,True
composites,deterministic,32,48,False,False,True,7,25,7,True,True
shuffled_primes,14000,32,131,False,True,True,32,0,32,True,True
shuffled_primes,14001,32,131,False,True,True,32,0,32,True,True
shuffled_primes,14002,32,131,False,True,True,32,0,32,True,True
shuffled_primes,14003,32,131,False,True,True,32,0,32,True,True
shuffled_primes,14004,32,131,False,True,True,32,0,32,True,True
shuffled_primes,14005,32,131,False,True,True,32,0,32,True,True
shuffled_primes,14006,32,131,False,True,True,32,0,32,True,True
shuffled_primes,14007,32,131,False,True,True,32,0,32,True,True
shuffled_primes,14008,32,131,False,True,True,32,0,32,True,True
shuffled_primes,14009,32,131,False,True,True,32,0,32,True,True
shuffled_primes,14010,32,131,False,True,True,32,0,32,True,True
shuffled_primes,14011,32,131,False,True,True,32,0,32,True,True
shuffled_primes,14012,32,131,False,True,True,32,0,32,True,True
shuffled_primes,14013,32,131,False,True,True,32,0,32,True,True
shuffled_primes,14014,32,131,False,True,True,32,0,32,True,True
shuffled_primes,14015,32,131,False,True,True,32,0,32,True,True
random_increasing,14100,32,510,False,False,True,8,24,8,True,True
random_increasing,14101,32,513,False,False,True,9,23,9,True,True
random_increasing,14102,32,438,False,False,True,6,26,6,True,True
random_increasing,14103,32,507,False,False,True,10,22,10,True,True
random_increasing,14104,32,496,False,False,True,8,24,8,True,True
random_increasing,14105,32,490,False,False,True,8,24,8,True,True
random_increasing,14106,32,502,False,False,True,5,27,5,True,True
random_increasing,14107,32,498,False,False,True,4,28,4,True,True
random_increasing,14108,32,482,False,False,True,6,26,6,True,True
random_increasing,14109,32,494,False,False,True,7,25,7,True,True
random_increasing,14110,32,474,False,False,True,4,28,4,True,True
random_increasing,14111,32,499,False,False,True,13,19,13,True,True
random_increasing,14112,32,506,False,False,True,4,28,4,True,True
random_increasing,14113,32,507,False,False,True,10,22,10,True,True
random_increasing,14114,32,504,False,False,True,6,26,6,True,True
random_increasing,14115,32,507,False,False,True,6,26,6,True,True
tensor_primes,primary,64,311,False,True,True,64,0,64,True,True
composites,deterministic,64,88,False,False,True,10,54,10,True,True
shuffled_primes,14000,64,311,False,True,True,64,0,64,True,True
shuffled_primes,14001,64,311,False,True,True,64,0,64,True,True
shuffled_primes,14002,64,311,False,True,True,64,0,64,True,True
shuffled_primes,14003,64,311,False,True,True,64,0,64,True,True
shuffled_primes,14004,64,311,False,True,True,64,0,64,True,True
shuffled_primes,14005,64,311,False,True,True,64,0,64,True,True
shuffled_primes,14006,64,311,False,True,True,64,0,64,True,True
shuffled_primes,14007,64,311,False,True,True,64,0,64,True,True
shuffled_primes,14008,64,311,False,True,True,64,0,64,True,True
shuffled_primes,14009,64,311,False,True,True,64,0,64,True,True
shuffled_primes,14010,64,311,False,True,True,64,0,64,True,True
shuffled_primes,14011,64,311,False,True,True,64,0,64,True,True
shuffled_primes,14012,64,311,False,True,True,64,0,64,True,True
shuffled_primes,14013,64,311,False,True,True,64,0,64,True,True
shuffled_primes,14014,64,311,False,True,True,64,0,64,True,True
shuffled_primes,14015,64,311,False,True,True,64,0,64,True,True
random_increasing,14100,64,1001,False,False,True,14,50,14,True,True
random_increasing,14101,64,1022,False,False,True,15,49,15,True,True
random_increasing,14102,64,1011,False,False,True,12,52,12,True,True
random_increasing,14103,64,1016,False,False,True,7,57,7,True,True
random_increasing,14104,64,1019,False,False,True,15,49,15,True,True
random_increasing,14105,64,975,False,False,True,13,51,13,True,True
random_increasing,14106,64,1013,False,False,True,14,50,14,True,True
random_increasing,14107,64,1020,False,False,True,13,51,13,True,True
random_increasing,14108,64,1001,False,False,True,13,51,13,True,True
random_increasing,14109,64,983,False,False,True,13,51,13,True,True
random_increasing,14110,64,1002,False,False,True,10,54,10,True,True
random_increasing,14111,64,1017,False,False,True,12,52,12,True,True
random_increasing,14112,64,1022,False,False,True,9,55,9,True,True
random_increasing,14113,64,996,False,False,True,12,52,12,True,True
random_increasing,14114,64,1008,False,False,True,14,50,14,True,True
random_increasing,14115,64,1018,False,False,True,9,55,9,True,True
tensor_primes,primary,128,719,False,True,True,128,0,128,True,True
composites,deterministic,128,168,False,False,True,13,115,13,True,True
