rule,inventory,control_id,N,mode,coefficient_exact_zero,coefficient_sign,coefficient_sha256,numerator_digits,denominator_digits,first_degree,active_edge_count,neutral_euler_safe
constant,tensor_primes,primary,16,2,False,-1,d71fc363bca5186d5bd75a0a9e3c5bbe6d41b13bddc313aa8f79758a122b500f,69,72,2,15,True
factor_depth_sum,tensor_primes,primary,16,2,False,-1,d71fc363bca5186d5bd75a0a9e3c5bbe6d41b13bddc313aa8f79758a122b500f,69,72,2,15,True
indecomposable_pair,tensor_primes,primary,16,2,False,-1,d71fc363bca5186d5bd75a0a9e3c5bbe6d41b13bddc313aa8f79758a122b500f,69,72,2,15,True
factor_depth_equal,tensor_primes,primary,16,2,False,-1,d71fc363bca5186d5bd75a0a9e3c5bbe6d41b13bddc313aa8f79758a122b500f,69,72,2,15,True
distinct_depth_equal,tensor_primes,primary,16,2,False,-1,d71fc363bca5186d5bd75a0a9e3c5bbe6d41b13bddc313aa8f79758a122b500f,69,72,2,15,True
tensor_coprime,tensor_primes,primary,16,2,False,-1,d71fc363bca5186d5bd75a0a9e3c5bbe6d41b13bddc313aa8f79758a122b500f,69,72,2,15,True
v2_equal,tensor_primes,primary,16,2,False,-1,30e8e89596c4cf11fc46c178615bf5eecc9da239a48a609155f54319984854b1,69,72,2,14,True
v2_parity_equal,tensor_primes,primary,16,2,False,-1,30e8e89596c4cf11fc46c178615bf5eecc9da239a48a609155f54319984854b1,69,72,2,14,True
entropy_increasing,tensor_primes,primary,16,2,False,-1,d71fc363bca5186d5bd75a0a9e3c5bbe6d41b13bddc313aa8f79758a122b500f,69,72,2,15,True
entropy_bin_equal,tensor_primes,primary,16,2,False,-1,8335f9124d5823ed4302fd145cad70f0f5fef253cd22b7d37e67d1f50cb7d042,72,74,2,11,True
ordered_consecutive_tensor_atoms,tensor_primes,primary,16,2,False,-1,d71fc363bca5186d5bd75a0a9e3c5bbe6d41b13bddc313aa8f79758a122b500f,69,72,2,15,True
consecutive_run_2,tensor_primes,primary,16,2,False,-1,30e8e89596c4cf11fc46c178615bf5eecc9da239a48a609155f54319984854b1,69,72,2,14,True
consecutive_run_3,tensor_primes,primary,16,2,False,-1,ffef54a1eee6325eb71ef50b34b9daa459229348259917a9996f3f774e017d4e,67,71,2,13,True
consecutive_run_4,tensor_primes,primary,16,2,False,-1,20af966a810a7b7144ee2742365e9764a4737dc89c3e3ff2608f2a496b3d0443,65,70,2,12,True
consecutive_run_5,tensor_primes,primary,16,2,False,-1,f8bdd94645fbcd6c9ee7184550b2a8d8cb82a04edaef2f029659de1999d21a91,64,69,2,11,True
consecutive_run_6,tensor_primes,primary,16,2,False,-1,af8061b5ebb755d771e03e5fedd7cb04b07877eeeadf30e9ad11ba2d5d4381ee,62,68,2,10,True
consecutive_run_7,tensor_primes,primary,16,2,False,-1,c14322c064004d96c63df925e1e67a7d8708dad5f6db3188d5b6c049492b3d5d,61,67,2,9,True
