k,block_count,actual_cyclic_orbits,expected_cyclic_orbits,count_exact,sign,signed_contribution
2,1,1,1,True,-1,-1
2,2,1,1,True,1,1
3,1,1,1,True,1,1
3,2,3,3,True,-1,-3
3,3,2,2,True,1,2
4,1,1,1,True,-1,-1
4,2,7,7,True,1,7
4,3,12,12,True,-1,-12
4,4,6,6,True,1,6
5,1,1,1,True,1,1
5,2,15,15,True,-1,-15
5,3,50,50,True,1,50
5,4,60,60,True,-1,-60
5,5,24,24,True,1,24
6,1,1,1,True,-1,-1
6,2,31,31,True,1,31
6,3,180,180,True,-1,-180
6,4,390,390,True,1,390
6,5,360,360,True,-1,-360
6,6,120,120,True,1,120
7,1,1,1,True,1,1
7,2,63,63,True,-1,-63
7,3,602,602,True,1,602
7,4,2100,2100,True,-1,-2100
7,5,3360,3360,True,1,3360
7,6,2520,2520,True,-1,-2520
7,7,720,720,True,1,720
