n,cycle_type,class_size,positive_fixed,negative_fixed,virtual_character,mark_interpretation
2,2,1,1,1,0,fixed by cyclic subgroup generated by representative
2,"1,1",1,1,1,0,fixed by cyclic subgroup generated by representative
3,3,2,3,0,3,fixed by cyclic subgroup generated by representative
3,"2,1",3,1,1,0,fixed by cyclic subgroup generated by representative
3,"1,1,1",1,3,3,0,fixed by cyclic subgroup generated by representative
4,4,6,3,1,2,fixed by cyclic subgroup generated by representative
4,"3,1",8,1,1,0,fixed by cyclic subgroup generated by representative
4,"2,2",3,5,1,4,fixed by cyclic subgroup generated by representative
4,"2,1,1",6,3,3,0,fixed by cyclic subgroup generated by representative
4,"1,1,1,1",1,13,13,0,fixed by cyclic subgroup generated by representative
5,5,24,5,0,5,fixed by cyclic subgroup generated by representative
5,"4,1",30,1,1,0,fixed by cyclic subgroup generated by representative
5,"3,2",20,1,1,0,fixed by cyclic subgroup generated by representative
5,"3,1,1",20,3,3,0,fixed by cyclic subgroup generated by representative
5,"2,2,1",15,3,3,0,fixed by cyclic subgroup generated by representative
5,"2,1,1,1",10,13,13,0,fixed by cyclic subgroup generated by representative
5,"1,1,1,1,1",1,75,75,0,fixed by cyclic subgroup generated by representative
6,6,120,3,3,0,fixed by cyclic subgroup generated by representative
6,"5,1",144,1,1,0,fixed by cyclic subgroup generated by representative
6,"4,2",90,5,1,4,fixed by cyclic subgroup generated by representative
6,"4,1,1",90,3,3,0,fixed by cyclic subgroup generated by representative
6,"3,3",40,7,7,0,fixed by cyclic subgroup generated by representative
6,"3,2,1",120,3,3,0,fixed by cyclic subgroup generated by representative
6,"3,1,1,1",40,13,13,0,fixed by cyclic subgroup generated by representative
6,"2,2,2",15,27,3,24,fixed by cyclic subgroup generated by representative
6,"2,2,1,1",45,13,13,0,fixed by cyclic subgroup generated by representative
6,"2,1,1,1,1",15,75,75,0,fixed by cyclic subgroup generated by representative
6,"1,1,1,1,1,1",1,541,541,0,fixed by cyclic subgroup generated by representative
7,7,720,7,0,7,fixed by cyclic subgroup generated by representative
7,"6,1",840,1,1,0,fixed by cyclic subgroup generated by representative
7,"5,2",504,1,1,0,fixed by cyclic subgroup generated by representative
7,"5,1,1",504,3,3,0,fixed by cyclic subgroup generated by representative
7,"4,3",420,1,1,0,fixed by cyclic subgroup generated by representative
7,"4,2,1",630,3,3,0,fixed by cyclic subgroup generated by representative
7,"4,1,1,1",210,13,13,0,fixed by cyclic subgroup generated by representative
7,"3,3,1",280,3,3,0,fixed by cyclic subgroup generated by representative
7,"3,2,2",210,3,3,0,fixed by cyclic subgroup generated by representative
7,"3,2,1,1",420,13,13,0,fixed by cyclic subgroup generated by representative
7,"3,1,1,1,1",70,75,75,0,fixed by cyclic subgroup generated by representative
7,"2,2,2,1",105,13,13,0,fixed by cyclic subgroup generated by representative
7,"2,2,1,1,1",105,75,75,0,fixed by cyclic subgroup generated by representative
7,"2,1,1,1,1,1",21,541,541,0,fixed by cyclic subgroup generated by representative
7,"1,1,1,1,1,1,1",1,4683,4683,0,fixed by cyclic subgroup generated by representative
