seed,n,inventory,scalar_identity_pass,distinct_stabilizer_pass,pure_pair_coefficient,diagonal_pair_coefficient,mixed_factor_pass
symbolic,2,free_commutative_indeterminates,True,True,1,2,True
symbolic,3,free_commutative_indeterminates,True,True,1,2,True
symbolic,4,free_commutative_indeterminates,True,True,1,2,True
symbolic,5,free_commutative_indeterminates,True,True,1,2,True
symbolic,6,free_commutative_indeterminates,True,True,1,2,True
symbolic,7,free_commutative_indeterminates,True,True,1,2,True
symbolic,8,free_commutative_indeterminates,True,True,1,2,True
16000,2,prime,True,True,1,2,True
16000,2,composite_only,True,True,1,2,True
16000,2,shuffled_prime,True,True,1,2,True
16000,2,random_rational,True,True,1,2,True
16000,3,prime,True,True,1,2,True
16000,3,composite_only,True,True,1,2,True
16000,3,shuffled_prime,True,True,1,2,True
16000,3,random_rational,True,True,1,2,True
16000,4,prime,True,True,1,2,True
16000,4,composite_only,True,True,1,2,True
16000,4,shuffled_prime,True,True,1,2,True
16000,4,random_rational,True,True,1,2,True
16000,5,prime,True,True,1,2,True
16000,5,composite_only,True,True,1,2,True
16000,5,shuffled_prime,True,True,1,2,True
16000,5,random_rational,True,True,1,2,True
16000,6,prime,True,True,1,2,True
16000,6,composite_only,True,True,1,2,True
16000,6,shuffled_prime,True,True,1,2,True
16000,6,random_rational,True,True,1,2,True
16000,7,prime,True,True,1,2,True
16000,7,composite_only,True,True,1,2,True
16000,7,shuffled_prime,True,True,1,2,True
16000,7,random_rational,True,True,1,2,True
16000,8,prime,True,True,1,2,True
16000,8,composite_only,True,True,1,2,True
16000,8,shuffled_prime,True,True,1,2,True
16000,8,random_rational,True,True,1,2,True
16001,2,prime,True,True,1,2,True
16001,2,composite_only,True,True,1,2,True
16001,2,shuffled_prime,True,True,1,2,True
16001,2,random_rational,True,True,1,2,True
16001,3,prime,True,True,1,2,True
16001,3,composite_only,True,True,1,2,True
16001,3,shuffled_prime,True,True,1,2,True
16001,3,random_rational,True,True,1,2,True
16001,4,prime,True,True,1,2,True
16001,4,composite_only,True,True,1,2,True
16001,4,shuffled_prime,True,True,1,2,True
16001,4,random_rational,True,True,1,2,True
16001,5,prime,True,True,1,2,True
16001,5,composite_only,True,True,1,2,True
16001,5,shuffled_prime,True,True,1,2,True
16001,5,random_rational,True,True,1,2,True
16001,6,prime,True,True,1,2,True
16001,6,composite_only,True,True,1,2,True
16001,6,shuffled_prime,True,True,1,2,True
16001,6,random_rational,True,True,1,2,True
16001,7,prime,True,True,1,2,True
16001,7,composite_only,True,True,1,2,True
16001,7,shuffled_prime,True,True,1,2,True
16001,7,random_rational,True,True,1,2,True
16001,8,prime,True,True,1,2,True
16001,8,composite_only,True,True,1,2,True
16001,8,shuffled_prime,True,True,1,2,True
16001,8,random_rational,True,True,1,2,True
16002,2,prime,True,True,1,2,True
16002,2,composite_only,True,True,1,2,True
16002,2,shuffled_prime,True,True,1,2,True
16002,2,random_rational,True,True,1,2,True
16002,3,prime,True,True,1,2,True
16002,3,composite_only,True,True,1,2,True
16002,3,shuffled_prime,True,True,1,2,True
16002,3,random_rational,True,True,1,2,True
16002,4,prime,True,True,1,2,True
16002,4,composite_only,True,True,1,2,True
16002,4,shuffled_prime,True,True,1,2,True
16002,4,random_rational,True,True,1,2,True
16002,5,prime,True,True,1,2,True
16002,5,composite_only,True,True,1,2,True
16002,5,shuffled_prime,True,True,1,2,True
16002,5,random_rational,True,True,1,2,True
16002,6,prime,True,True,1,2,True
16002,6,composite_only,True,True,1,2,True
16002,6,shuffled_prime,True,True,1,2,True
