n,r,target_exponent,coefficient_b_power_r,coefficient_b_of_x_power_r,equal,expected_rank_one,expected_diagonal,pass
2,1,1;0,1,1,True,1,1,True
2,2,1;1,2,0,False,2,0,True
2,3,2;1,3,0,False,3,0,True
2,4,3;1,4,0,False,4,0,True
2,5,4;1,5,0,False,5,0,True
2,6,5;1,6,0,False,6,0,True
2,7,6;1,7,0,False,7,0,True
2,8,7;1,8,0,False,8,0,True
3,1,1;0;0,1,1,True,1,1,True
3,2,1;1;0,2,0,False,2,0,True
3,3,2;1;0,3,0,False,3,0,True
3,4,3;1;0,4,0,False,4,0,True
3,5,4;1;0,5,0,False,5,0,True
3,6,5;1;0,6,0,False,6,0,True
3,7,6;1;0,7,0,False,7,0,True
3,8,7;1;0,8,0,False,8,0,True
4,1,1;0;0;0,1,1,True,1,1,True
4,2,1;1;0;0,2,0,False,2,0,True
4,3,2;1;0;0,3,0,False,3,0,True
4,4,3;1;0;0,4,0,False,4,0,True
4,5,4;1;0;0,5,0,False,5,0,True
4,6,5;1;0;0,6,0,False,6,0,True
4,7,6;1;0;0,7,0,False,7,0,True
4,8,7;1;0;0,8,0,False,8,0,True
5,1,1;0;0;0;0,1,1,True,1,1,True
5,2,1;1;0;0;0,2,0,False,2,0,True
5,3,2;1;0;0;0,3,0,False,3,0,True
5,4,3;1;0;0;0,4,0,False,4,0,True
5,5,4;1;0;0;0,5,0,False,5,0,True
5,6,5;1;0;0;0,6,0,False,6,0,True
5,7,6;1;0;0;0,7,0,False,7,0,True
5,8,7;1;0;0;0,8,0,False,8,0,True
6,1,1;0;0;0;0;0,1,1,True,1,1,True
6,2,1;1;0;0;0;0,2,0,False,2,0,True
6,3,2;1;0;0;0;0,3,0,False,3,0,True
6,4,3;1;0;0;0;0,4,0,False,4,0,True
6,5,4;1;0;0;0;0,5,0,False,5,0,True
6,6,5;1;0;0;0;0,6,0,False,6,0,True
6,7,6;1;0;0;0;0,7,0,False,7,0,True
6,8,7;1;0;0;0;0,8,0,False,8,0,True
7,1,1;0;0;0;0;0;0,1,1,True,1,1,True
7,2,1;1;0;0;0;0;0,2,0,False,2,0,True
7,3,2;1;0;0;0;0;0,3,0,False,3,0,True
7,4,3;1;0;0;0;0;0,4,0,False,4,0,True
7,5,4;1;0;0;0;0;0,5,0,False,5,0,True
7,6,5;1;0;0;0;0;0,6,0,False,6,0,True
7,7,6;1;0;0;0;0;0,7,0,False,7,0,True
7,8,7;1;0;0;0;0;0,8,0,False,8,0,True
8,1,1;0;0;0;0;0;0;0,1,1,True,1,1,True
8,2,1;1;0;0;0;0;0;0,2,0,False,2,0,True
8,3,2;1;0;0;0;0;0;0,3,0,False,3,0,True
8,4,3;1;0;0;0;0;0;0,4,0,False,4,0,True
8,5,4;1;0;0;0;0;0;0,5,0,False,5,0,True
8,6,5;1;0;0;0;0;0;0,6,0,False,6,0,True
8,7,6;1;0;0;0;0;0;0,7,0,False,7,0,True
8,8,7;1;0;0;0;0;0;0,8,0,False,8,0,True
