n,sign,block_size_necklace,number_of_blocks,orbit_size,stabilizer_order,rotational_size_symmetries
2,+,1-1,2,1,2,2
2,-,2,1,1,2,1
3,+,1-1-1,3,2,3,3
3,-,1-2,2,3,2,1
3,+,3,1,1,6,1
4,+,1-1-1-1,4,6,4,4
4,-,1-1-2,3,12,2,1
4,+,1-3,2,4,6,1
4,+,2-2,2,3,8,2
4,-,4,1,1,24,1
5,+,1-1-1-1-1,5,24,5,5
5,-,1-1-1-2,4,60,2,1
5,+,1-1-3,3,20,6,1
5,+,1-2-2,3,30,4,1
5,-,1-4,2,5,24,1
5,-,2-3,2,10,12,1
5,+,5,1,1,120,1
6,+,1-1-1-1-1-1,6,120,6,6
6,-,1-1-1-1-2,5,360,2,1
6,+,1-1-1-3,4,120,6,1
6,+,1-1-2-2,4,180,4,1
6,-,1-1-4,3,30,24,1
6,+,1-2-1-2,4,90,8,2
6,-,1-2-3,3,60,12,1
6,-,1-3-2,3,60,12,1
6,+,1-5,2,6,120,1
6,-,2-2-2,3,30,24,3
6,+,2-4,2,15,48,1
6,+,3-3,2,10,72,2
6,-,6,1,1,720,1
7,+,1-1-1-1-1-1-1,7,720,7,7
7,-,1-1-1-1-1-2,6,2520,2,1
7,+,1-1-1-1-3,5,840,6,1
7,+,1-1-1-2-2,5,1260,4,1
7,-,1-1-1-4,4,210,24,1
7,+,1-1-2-1-2,5,1260,4,1
7,-,1-1-2-3,4,420,12,1
7,-,1-1-3-2,4,420,12,1
7,+,1-1-5,3,42,120,1
7,-,1-2-1-3,4,420,12,1
7,-,1-2-2-2,4,630,8,1
7,+,1-2-4,3,105,48,1
7,+,1-3-3,3,140,36,1
7,+,1-4-2,3,105,48,1
7,-,1-6,2,7,720,1
7,+,2-2-3,3,210,24,1
7,-,2-5,2,21,240,1
7,-,3-4,2,35,144,1
7,+,7,1,1,5040,1
