inventory,N,sigma,q,q_sigma,theorem_Sq_membership,boundary_case,singleton_q_sum,log_subset_q_product,subset_q_sum_product_minus_1
primes,10,0.6,1,0.6,False,False,2.9593220929397819,2.5163135300705206,11.382863364720324
primes,10,0.6,2,1.2,True,False,1.1503373763996119,1.0280178697826867,1.7955192563037266
primes,10,0.6,3,1.8,True,False,0.55109035047106647,0.50549683956230418,0.65780898096852081
primes,10,0.6,4,2.4,True,False,0.29955042741925242,0.28087225396082527,0.32428442103973637
primes,10,1.0,1,1.0,False,True,1.5334387718720319,1.3550323534437505,2.8768863852297364
primes,10,1.0,2,2.0,True,False,0.44501060747493271,0.41135512602476504,0.50886109726808881
primes,10,1.0,3,3.0,True,False,0.17463149696054431,0.16670864650338221,0.18141000722385453
primes,10,1.0,4,4.0,True,False,0.076990119985521702,0.075037786982070115,0.077924881643256047
primes,10,1.2,1,1.2,True,False,1.1503373763996119,1.0280178697826867,1.7955192563037266
primes,10,1.2,2,2.4,True,False,0.29955042741925242,0.28087225396082527,0.32428442103973637
primes,10,1.2,3,3.6,True,False,0.10593673803387346,0.10252598554751571,0.10796609264127772
primes,10,1.2,4,4.8,True,False,0.041569493225057222,0.040927020445066631,0.041776074416903154
primes,10,2.0,1,2.0,True,False,0.44501060747493271,0.41135512602476504,0.50886109726808881
primes,10,2.0,2,4.0,True,False,0.076990119985521702,0.075037786982070115,0.077924881643256047
primes,10,2.0,3,6.0,True,False,0.01707008474370519,0.016948329216748145,0.017092766987554665
primes,10,2.0,4,8.0,True,False,0.0040614053647726554,0.0040537841630316649,0.0040620118600644302
primes,25,0.6,1,0.6,False,False,4.2858928836095389,3.785411115050008,43.053778007521139
primes,25,0.6,2,1.2,True,False,1.272563474662249,1.149663006913173,2.1571287998212414
primes,25,0.6,3,1.8,True,False,0.56282101788473271,0.51722105970974419,0.67735988401877567
primes,25,0.6,4,2.4,True,False,0.30072087564752703,0.2820426229375228,0.32583522977464108
primes,25,1.0,1,1.0,False,True,1.802817201048871,1.6217413038769473,4.0618969476078099
primes,25,1.0,2,2.0,True,False,0.45042878826375243,0.41677183383506455,0.51705633251787586
primes,25,1.0,3,3.0,True,False,0.17475249739514293,0.16682964588695584,0.18155296575524901
primes,25,1.0,4,4.0,True,False,0.076993067343080202,0.075040734338756215,0.077928058677044998
primes,25,1.2,1,1.2,True,False,1.272563474662249,1.149663006913173,2.1571287998212414
primes,25,1.2,2,2.4,True,False,0.30072087564752703,0.2820426229375228,0.32583522977464108
primes,25,1.2,3,3.6,True,False,0.10594964462517097,0.10253889212411005,0.10798039278279906
primes,25,1.2,4,4.8,True,False,0.041569651747812394,0.040927178967818612,0.041776239562126505
primes,25,2.0,1,2.0,True,False,0.45042878826375243,0.41677183383506455,0.51705633251787586
primes,25,2.0,2,4.0,True,False,0.076993067343080202,0.075040734338756215,0.077928058677044998
primes,25,2.0,3,6.0,True,False,0.017070086845789856,0.016948331318832811,0.017092769125569778
primes,25,2.0,4,8.0,True,False,0.0040614053665174515,0.0040537841647764602,0.0040620118618163127
primes,50,0.6,1,0.6,False,False,5.5020566766460002,4.972275709172516,143.35502390964982
primes,50,0.6,2,1.2,True,False,1.3331445182547157,1.2101635743809918,2.354033241591563
primes,50,0.6,3,1.8,True,False,0.56591099734897232,0.52031080528275186,0.68255051402843625
primes,50,0.6,4,2.4,True,False,0.3008821390619833,0.28220388562333115,0.32604905476526663
primes,50,1.0,1,1.0,False,True,1.9670298149248842,1.7853808385878427,4.9618500178316971
primes,50,1.0,2,2.0,True,False,0.45158064631618638,0.41792365796722547,0.51880472133643551
primes,50,1.0,3,3.0,True,False,0.17476109752755323,0.16683824601696939,0.18156312730806767
primes,50,1.0,4,4.0,True,False,0.076993135186821687,0.075040802182497521,0.077928131807719833
primes,50,1.2,1,1.2,True,False,1.3331445182547157,1.2101635743809918,2.354033241591563
primes,50,1.2,2,2.4,True,False,0.3008821390619833,0.28220388562333115,0.32604905476526663
primes,50,1.2,3,3.6,True,False,0.10595011246302365,0.10253935996195453,0.10798091113807901
primes,50,1.2,4,4.8,True,False,0.041569653205119204,0.040927180425125421,0.041776241080314115
primes,50,2.0,1,2.0,True,False,0.45158064631618638,0.41792365796722547,0.51880472133643551
primes,50,2.0,2,4.0,True,False,0.076993135186821687,0.075040802182497521,0.077928131807719833
primes,50,2.0,3,6.0,True,False,0.017070086850583342,0.016948331323626296,0.017092769130445197
primes,50,2.0,4,8.0,True,False,0.0040614053665178297,0.0040537841647768393,0.0040620118618166935
primes,100,0.6,1,0.6,False,False,6.9570696887321599,6.4060852630458101,604.51858916723029
primes,100,0.6,2,1.2,True,False,1.3764078620478939,1.2534065374247427,2.5022532162250184
primes,100,0.6,3,1.8,True,False,0.56722547576279891,0.52162526286944066,0.68476360950801107
primes,100,0.6,4,2.4,True,False,0.30092292830829537,0.28224467484687965,0.32610314437972693
primes,100,1.0,1,1.0,False,True,2.106342121472621,1.924487517455826,5.8516364219289212
primes,100,1.0,2,2.0,True,False,0.45199276047367914,0.41833576999399014,0.51943076802022858
primes,100,1.0,3,3.0,True,False,0.17476238891185975,0.16683953740124968,0.18156465316110168
primes,100,1.0,4,4.0,True,False,0.076993139448312792,0.075040806443988625,0.077928136401300988
primes,100,1.2,1,1.2,True,False,1.3764078620478939,1.2534065374247427,2.5022532162250184
primes,100,1.2,2,2.4,True,False,0.30092292830829537,0.28224467484687965,0.32610314437972693
primes,100,1.2,3,3.6,True,False,0.10595015411832394,0.10253940161725479,0.1079809572913575
primes,100,1.2,4,4.8,True,False,0.041569653250646349,0.040927180470652566,0.041776241127743217
primes,100,2.0,1,2.0,True,False,0.45199276047367914,0.41833576999399014,0.51943076802022858
primes,100,2.0,2,4.0,True,False,0.076993139448312792,0.075040806443988625,0.077928136401300988
primes,100,2.0,3,6.0,True,False,0.017070086850635855,0.016948331323678806,0.017092769130498606
primes,100,2.0,4,8.0,True,False,0.0040614053665178305,0.0040537841647768401,0.0040620118618166943
primes,250,0.6,1,0.6,False,False,9.3662598615697661,8.7954652071170205,6603.2271952244919
primes,250,0.6,2,1.2,True,False,1.4164824088274857,1.2934749411742119,2.6454322341017642
primes,250,0.6,3,1.8,True,False,0.56791569306258693,0.52231547804261402,0.68592686031500172
primes,250,0.6,4,2.4,True,False,0.30093521720323357,0.28225696374100973,0.32611944082100619
primes,250,1.0,1,1.0,False,True,2.2627185741424514,2.0807742511347018,7.0106687832540029
primes,250,1.0,2,2.0,True,False,0.45217234867382849,0.41851535804147838,0.51970366412885716
primes,250,1.0,3,3.0,True,False,0.17476261446794886,0.16683976295733846,0.18156491967023355
primes,250,1.0,4,4.0,True,False,0.076993139753635517,0.075040806749311337,0.07792813673041693
primes,250,1.2,1,1.2,True,False,1.4164824088274857,1.2934749411742119,2.6454322341017642
primes,250,1.2,2,2.4,True,False,0.30093521720323357,0.28225696374100973,0.32611944082100619
primes,250,1.2,3,3.6,True,False,0.10595015837157511,0.10253940587050596,0.10798096200387881
primes,250,1.2,4,4.8,True,False,0.041569653252262626,0.040927180472268843,0.041776241129427016
primes,250,2.0,1,2.0,True,False,0.45217234867382849,0.41851535804147838,0.51970366412885716
primes,250,2.0,2,4.0,True,False,0.076993139753635517,0.075040806749311337,0.07792813673041693
primes,250,2.0,3,6.0,True,False,0.017070086850636511,0.016948331323679466,0.017092769130499275
primes,250,2.0,4,8.0,True,False,0.0040614053665178305,0.0040537841647768401,0.0040620118618166943
composites,10,0.6,1,0.6,False,False,2.5758737104726483,2.2742593337915156,8.7207165393119492
composites,10,0.6,2,1.2,True,False,0.72178205376223614,0.68799524268564394,0.98972262119219778
composites,10,0.6,3,1.8,True,False,0.22091501395768559,0.21617029914159669,0.24131375566857083
composites,10,0.6,4,2.4,True,False,0.073480974553063419,0.072709184927577789,0.075417743745392438
composites,10,1.0,1,1.0,False,True,1.0922619047619047,1.0240139056447723,1.7843484760802468
composites,10,1.0,2,2.0,True,False,0.15173205624842528,0.1491726223584732,0.16087336461203872
composites,10,1.0,3,3.0,True,False,0.026234536618053306,0.026099372709416917,0.026442943821970582
composites,10,1.0,4,4.0,True,False,0.0052932053450554101,0.0052852499569447696,0.0052992415292903864
composites,10,1.2,1,1.2,True,False,0.72178205376223614,0.68799524268564394,0.98972262119219778
composites,10,1.2,2,2.4,True,False,0.073480974553063419,0.072709184927577789,0.075417743745392438
composites,10,1.2,3,3.6,True,False,0.0099002864301613452,0.0098757452411335662,0.009924671341097124
composites,10,1.2,4,4.8,True,False,0.0015756164200194877,0.0015747684086507129,0.0015760090075543399
composites,10,2.0,1,2.0,True,False,0.15173205624842528,0.1491726223584732,0.16087336461203872
composites,10,2.0,2,4.0,True,False,0.0052932053450554101,0.0052852499569447696,0.0052992415292903864
composites,10,2.0,3,6.0,True,False,0.00027291497481572496,0.00027288493803229126,0.00027292217451400832
composites,10,2.0,4,8.0,True,False,1.5950715504668041e-05,1.5950598911196073e-05,1.5950726122675251e-05
composites,25,0.6,1,0.6,False,False,4.6138465508777502,4.1836275023010385,64.603398584658663
composites,25,0.6,2,1.2,True,False,1.0026750125210531,0.96614212325456694,1.6277872000935336
composites,25,0.6,3,1.8,True,False,0.26018842293408267,0.25538558845466985,0.29095930391934521
composites,25,0.6,4,2.4,True,False,0.079049539119742288,0.078276471888571911,0.081421600015838577
composites,25,1.0,1,1.0,False,True,1.6351781498801623,1.5569651667292088,3.7444009088194417
composites,25,1.0,2,2.0,True,False,0.17217985041983255,0.16960420954373906,0.18483581179925906
composites,25,1.0,3,3.0,True,False,0.027034828706093309,0.026899635605711618,0.027264696790424463
composites,25,1.0,4,4.0,True,False,0.0053256581845527694,0.0053177027389061937,0.005331866815769512
composites,25,1.2,1,1.2,True,False,1.0026750125210531,0.96614212325456694,1.6277872000935336
composites,25,1.2,2,2.4,True,False,0.079049539119742288,0.078276471888571911,0.081421600015838577
composites,25,1.2,3,3.6,True,False,0.010016781450515452,0.0099922395724986457,0.010042328693488341
composites,25,1.2,4,4.8,True,False,0.0015781725496377863,0.0015773245378563519,0.0015785691685146811
composites,25,2.0,1,2.0,True,False,0.17217985041983255,0.16960420954373906,0.18483581179925906
composites,25,2.0,2,4.0,True,False,0.0053256581845527694,0.0053177027389061937,0.005331866815769512
composites,25,2.0,3,6.0,True,False,0.00027297336179726292,0.00027294332501356532,0.00027298057743208926
composites,25,2.0,4,8.0,True,False,1.5950830576890873e-05,1.5950713983418904e-05,1.5950841196733575e-05
composites,50,0.6,1,0.6,False,False,6.905964155395794,6.375717039227772,586.40647345578464
composites,50,0.6,2,1.2,True,False,1.2151277601813628,1.1776575344379798,2.2467598650373208
composites,50,0.6,3,1.8,True,False,0.28009770691724645,0.27528613742422098,0.31690743746420502
composites,50,0.6,4,2.4,True,False,0.080935782560778977,0.0801626310098663,0.083463258071372351
composites,50,1.0,1,1.0,False,True,2.1040543477943214,2.0213680606538316,6.5486448769440813
composites,50,1.0,2,2.0,True,False,0.18124506261995696,0.17866756953748081,0.19562321651752851
composites,50,1.0,3,3.0,True,False,0.027215468159774957,0.027080274215973369,0.027450277218614337
composites,50,1.0,4,4.0,True,False,0.0053293637214678188,0.0053214082754023551,0.0053355921165948667
composites,50,1.2,1,1.2,True,False,1.2151277601813628,1.1776575344379798,2.2467598650373208
composites,50,1.2,2,2.4,True,False,0.080935782560778977,0.0801626310098663,0.083463258071372351
composites,50,1.2,3,3.6,True,False,0.010034262666212412,0.010009720779490916,0.010059985606838816
composites,50,1.2,4,4.8,True,False,0.0015783412007276806,0.0015774931889452465,0.001578738085845229
composites,50,2.0,1,2.0,True,False,0.18124506261995696,0.17866756953748081,0.19562321651752851
composites,50,2.0,2,4.0,True,False,0.0053293637214678188,0.0053214082754023551,0.0053355921165948667
composites,50,2.0,3,6.0,True,False,0.00027297504864982588,0.00027294501186612811,0.00027298226474513148
composites,50,2.0,4,8.0,True,False,1.595083141466574e-05,1.5950714821193771e-05,1.5950842034521805e-05
composites,100,0.6,1,0.6,False,False,10.055779667821948,9.4292589827016648,12446.29964895927
composites,100,0.6,2,1.2,True,False,1.4159071205364231,1.3780155664074842,2.967021520538653
composites,100,0.6,3,1.8,True,False,0.29304817793824234,0.28823474762661633,0.33407043723719931
composites,100,0.6,4,2.4,True,False,0.081780912433126268,0.081007752338050035,0.084379303009106899
composites,100,1.0,1,1.0,False,True,2.606015284232972,2.5207438254052841,11.437844808604154
composites,100,1.0,2,2.0,True,False,0.1864522893815731,0.183874488340765,0.2018649655633056
composites,100,1.0,3,3.0,True,False,0.027271251063728026,0.027136057079259191,0.02750759293556394
composites,100,1.0,4,4.0,True,False,0.0053299796923489233,0.0053220242462776153,0.0053362113742301959
composites,100,1.2,1,1.2,True,False,1.4159071205364231,1.3780155664074842,2.967021520538653
composites,100,1.2,2,2.4,True,False,0.081780912433126268,0.081007752338050035,0.084379303009106899
composites,100,1.2,3,3.6,True,False,0.010037985085908634,0.010013443198987589,0.010063745480819957
composites,100,1.2,4,4.8,True,False,0.0015783582893208249,0.0015775102775383856,0.0015787552014169272
composites,100,2.0,1,2.0,True,False,0.1864522893815731,0.183874488340765,0.2018649655633056
composites,100,2.0,2,4.0,True,False,0.0053299796923489233,0.0053220242462776153,0.0053362113742301959
composites,100,2.0,3,6.0,True,False,0.00027297512998441929,0.00027294509320072152,0.00027298234610192778
composites,100,2.0,4,8.0,True,False,1.5950831426355645e-05,1.5950714832883676e-05,1.5950842046211896e-05
composites,250,0.6,1,0.6,False,False,16.03324840193698,15.288236415756732,4361105.710317241
composites,250,0.6,2,1.2,True,False,1.6594449940708154,1.6213377014703387,4.0598543660408968
composites,250,0.6,3,1.8,True,False,0.30319423884430668,0.29838039217098833,0.34767433515502311
composites,250,0.6,4,2.4,True,False,0.08221294370054083,0.081439782743753075,0.084847889053742909
composites,250,1.0,1,1.0,False,True,3.3120162626831129,3.2249837703415842,24.153165925214608
composites,250,1.0,2,2.0,True,False,0.18998682682721982,0.18740897310567553,0.20612045502473295
composites,250,1.0,3,3.0,True,False,0.027290035344222169,0.027154841357865885,0.027526894105738848
composites,250,1.0,4,4.0,True,False,0.0053300850563377834,0.0053221296102663983,0.0053363173004690742
composites,250,1.2,1,1.2,True,False,1.6594449940708154,1.6213377014703387,4.0598543660408968
composites,250,1.2,2,2.4,True,False,0.08221294370054083,0.081439782743753075,0.084847889053742909
composites,250,1.2,3,3.6,True,False,0.010038817862727943,0.010014275975802581,0.010064586638839105
composites,250,1.2,4,4.8,True,False,0.0015783600127496444,0.0015775120009672051,0.0015787569275666205
composites,250,2.0,1,2.0,True,False,0.18998682682721982,0.18740897310567553,0.20612045502473295
composites,250,2.0,2,4.0,True,False,0.0053300850563377834,0.0053221296102663983,0.0053363173004690742
composites,250,2.0,3,6.0,True,False,0.0002729751337593144,0.00027294509697561663,0.00027298234987785337
composites,250,2.0,4,8.0,True,False,1.5950831426508436e-05,1.5950714833036468e-05,1.5950842046364691e-05
