n_atoms,group_order,character_index,is_trivial_character,formal_monomials_checked,coefficient_phase_mismatches,atom_local_factorization_exact
1,2,0,True,1,0,True
1,2,1,False,1,0,True
1,3,0,True,1,0,True
1,3,1,False,1,0,True
1,3,2,False,1,0,True
1,4,0,True,1,0,True
1,4,1,False,1,0,True
1,4,2,False,1,0,True
1,4,3,False,1,0,True
1,5,0,True,1,0,True
1,5,1,False,1,0,True
1,5,2,False,1,0,True
1,5,3,False,1,0,True
1,5,4,False,1,0,True
1,6,0,True,1,0,True
1,6,1,False,1,0,True
1,6,2,False,1,0,True
1,6,3,False,1,0,True
1,6,4,False,1,0,True
1,6,5,False,1,0,True
1,7,0,True,1,0,True
1,7,1,False,1,0,True
1,7,2,False,1,0,True
1,7,3,False,1,0,True
1,7,4,False,1,0,True
1,7,5,False,1,0,True
1,7,6,False,1,0,True
1,8,0,True,1,0,True
1,8,1,False,1,0,True
1,8,2,False,1,0,True
1,8,3,False,1,0,True
1,8,4,False,1,0,True
1,8,5,False,1,0,True
1,8,6,False,1,0,True
1,8,7,False,1,0,True
2,2,0,True,3,0,True
2,2,1,False,3,0,True
2,3,0,True,3,0,True
2,3,1,False,3,0,True
2,3,2,False,3,0,True
2,4,0,True,3,0,True
2,4,1,False,3,0,True
2,4,2,False,3,0,True
2,4,3,False,3,0,True
2,5,0,True,3,0,True
2,5,1,False,3,0,True
2,5,2,False,3,0,True
2,5,3,False,3,0,True
2,5,4,False,3,0,True
2,6,0,True,3,0,True
2,6,1,False,3,0,True
2,6,2,False,3,0,True
2,6,3,False,3,0,True
2,6,4,False,3,0,True
2,6,5,False,3,0,True
2,7,0,True,3,0,True
2,7,1,False,3,0,True
2,7,2,False,3,0,True
2,7,3,False,3,0,True
2,7,4,False,3,0,True
2,7,5,False,3,0,True
2,7,6,False,3,0,True
2,8,0,True,3,0,True
2,8,1,False,3,0,True
2,8,2,False,3,0,True
2,8,3,False,3,0,True
2,8,4,False,3,0,True
2,8,5,False,3,0,True
2,8,6,False,3,0,True
2,8,7,False,3,0,True
3,2,0,True,7,0,True
3,2,1,False,7,0,True
3,3,0,True,7,0,True
3,3,1,False,7,0,True
3,3,2,False,7,0,True
3,4,0,True,7,0,True
3,4,1,False,7,0,True
3,4,2,False,7,0,True
3,4,3,False,7,0,True
3,5,0,True,7,0,True
3,5,1,False,7,0,True
3,5,2,False,7,0,True
3,5,3,False,7,0,True
3,5,4,False,7,0,True
3,6,0,True,7,0,True
3,6,1,False,7,0,True
3,6,2,False,7,0,True
3,6,3,False,7,0,True
3,6,4,False,7,0,True
3,6,5,False,7,0,True
3,7,0,True,7,0,True
3,7,1,False,7,0,True
3,7,2,False,7,0,True
3,7,3,False,7,0,True
3,7,4,False,7,0,True
3,7,5,False,7,0,True
3,7,6,False,7,0,True
3,8,0,True,7,0,True
3,8,1,False,7,0,True
3,8,2,False,7,0,True
3,8,3,False,7,0,True
3,8,4,False,7,0,True
3,8,5,False,7,0,True
3,8,6,False,7,0,True
3,8,7,False,7,0,True
4,2,0,True,15,0,True
4,2,1,False,15,0,True
4,3,0,True,15,0,True
4,3,1,False,15,0,True
4,3,2,False,15,0,True
4,4,0,True,15,0,True
4,4,1,False,15,0,True
4,4,2,False,15,0,True
4,4,3,False,15,0,True
4,5,0,True,15,0,True
4,5,1,False,15,0,True
4,5,2,False,15,0,True
4,5,3,False,15,0,True
4,5,4,False,15,0,True
4,6,0,True,15,0,True
4,6,1,False,15,0,True
4,6,2,False,15,0,True
4,6,3,False,15,0,True
4,6,4,False,15,0,True
4,6,5,False,15,0,True
4,7,0,True,15,0,True
4,7,1,False,15,0,True
4,7,2,False,15,0,True
4,7,3,False,15,0,True
4,7,4,False,15,0,True
4,7,5,False,15,0,True
4,7,6,False,15,0,True
4,8,0,True,15,0,True
4,8,1,False,15,0,True
4,8,2,False,15,0,True
4,8,3,False,15,0,True
4,8,4,False,15,0,True
4,8,5,False,15,0,True
4,8,6,False,15,0,True
4,8,7,False,15,0,True
5,2,0,True,31,0,True
5,2,1,False,31,0,True
5,3,0,True,31,0,True
5,3,1,False,31,0,True
5,3,2,False,31,0,True
5,4,0,True,31,0,True
5,4,1,False,31,0,True
5,4,2,False,31,0,True
5,4,3,False,31,0,True
5,5,0,True,31,0,True
5,5,1,False,31,0,True
5,5,2,False,31,0,True
5,5,3,False,31,0,True
5,5,4,False,31,0,True
5,6,0,True,31,0,True
5,6,1,False,31,0,True
5,6,2,False,31,0,True
5,6,3,False,31,0,True
5,6,4,False,31,0,True
5,6,5,False,31,0,True
5,7,0,True,31,0,True
5,7,1,False,31,0,True
5,7,2,False,31,0,True
5,7,3,False,31,0,True
5,7,4,False,31,0,True
5,7,5,False,31,0,True
5,7,6,False,31,0,True
5,8,0,True,31,0,True
5,8,1,False,31,0,True
5,8,2,False,31,0,True
5,8,3,False,31,0,True
5,8,4,False,31,0,True
5,8,5,False,31,0,True
5,8,6,False,31,0,True
5,8,7,False,31,0,True
6,2,0,True,63,0,True
6,2,1,False,63,0,True
6,3,0,True,63,0,True
6,3,1,False,63,0,True
6,3,2,False,63,0,True
6,4,0,True,63,0,True
6,4,1,False,63,0,True
6,4,2,False,63,0,True
6,4,3,False,63,0,True
6,5,0,True,63,0,True
6,5,1,False,63,0,True
6,5,2,False,63,0,True
6,5,3,False,63,0,True
6,5,4,False,63,0,True
6,6,0,True,63,0,True
6,6,1,False,63,0,True
6,6,2,False,63,0,True
6,6,3,False,63,0,True
6,6,4,False,63,0,True
6,6,5,False,63,0,True
6,7,0,True,63,0,True
6,7,1,False,63,0,True
6,7,2,False,63,0,True
6,7,3,False,63,0,True
6,7,4,False,63,0,True
6,7,5,False,63,0,True
6,7,6,False,63,0,True
6,8,0,True,63,0,True
6,8,1,False,63,0,True
6,8,2,False,63,0,True
6,8,3,False,63,0,True
6,8,4,False,63,0,True
6,8,5,False,63,0,True
6,8,6,False,63,0,True
6,8,7,False,63,0,True
7,2,0,True,127,0,True
7,2,1,False,127,0,True
7,3,0,True,127,0,True
7,3,1,False,127,0,True
