n_atoms,alphabet_size,d_plus_terms,d_minus_terms,d_regular_terms,d_plus_mismatch_terms,d_minus_mismatch_terms,d_regular_mismatch_terms,same_object_block_mismatch_terms,d_plus_sha256,d_minus_sha256,d_regular_sha256
1,1,2,2,2,0,0,0,0,a7ea7169117086ce0a53662d7c3686a69aa69b6f14284c831e9e9e5078b395fa,90a41be7a4a5c028e144a7911e814883664b04040d989eee5ea61a44bb0fbbaa,53d6eb6c56d1ec5aafcdea28a6f0ffbc4e41461b30e40ed32f154e1b87862699
2,3,4,4,4,0,0,0,0,0c242275bf85a4b5e7329c0e5dd61d5eaa0686445d94674bdb48a38b0a183fa5,cfdd442f62b55ada82e933498982019fb5d8600af380c868c3540b9a9cd43b62,a9aa6c2d7c27edb0f0112062ba8cebaf680d845692dc4f24c10d4870f7a6f97b
3,7,8,8,8,0,0,0,0,b53c8a2aee40ed849a9bb2a0e495dc63897cbc125a29679d7fe105bb5e808ec1,77b969ef9d2222c0cd211686c5ff6dc1e365d13e5a665ce7021d5d37c9d6842f,99baf26a81d9d0c1d342967d12d6e9d9a077162a36e3b7345aa28bc0f8a95278
4,15,16,16,16,0,0,0,0,094542421fd5def0486724d9df68d7d75f50f0e5c5d8f84ec117546c0c702b16,aac1ed37d04cae98116a6a4120bd54b9ad18e68e9204f4415e8c4e448e00906c,4d3d1ebbb69175813b45060f6f4bdba55f95c062c4395915c02caa439dc9d21c
5,31,32,32,32,0,0,0,0,246a29e7b148a65a98cf181e05c202d0fbfe00ab1326321cc82887993c330603,c0c86d5328ba4c104766523c0801184bf0b0dea443bb6afe0f63b414bcba7d64,a7a260ad184273037a31d848ffc00d3003d1ae5cddce0a4c18852556587fdd56
6,63,64,64,64,0,0,0,0,122eaf3165a3f9722711598c370d77535fa66faec71c435abdffb3860a5adc2b,2d46d32a92d8c9806b614f120a0385dc530ece206689b9c3fe703e84211e6ac4,8daae4a10ed27802c3ff2ce3777e3504afdc7106b4c738b957768f6ebd3f3320
7,127,128,128,128,0,0,0,0,d05a0cfc6404f1fe1593cd129422b0f53b75111998c35bf967b16e116508c4f5,ae79c9e0be05d72d8a1daa733ccbeab81e5a44f846b40cf1c428217e53c6f0f2,ac5ed817d1957df0c6835e96ed87efdeae346a40a356de7ba0180e974e18a7fd
8,255,256,256,256,0,0,0,0,67da3ec08b74b393c3189f5b2ef5958b13f0971551dc99737954adbed0e2da42,21a2e284ac2b5576a28843525382ddb94c1548e7d926d16b6a81cc4812eb93da,e34115d1b4d1ecf223cd899cd759ec3da3fca8316c94b5cdad07d0ab9d2c5d6e
9,511,512,512,512,0,0,0,0,f45f3cb3765c5c55513e23cb2509135d0724f080f35732a2da74890845e22f1d,deb6bd217b855b5e96eb4853f9cd112ed2ab084607383e1159c286e6899debb5,4b395f55ac2822ed7c397f4ac9ae73e915dba86c2246e155967ea0e5b8737d90
10,1023,1024,1024,1024,0,0,0,0,730c9af36a1fdd1611a48f1500ffa0f7198ffd26c9c627775f12b7d3fb6de4e8,e95baf89e9fc232f97b421060fb2940e0459ffd41724e0abf5bf6d9f72360250,36c0414b7d92b26c290eac7a8bf3f050d6fc38662c164757f8f0d1b73679fcd9
