seed,inventory_kind,n_atoms,values_sha256,d_plus,d_minus,d_regular,d_plus_exact,d_minus_exact,d_regular_exact,same_object_exact
17000,prime,10,c5215938bb16a7c2fa6ad98121aca53c68879c6671af787cde405220a3cca33f,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17000,shuffled_prime,10,032d9253fc45c87773efab67a558a70b65d27309d057ca67c00a171af2beb7a0,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17000,composite,10,3bde1aa753c52df20847b490a2bcac1265419512f1d1a1f965c8ba5939129864,3929991065/4586471424,73032870643589753/62912004762894336,41002647011515504116508135/41220587438795252513636352,True,True,True,True
17000,random_rational,10,97d9ca6a4d2da2d9dce13c0c2603c16a8f8ef14826c58154572b741477fcfb13,3819231/4969516585,2231127934464/59346706325,774653906570079744/26811312849746536375,True,True,True,True
17001,prime,10,c5215938bb16a7c2fa6ad98121aca53c68879c6671af787cde405220a3cca33f,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17001,shuffled_prime,10,8dd5ff4654c9d2ea1314acf0423c3ab16db0115bb6f3a3f0b3a72a0eaee5348e,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17001,composite,10,bb872277630330a041390361c5da47216d1bcbecbd26f6ed0ed36eaf258163c8,3929991065/4586471424,73032870643589753/62912004762894336,41002647011515504116508135/41220587438795252513636352,True,True,True,True
17001,random_rational,10,d8acb65a44bce501de26a198c280f4b88d5671a14b7c70739d524c64bf705b30,341000/38690529597,4163811576925/108066651633,1419859747731425000/4181155983455274881901,True,True,True,True
17002,prime,10,c5215938bb16a7c2fa6ad98121aca53c68879c6671af787cde405220a3cca33f,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17002,shuffled_prime,10,a292833b1b4db2ceb42b621ab3a6235e4d9584b29df91d4bfb2288f795503b48,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17002,composite,10,4948a39e046bd4440907dd29a89eabcd19a2e3223369958acb9d177f442c7ac1,3929991065/4586471424,73032870643589753/62912004762894336,41002647011515504116508135/41220587438795252513636352,True,True,True,True
17002,random_rational,10,631562f16f78043515172f67d733293a75a6d3ab2d5354d5479ef2157f0866bf,458689/3723794532,24793449199519/520047167400,11372482419878170591/1936548798346208656800,True,True,True,True
17003,prime,10,c5215938bb16a7c2fa6ad98121aca53c68879c6671af787cde405220a3cca33f,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17003,shuffled_prime,10,c07c45b13ca5d30e6a0aeaa72784f96bc2e6b73c0f8d0499186c13b2ac868f30,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17003,composite,10,7ebd41a6b4ea1e709aa43ea2bbc0f0867a469d0bf024086022ec22271c562f52,3929991065/4586471424,73032870643589753/62912004762894336,41002647011515504116508135/41220587438795252513636352,True,True,True,True
17003,random_rational,10,1c6b283b727c6f978a1ee257d8fa60d3b4efef003f123a4f54e52f84cbc1a8e0,5637863/932090265600,2369956606193/60459909120,13361490661661085559/56354092749812662272000,True,True,True,True
17004,prime,10,c5215938bb16a7c2fa6ad98121aca53c68879c6671af787cde405220a3cca33f,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17004,shuffled_prime,10,19155002983aa88c5f750b261d0dad66567201ab7f65db1a757332660f6592f4,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17004,composite,10,c023e285479635a2df26866443e71d2db19563b0a3bc934330cc912f85009518,3929991065/4586471424,73032870643589753/62912004762894336,41002647011515504116508135/41220587438795252513636352,True,True,True,True
17004,random_rational,10,3de4448e09d81ed55d6076ec353c25fb8531841ffdc21928361885e86f3b2a60,384659/533524446,60069670/2760023,11553169596265/736269871011129,True,True,True,True
17005,prime,10,c5215938bb16a7c2fa6ad98121aca53c68879c6671af787cde405220a3cca33f,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17005,shuffled_prime,10,4dff007f61dfbef58e9d99f0342e97889b2947a69f5333ece2ff1bcb323110d5,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17005,composite,10,b772f93ef0018303c250a852f0148104aa5d026c88c18914f86a823bea9065d7,3929991065/4586471424,73032870643589753/62912004762894336,41002647011515504116508135/41220587438795252513636352,True,True,True,True
17005,random_rational,10,02c41d122e00570ce3b2802eed91e0703b464416a39fa1e77ec2b05a6e0037de,11858/10954035,1277105150/38904723,275343870340/7748430861951,True,True,True,True
17006,prime,10,c5215938bb16a7c2fa6ad98121aca53c68879c6671af787cde405220a3cca33f,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17006,shuffled_prime,10,87b4c006986d2860378a1ec786bd6df4a15c3309882f645d379107a76b13049d,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17006,composite,10,bea6f702e09b101c3c5a33a8f2bcbd8aed55c952aa3f7fc07ce95fa0d76222b0,3929991065/4586471424,73032870643589753/62912004762894336,41002647011515504116508135/41220587438795252513636352,True,True,True,True
17006,random_rational,10,daa69e4f28a21f49bc95956b1a87f580e80e3939745cbaecf4f8099e99ea18cf,621813760/1581187228929,7562536550400/175687469881,1567496429180551168000/92598261219561846462483,True,True,True,True
17007,prime,10,c5215938bb16a7c2fa6ad98121aca53c68879c6671af787cde405220a3cca33f,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17007,shuffled_prime,10,d02395ded18f732ddf1bc32ca4ef9093e27ab7200dd7cfcbf69812a74143a2a4,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17007,composite,10,fc864d4d4fd77553d07c327e947c2efc5226189fc2d3262748192a41fe4a91c0,3929991065/4586471424,73032870643589753/62912004762894336,41002647011515504116508135/41220587438795252513636352,True,True,True,True
17007,random_rational,10,dccb3f247b116593d288b391858edf9f4f80b3ee2d346d94344c00d3a3d17e60,2256640/12159325871,2062338240/61244183,4653954965913600/744687978800158393,True,True,True,True
17008,prime,10,c5215938bb16a7c2fa6ad98121aca53c68879c6671af787cde405220a3cca33f,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17008,shuffled_prime,10,668a51b6bea50b175a595d72877c0bc8f4c33c62d5772c664cf81af9da0d072a,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17008,composite,10,3651a7815454f3c43b9b83514f4373ee8cb3c7d8ca04e40a35f54a7ceca2196b,3929991065/4586471424,73032870643589753/62912004762894336,41002647011515504116508135/41220587438795252513636352,True,True,True,True
17008,random_rational,10,bfad2b8bdfad1613fb9e4efd24e4b1182897144ea468d2ad652be386e1d536a2,84638350/89064969609,33674695600/1343482239,17702923430660000/743212452091715991,True,True,True,True
17009,prime,10,c5215938bb16a7c2fa6ad98121aca53c68879c6671af787cde405220a3cca33f,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17009,shuffled_prime,10,77a6ce7f3f45d4ace62f4901436c8fff029914fca470b6ef18f5a1b5ba9c4322,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17009,composite,10,e8820a1616efc70427b3576c5a10a5016b5d4182aa3e518462ab33ce7752d950,3929991065/4586471424,73032870643589753/62912004762894336,41002647011515504116508135/41220587438795252513636352,True,True,True,True
17009,random_rational,10,20d9bd0f85e09337a546468cb408d17d836e180d34b6a4fb003f89ae66571e3e,4281875/5882190848,24290836515/561130048,104010325602665625/3300674032883400704,True,True,True,True
17010,prime,10,c5215938bb16a7c2fa6ad98121aca53c68879c6671af787cde405220a3cca33f,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17010,shuffled_prime,10,e2b2d6473ba1b8959a52d42426427327f0eb33ce6437c582949da51427cf2f5e,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17010,composite,10,65a7114b2f80d822744f67024fa1da0699d11f871366479b02769d79aee7d4b1,3929991065/4586471424,73032870643589753/62912004762894336,41002647011515504116508135/41220587438795252513636352,True,True,True,True
17010,random_rational,10,796ed219ed865d92ac46b257e2cb079be358421cc26fba97d7d98c889f13b5eb,2296/60573329,17323595289/441828988,584926099758/393574303703839,True,True,True,True
17011,prime,10,c5215938bb16a7c2fa6ad98121aca53c68879c6671af787cde405220a3cca33f,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17011,shuffled_prime,10,d9f803f87ee2a249a0494d600b6a0b02bbcd440917998545cbf60e97a9af9cc9,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17011,composite,10,14862110c2b6ddc85fb30110c629e97f4f18df4b61aa4942d2b14551bb2e90ce,3929991065/4586471424,73032870643589753/62912004762894336,41002647011515504116508135/41220587438795252513636352,True,True,True,True
17011,random_rational,10,be9a1605bb435a5e4d259810302ccc97067fba4d8625fbdc65b5865c220c52b0,1069056/2751734375,284922904576/8973046875,101532846891466752/8230480511474609375,True,True,True,True
17012,prime,10,c5215938bb16a7c2fa6ad98121aca53c68879c6671af787cde405220a3cca33f,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17012,shuffled_prime,10,7dccf021caae6645ff734fc35bc3754bae8f1d5f5fbf5f1ec8b69aa7195f7bf8,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17012,composite,10,76f6f3066eda6e748d4632c3745884ea0754aec9716658598ad7be7ee8ff546a,3929991065/4586471424,73032870643589753/62912004762894336,41002647011515504116508135/41220587438795252513636352,True,True,True,True
17012,random_rational,10,d2a5aaa26ba65f17578682d96f41d10d2a4e7cdec9c5461c1996d52447fb118e,3116000/89491252851,612949902912000/19751560874969,212216877497088000000/196399103162641063976291,True,True,True,True
17013,prime,10,c5215938bb16a7c2fa6ad98121aca53c68879c6671af787cde405220a3cca33f,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17013,shuffled_prime,10,9f484f7a71ea4487c118e593f6ee4b410255688a427c27a68f634b7f9f86a97a,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17013,composite,10,6f9f8afc071d392dcc2b80e3eb10428b55aa34c66afd8c8a223047f29ac6f015,3929991065/4586471424,73032870643589753/62912004762894336,41002647011515504116508135/41220587438795252513636352,True,True,True,True
17013,random_rational,10,a86e1089f2343d7ada4f53564d9f69a3dd40af4cc5065bef879cb9cfe8c8a9b3,8789/691192320,985754399/13576992,112516823543/121874189598720,True,True,True,True
17014,prime,10,c5215938bb16a7c2fa6ad98121aca53c68879c6671af787cde405220a3cca33f,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17014,shuffled_prime,10,78cfa04110fab3a8cee09d68408ff0cc14ff297030e84be4608aceabe1cf7702,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
17014,composite,10,a10c75203b2f655486f421085245f19b156b8b863780833a363f02cf4808c35a,3929991065/4586471424,73032870643589753/62912004762894336,41002647011515504116508135/41220587438795252513636352,True,True,True,True
17014,random_rational,10,ae34f03c2ca5f772b73cecaf7ef73759c2b65478ac67e844043cc389d43e7d69,385875/120734907392,1777529788125/14204106752,685904306992734375/1714931513288801910784,True,True,True,True
17015,prime,10,c5215938bb16a7c2fa6ad98121aca53c68879c6671af787cde405220a3cca33f,52836150804480/86285158710179,98543133200000/65309612248881,578515538500128866304000000/626138917577216391721784411,True,True,True,True
