r,actual,expected,exact
1,22089188627685001/49770428644836900,22089188627685001/49770428644836900,True
2,190708382677474639320229270933201/2477095567490801422201027601610000,190708382677474639320229270933201/2477095567490801422201027601610000,True
3,2104504107229821011344062444157576977876830419801/123286108188242699590463013379645004516627409000000,2104504107229821011344062444157576977876830419801/123286108188242699590463013379645004516627409000000,True
4,24920793258382132210024504066173627757375900405295304540394346401/6136002450482575543663807745620097475243287075449068874592100000000,24920793258382132210024504066173627757375900405295304540394346401/6136002450482575543663807745620097475243287075449068874592100000000,True
5,303438058306042685813615245607876644631669012265988223905111365072442191001833001/305391472126287389912067917201211805626230035505676433632570823397258528490000000000,303438058306042685813615245607876644631669012265988223905111365072442191001833001/305391472126287389912067917201211805626230035505676433632570823397258528490000000000,True
6,3739470590511547815953866022031287994987070636749923582785531982557734790554346339871525604879601/15199464472203083619278071624162022002156373876993447313776968487476679779533151730053281000000000000,3739470590511547815953866022031287994987070636749923582785531982557734790554346339871525604879601/15199464472203083619278071624162022002156373876993447313776968487476679779533151730053281000000000000,True
7,46330397757892703145796292579927405744808826154774326310294005112856998045278980778469176208778129035472499486201/756483861953517126566831287245250920495343016388292672083565904293494643508461613120533267011462554868900000000000000,46330397757892703145796292579927405744808826154774326310294005112856998045278980778469176208778129035472499486201/756483861953517126566831287245250920495343016388292672083565904293494643508461613120533267011462554868900000000000000,True
8,575376326609238700629483573789071048725754765968188607270580506089401057623348828612997807224090987308747951541597008690381652801/37650526072328171936695291762250209370684337226819795603338569781977444693437332193180866661042770508342415236941382410000000000000000,575376326609238700629483573789071048725754765968188607270580506089401057623348828612997807224090987308747951541597008690381652801/37650526072328171936695291762250209370684337226819795603338569781977444693437332193180866661042770508342415236941382410000000000000000,True
9,7153132986083218181664092457444057777397414954210263618667551840011205884126654456922011538651417048098006608486895755398202508298811311547379401/1873882821323380589596187750917655348033532151618193201947752702447357097382716120470370050851980811526150478907241193359417994978929000000000000000000,7153132986083218181664092457444057777397414954210263618667551840011205884126654456922011538651417048098006608486895755398202508298811311547379401/1873882821323380589596187750917655348033532151618193201947752702447357097382716120470370050851980811526150478907241193359417994978929000000000000000000,True
10,88970183770373387861447013064235448108308107682057157010360498228841212478724388824249340157142156287620871394703579064888386952398077067084606380295661892666001/93263951247460967816517248446907060547830883432162336947435773584024424818351624987578655453424815081677507891625510244789790119190832998040141680100000000000000000000,88970183770373387861447013064235448108308107682057157010360498228841212478724388824249340157142156287620871394703579064888386952398077067084606380295661892666001/93263951247460967816517248446907060547830883432162336947435773584024424818351624987578655453424815081677507891625510244789790119190832998040141680100000000000000000000,True
11,1106836139444375140885561570765260880346563116558995586183779102698006307296659134113182609547432322924033265317481383138722056907704349431172051807616733890106098440020913512601/4641786830697303485686152282387650964720821051812397072011013607727936772687382254276209332534245801190496666081750249162902611430788184098628271473127119356475690000000000000000000000,1106836139444375140885561570765260880346563116558995586183779102698006307296659134113182609547432322924033265317481383138722056907704349431172051807616733890106098440020913512601/4641786830697303485686152282387650964720821051812397072011013607727936772687382254276209332534245801190496666081750249162902611430788184098628271473127119356475690000000000000000000000,True
12,13770904770686396860786545551839029887198615125202383366274867323871021337958954291941426637380261603779252436366648718803134572615638257572034133970635582540600681434204929904771106381705919201/231023720241763763296165690836663061131545610632696790485380477455102301398688516890668010660306307924906134881157972506435281937661735256865540474906476057868604614655098864961000000000000000000000000,13770904770686396860786545551839029887198615125202383366274867323871021337958954291941426637380261603779252436366648718803134572615638257572034133970635582540600681434204929904771106381705919201/231023720241763763296165690836663061131545610632696790485380477455102301398688516890668010660306307924906134881157972506435281937661735256865540474906476057868604614655098864961000000000000000000000000,True
