limit,sigma,entry_l1_sum
32,1.1,7.732662396098638
32,1.25,4.761678705344466
32,1.5,2.3785229840846225
32,2.0,0.8461830217482632
64,1.1,9.934050946741996
64,1.25,5.705684686079055
64,1.5,2.620801619639558
64,2.0,0.8651390588752014
128,1.1,12.246729582986859
128,1.25,6.574492142969673
128,1.5,2.8021413003709315
128,2.0,0.8748769296527276
256,1.1,14.641655788977479
256,1.25,7.361001989985645
256,1.5,2.9354660153408543
256,2.0,0.8797607417519097
512,1.1,17.096114041896378
512,1.25,8.065110507907193
512,1.5,3.032645622303207
512,2.0,0.8822120386608544
