p,cycle_length,simulated_length,harmonic_lower_bound,length_over_log_p,optimal_max_weight_sigma_1,optimal_max_weight_sigma_2,source_roof_over_log_p
2,2,2,2.0,2.8853900817779268,0.7071067811865476,0.5,4.0
3,2,2,2.0,1.8204784532536746,0.5773502691896257,0.3333333333333333,3.2618595071429146
5,5,5,4.5,3.1066746727980594,0.7247796636776955,0.5253055608807535,8.94927173741233
7,6,6,5.5,3.0833900542185044,0.7230200263994838,0.5227579585747102,10.335014752079358
11,12,12,11.166666666666666,5.004388697090956,0.8188743660792728,0.6705552274217308,21.081452985132504
13,14,14,12.833333333333332,5.45819743351792,0.8325927362887023,0.6932106645207086,24.57466520148014
17,22,22,20.416666666666668,7.765034725024745,0.8791652293499933,0.7729315004980264,39.052039986169326
19,24,24,22.583333333333332,8.150958525482606,0.8845422871134333,0.7824150576918634,42.45931341353845
23,28,28,26.916666666666668,8.930011689306427,0.894060407408509,0.7993440120954691,49.36107461069803
29,41,41,39.21666666666666,12.175942379308173,0.9211529688284773,0.8485227919815177,72.94710290802564
31,44,44,41.78333333333334,12.813093753678348,0.9249226526355832,0.8554819133584437,78.3894519390921
37,59,59,55.65,16.339335711122587,0.9406332140676659,0.8847908434072673,105.79240613489523
41,64,64,61.449999999999996,17.234080516121026,0.9436267683361225,0.8904314779204742,114.54933765407738
43,67,67,64.35000000000001,17.813463240215086,0.9454093079469147,0.8937987595526642,119.95667747273087
47,72,72,70.14999999999999,18.70058175640355,0.9479303288084143,0.8985719082748286,128.7601431110745
53,89,89,86.42142857142856,22.41648773890127,0.9563703730015524,0.9146442903551284,159.8460412371838
59,98,98,95.97857142857143,24.03411405736338,0.9592461869094621,0.9201532471003426,175.9939295500784
61,103,103,99.16428571428571,25.055499974751257,0.9608745720007095,0.9232799431175466,185.4195471666808
67,121,121,117.09642857142858,28.777371131002294,0.9658473058132281,0.9328610181466714,218.30296647954776
71,127,127,123.96785714285714,29.793464126644544,0.9669926266997223,0.9350747400916285,229.01771295988732
73,132,132,127.40357142857142,30.765935865523222,0.9680190805239423,0.9370609402584186,238.41281671738048
79,141,141,137.7107142857143,32.269523464020835,0.9694862452561779,0.9399035797409218,254.51690294559202
