candidate_id,s_integer,z_power,newton_coefficient,primitive_product_coefficient,numerator,denominator,exact_match,primitive_factor_cutoff
SD-C23,1,0,1,1,1,1,True,16
SD-C23,1,1,0,0,0,1,True,16
SD-C23,1,2,-1/36,-1/36,-1,36,True,16
SD-C23,1,3,-1/3600,-1/3600,-1,3600,True,16
SD-C23,1,4,-1/14112,-1/14112,-1,14112,True,16
SD-C23,1,5,-1/228614400,-1/228614400,-1,228614400,True,16
SD-C23,1,6,-1093/442597478400,-1093/442597478400,-1093,442597478400,True,16
SD-C23,1,7,81787/673190764646400,81787/673190764646400,81787,673190764646400,True,16
SD-C23,1,8,-45077/6119916042240000,-45077/6119916042240000,-45077,6119916042240000,True,16
SD-C23,1,9,19/51164268503040000,19/51164268503040000,19,51164268503040000,True,16
SD-C23,1,10,31302872719/49556630087350833807360000,31302872719/49556630087350833807360000,31302872719,49556630087350833807360000,True,16
SD-C23,1,11,4623126259/4955663008735083380736000000,4623126259/4955663008735083380736000000,4623126259,4955663008735083380736000000,True,16
SD-C23,1,12,-3410780521/147174497213802616612454400000,-3410780521/147174497213802616612454400000,-3410780521,147174497213802616612454400000,True,16
SD-C23,1,13,8618256391/9437564633835092790273638400000000,8618256391/9437564633835092790273638400000000,8618256391,9437564633835092790273638400000000,True,16
SD-C23,1,14,46400920871/12231083765450280256194635366400000000,46400920871/12231083765450280256194635366400000000,46400920871,12231083765450280256194635366400000000,True,16
SD-C23,1,15,2014568908699/63003841361305074884690591101747200000000,2014568908699/63003841361305074884690591101747200000000,2014568908699,63003841361305074884690591101747200000000,True,16
SD-C23,1,16,1165040054819310139/52748277676804190971200287692096316375040000000000,1165040054819310139/52748277676804190971200287692096316375040000000000,1165040054819310139,52748277676804190971200287692096316375040000000000,True,16
SD-C23,2,0,1,1,1,1,True,16
SD-C23,2,1,0,0,0,1,True,16
SD-C23,2,2,-1/1296,-1/1296,-1,1296,True,16
SD-C23,2,3,-1/12960000,-1/12960000,-1,12960000,True,16
SD-C23,2,4,-1201/248935680000,-1201/248935680000,-1201,248935680000,True,16
SD-C23,2,5,-1/52264543887360000,-1/52264543887360000,-1,52264543887360000,True,16
SD-C23,2,6,-1185937/195892527886038466560000,-1185937/195892527886038466560000,-1185937,195892527886038466560000,True,16
SD-C23,2,7,1338117107/90637161121040943223406592000,1338117107/90637161121040943223406592000,1338117107,90637161121040943223406592000,True,16
SD-C23,2,8,-261067704067/4531858056052047161170329600000000,-261067704067/4531858056052047161170329600000000,-261067704067,4531858056052047161170329600000000,True,16
SD-C23,2,9,549119/3981646986977231094786136473600000000,549119/3981646986977231094786136473600000000,549119,3981646986977231094786136473600000000,True,16
SD-C23,2,10,967377645012702569071/2455859585614525909995829760441026713590169600000000,967377645012702569071/2455859585614525909995829760441026713590169600000000,967377645012702569071,2455859585614525909995829760441026713590169600000000,True,16
SD-C23,2,11,21168783975604317631/24558595856145259099958297604410267135901696000000000000,21168783975604317631/24558595856145259099958297604410267135901696000000000000,21168783975604317631,24558595856145259099958297604410267135901696000000000000,True,16
SD-C23,2,12,-20367474825266791935289/30865973997943221678221159118218211101542698713088000000000000,-20367474825266791935289/30865973997943221678221159118218211101542698713088000000000000,-20367474825266791935289,30865973997943221678221159118218211101542698713088000000000000,True,16
SD-C23,2,13,70955671044282279919/89067626217814909055216932280508425409889149973954560000000000000000,70955671044282279919/89067626217814909055216932280508425409889149973954560000000000000000,70955671044282279919,89067626217814909055216932280508425409889149973954560000000000000000,True,16
SD-C23,2,14,1552619421651157329359/149599410077461406287687242929258439453256374522653662248960000000000000000,1552619421651157329359/149599410077461406287687242929258439453256374522653662248960000000000000000,1552619421651157329359,149599410077461406287687242929258439453256374522653662248960000000000000000,True,16
SD-C23,2,15,288622790701458026045651/288689747365854262661646240681663023629735944330506328112210378752000000000000000,288622790701458026045651/288689747365854262661646240681663023629735944330506328112210378752000000000000000,288622790701458026045651,288689747365854262661646240681663023629735944330506328112210378752000000000000000,True,16
SD-C23,2,16,1333992490265092765314136159975847071/2782380797869239338283456511505723435322924037756018504360606412859460845935001600000000000000000000,1333992490265092765314136159975847071/2782380797869239338283456511505723435322924037756018504360606412859460845935001600000000000000000000,1333992490265092765314136159975847071,2782380797869239338283456511505723435322924037756018504360606412859460845935001600000000000000000000,True,16
SD-C23,3,0,1,1,1,1,True,16
SD-C23,3,1,0,0,0,1,True,16
SD-C23,3,2,-1/46656,-1/46656,-1,46656,True,16
SD-C23,3,3,-1/46656000000,-1/46656000000,-1,46656000000,True,16
SD-C23,3,4,-2353/7025960632320000,-2353/7025960632320000,-2353,7025960632320000,True,16
SD-C23,3,5,-1/11948427342082473984000000,-1/11948427342082473984000000,-1,11948427342082473984000000,True,16
SD-C23,3,6,-1291468033/86701538879762307864858722304000000,-1291468033/86701538879762307864858722304000000,-1291468033,86701538879762307864858722304000000,True,16
SD-C23,3,7,1595519361649/889447518957033673359862566337118208000000,1595519361649/889447518957033673359862566337118208000000,1595519361649,889447518957033673359862566337118208000000,True,16
SD-C23,3,8,-133604342004259387/305080499002262549962432860253631545344000000000000,-133604342004259387/305080499002262549962432860253631545344000000000000,-133604342004259387,305080499002262549962432860253631545344000000000000,True,16
SD-C23,3,9,755692339/14755007735956256259146141843502736022175744000000000000,755692339/14755007735956256259146141843502736022175744000000000000,755692339,14755007735956256259146141843502736022175744000000000000,True,16
SD-C23,3,10,30086459241232954363485113515159/121704125030773765664303087161126992460451252701469062655436128256000000000000,30086459241232954363485113515159/121704125030773765664303087161126992460451252701469062655436128256000000000000,30086459241232954363485113515159,121704125030773765664303087161126992460451252701469062655436128256000000000000,True,16
SD-C23,3,11,97393716928794121450259428279/121704125030773765664303087161126992460451252701469062655436128256000000000000000000,97393716928794121450259428279/121704125030773765664303087161126992460451252701469062655436128256000000000000000000,97393716928794121450259428279,121704125030773765664303087161126992460451252701469062655436128256000000000000000000,True,16
SD-C23,3,12,-113810010484117391698387501142227/6639307683005413470151906384922042884202572847381534603437822200411429273600000000000000000,-113810010484117391698387501142227/6639307683005413470151906384922042884202572847381534603437822200411429273600000000000000000,-113810010484117391698387501142227,6639307683005413470151906384922042884202572847381534603437822200411429273600000000000000000,True,16
SD-C23,3,13,597321422778044151903843999271/840581479212893272740911287069840646150274286840824327163236032019855367471104000000000000000000000000,597321422778044151903843999271/840581479212893272740911287069840646150274286840824327163236032019855367471104000000000000000000000000,597321422778044151903843999271,840581479212893272740911287069840646150274286840824327163236032019855367471104000000000000000000000000,True,16
SD-C23,3,14,5296658041262693411455728771301/166342083265397932686876908566968574261340315377282149004365198463595596835080743419904000000000000000000000000,5296658041262693411455728771301/166342083265397932686876908566968574261340315377282149004365198463595596835080743419904000000000000000000000000,5296658041262693411455728771301,166342083265397932686876908566968574261340315377282149004365198463595596835080743419904000000000000000000000000,True,16
SD-C23,3,15,38914117281321281539185187106505910843/1231225806168669153403438594196509447835410267300421778672713867997193501391578766224821889787756544000000000000000000000000,38914117281321281539185187106505910843/1231225806168669153403438594196509447835410267300421778672713867997193501391578766224821889787756544000000000000000000000000,38914117281321281539185187106505910843,1231225806168669153403438594196509447835410267300421778672713867997193501391578766224821889787756544000000000000000000000000,True,16
SD-C23,3,16,1540608688240509695519997320214541009678738557306812119/146765794928614631270765756208998096292190353108776853607530592147089415410813214540968428515450043562129578473568600064000000000000000000000000000000,1540608688240509695519997320214541009678738557306812119/146765794928614631270765756208998096292190353108776853607530592147089415410813214540968428515450043562129578473568600064000000000000000000000000000000,1540608688240509695519997320214541009678738557306812119,146765794928614631270765756208998096292190353108776853607530592147089415410813214540968428515450043562129578473568600064000000000000000000000000000000,True,16
