candidate_id,variant,quotient_inventory,quotient_blacklist,trace_power_one,trace_vector_1_to_32,positive_length_count_2_to_32,first_positive_length,all_lengths_2_to_32,control_margin_against_full_flood,strong_connectivity_theorem
SD-C23,full,all,,0,0 2 3 10 10 29 28 82 93 192 264 553 754 1458 2173 4002 6171 11027 17442 30620 49297 85010 138874 237433 390460 663028 1097103 1854450 3080061 5189919 8642056 14532674,31,2,True,not_applicable,proved
SD-C23,q_1_2_spine,1 2,,0,0 2 3 6 10 11 21 30 39 62 88 123 182 275 388 574 850 1235 1824 2686 3972 5854 8648 12795 18910 27978 41403 61319 90770 134396 199113 294910,31,2,True,0,proved
SD-C23,successor_only,1,,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0,,False,not_applicable,not_claimed
SD-C23,q_1_3,1 3,,0,0 0 0 4 0 6 0 12 0 20 0 34 0 56 0 76 0 132 0 204 0 330 0 498 0 806 0 1264 0 2006 0 3148,15,4,False,not_applicable,not_claimed
SD-C23,q_1_4,1 4,,0,0 0 0 0 0 6 0 0 9 0 0 18 0 0 30 0 0 51 0 0 84 0 0 138 0 0 225 0 0 336 0 0,9,6,False,not_applicable,not_claimed
SD-C23,q_1_5,1 5,,0,0 0 0 0 0 0 0 8 0 0 0 12 0 0 0 24 0 0 0 40 0 0 0 68 0 0 0 112 0 0 0 184,7,8,False,not_applicable,not_claimed
SD-C23,q_1_6,1 6,,0,0 0 0 0 0 0 0 0 0 10 0 0 0 0 15 0 0 0 0 30 0 0 0 0 50 0 0 0 0 85 0 0,5,10,False,not_applicable,not_claimed
SD-C23,q_1_7,1 7,,0,0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 18 0 0 0 0 0 36 0 0 0 0 0 60 0 0,4,12,False,not_applicable,not_claimed
SD-C23,q_1_8,1 8,,0,0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 21 0 0 0 0 0 0 42 0 0 0 0,3,14,False,not_applicable,not_claimed
SD-C23,q_1_9,1 9,,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 48,3,16,False,not_applicable,not_claimed
SD-C23,q_1_10,1 10,,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 27 0 0 0 0 0,2,18,False,not_applicable,not_claimed
SD-C23,q_1_11,1 11,,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 30 0 0,2,20,False,not_applicable,not_claimed
SD-C23,q_1_12,1 12,,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0,1,22,False,not_applicable,not_claimed
SD-C23,q_1_13,1 13,,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0,1,24,False,not_applicable,not_claimed
SD-C23,q_1_14,1 14,,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0,1,26,False,not_applicable,not_claimed
SD-C23,q_1_15,1 15,,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 0,1,28,False,not_applicable,not_claimed
SD-C23,q_1_16,1 16,,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0,1,30,False,not_applicable,not_claimed
SD-C23,blacklist_q2,all,2,0,0 0 0 4 0 12 0 20 9 40 0 100 13 140 60 292 51 579 152 1024 399 1870 598 3764 1375 6617 2952 12660 5394 24112 11067 44356,26,4,False,not_applicable,not_claimed
SD-C23,blacklist_q2_q3,all,2 3,0,0 0 0 0 0 6 0 8 9 10 0 42 0 28 45 56 17 141 19 170 168 198 115 578 200 598 657 952 667 2071 992 2648,24,6,False,not_applicable,not_claimed
SD-C23,blacklist_q2_q3_q4,all,2 3 4,0,0 0 0 0 0 0 0 8 0 10 0 24 0 14 15 40 0 54 0 110 21 88 23 224 50 208 81 434 58 595 124 904,20,8,False,not_applicable,not_claimed
