candidate_id,graph_variant,cutoff,length,rotation_canonical_word,primitive_root_length,repetition_number,orientation_convention,mass,edge_quotient_word,source_oracle_free
SD-C23,full,31,2,2 3,2,1,directed_rotations_only_no_reflection,6,1 2,True
SD-C23,full,31,3,3 4 5,3,1,directed_rotations_only_no_reflection,60,1 1 2,True
SD-C23,full,31,4,2 3 4 5,4,1,directed_rotations_only_no_reflection,120,1 1 1 3,True
SD-C23,full,31,4,4 5 6 7,4,1,directed_rotations_only_no_reflection,840,1 1 1 2,True
SD-C23,full,31,5,2 3 4 5 3,5,1,directed_rotations_only_no_reflection,360,1 1 1 2 2,True
SD-C23,full,31,5,5 6 7 8 9,5,1,directed_rotations_only_no_reflection,15120,1 1 1 1 2,True
SD-C23,full,31,6,2 3 2 3 4 5,6,1,directed_rotations_only_no_reflection,720,1 2 1 1 1 3,True
SD-C23,full,31,6,2 3 4 5 6 7,6,1,directed_rotations_only_no_reflection,5040,1 1 1 1 1 4,True
SD-C23,full,31,6,3 4 5 6 7 8,6,1,directed_rotations_only_no_reflection,20160,1 1 1 1 1 3,True
SD-C23,full,31,6,6 7 8 9 10 11,6,1,directed_rotations_only_no_reflection,332640,1 1 1 1 1 2,True
SD-C23,full,31,7,2 3 2 3 4 5 3,7,1,directed_rotations_only_no_reflection,2160,1 2 1 1 1 2 2,True
SD-C23,full,31,7,2 3 4 5 3 4 5,7,1,directed_rotations_only_no_reflection,7200,1 1 1 2 1 1 3,True
SD-C23,full,31,7,3 4 5 6 7 4 5,7,1,directed_rotations_only_no_reflection,50400,1 1 1 1 2 1 2,True
SD-C23,full,31,7,7 8 9 10 11 12 13,7,1,directed_rotations_only_no_reflection,8648640,1 1 1 1 1 1 2,True
SD-C23,full,31,8,2 3 2 3 2 3 4 5,8,1,directed_rotations_only_no_reflection,4320,1 2 1 2 1 1 1 3,True
SD-C23,full,31,8,2 3 2 3 4 5 6 7,8,1,directed_rotations_only_no_reflection,30240,1 2 1 1 1 1 1 4,True
SD-C23,full,31,8,2 3 4 5 3 4 5 3,8,1,directed_rotations_only_no_reflection,21600,1 1 1 2 1 1 2 2,True
SD-C23,full,31,8,2 3 4 5 6 7 4 5,8,1,directed_rotations_only_no_reflection,100800,1 1 1 1 1 2 1 3,True
SD-C23,full,31,8,2 3 4 5 6 7 8 3,8,1,directed_rotations_only_no_reflection,120960,1 1 1 1 1 1 3 2,True
SD-C23,full,31,8,2 3 4 5 6 7 8 9,8,1,directed_rotations_only_no_reflection,362880,1 1 1 1 1 1 1 5,True
SD-C23,full,31,8,3 4 5 6 7 8 9 5,8,1,directed_rotations_only_no_reflection,907200,1 1 1 1 1 1 2 2,True
SD-C23,full,31,8,4 5 6 7 8 9 10 11,8,1,directed_rotations_only_no_reflection,6652800,1 1 1 1 1 1 1 3,True
SD-C23,full,31,8,8 9 10 11 12 13 14 15,8,1,directed_rotations_only_no_reflection,259459200,1 1 1 1 1 1 1 2,True
SD-C23,full,31,9,2 3 2 3 2 3 4 5 3,9,1,directed_rotations_only_no_reflection,12960,1 2 1 2 1 1 1 2 2,True
SD-C23,full,31,9,2 3 2 3 4 5 3 4 5,9,1,directed_rotations_only_no_reflection,43200,1 2 1 1 1 2 1 1 3,True
SD-C23,full,31,9,2 3 4 5 2 3 4 5 3,9,1,directed_rotations_only_no_reflection,43200,1 1 1 3 1 1 1 2 2,True
SD-C23,full,31,9,2 3 4 5 3 4 5 6 7,9,1,directed_rotations_only_no_reflection,302400,1 1 1 2 1 1 1 1 4,True
SD-C23,full,31,9,2 3 4 5 6 7 4 5 3,9,1,directed_rotations_only_no_reflection,302400,1 1 1 1 1 2 1 2 2,True
SD-C23,full,31,9,2 3 4 5 6 7 8 9 5,9,1,directed_rotations_only_no_reflection,1814400,1 1 1 1 1 1 1 2 3,True
SD-C23,full,31,9,3 4 5 3 4 5 6 7 8,9,1,directed_rotations_only_no_reflection,1209600,1 1 2 1 1 1 1 1 3,True
SD-C23,full,31,9,3 4 5 6 7 8 9 10 11,9,1,directed_rotations_only_no_reflection,19958400,1 1 1 1 1 1 1 1 4,True
SD-C23,full,31,9,4 5 6 7 8 9 5 6 7,9,1,directed_rotations_only_no_reflection,12700800,1 1 1 1 1 2 1 1 2,True
SD-C23,full,31,9,9 10 11 12 13 14 15 16 17,9,1,directed_rotations_only_no_reflection,8821612800,1 1 1 1 1 1 1 1 2,True
SD-C23,full,31,10,2 3 2 3 2 3 2 3 4 5,10,1,directed_rotations_only_no_reflection,25920,1 2 1 2 1 2 1 1 1 3,True
SD-C23,full,31,10,2 3 2 3 2 3 4 5 6 7,10,1,directed_rotations_only_no_reflection,181440,1 2 1 2 1 1 1 1 1 4,True
SD-C23,full,31,10,2 3 2 3 4 5 2 3 4 5,10,1,directed_rotations_only_no_reflection,86400,1 2 1 1 1 3 1 1 1 3,True
SD-C23,full,31,10,2 3 2 3 4 5 3 4 5 3,10,1,directed_rotations_only_no_reflection,129600,1 2 1 1 1 2 1 1 2 2,True
SD-C23,full,31,10,2 3 2 3 4 5 6 7 4 5,10,1,directed_rotations_only_no_reflection,604800,1 2 1 1 1 1 1 2 1 3,True
SD-C23,full,31,10,2 3 2 3 4 5 6 7 8 3,10,1,directed_rotations_only_no_reflection,725760,1 2 1 1 1 1 1 1 3 2,True
SD-C23,full,31,10,2 3 2 3 4 5 6 7 8 9,10,1,directed_rotations_only_no_reflection,2177280,1 2 1 1 1 1 1 1 1 5,True
SD-C23,full,31,10,2 3 4 5 2 3 4 5 6 7,10,1,directed_rotations_only_no_reflection,604800,1 1 1 3 1 1 1 1 1 4,True
SD-C23,full,31,10,2 3 4 5 3 4 5 3 4 5,10,1,directed_rotations_only_no_reflection,432000,1 1 1 2 1 1 2 1 1 3,True
SD-C23,full,31,10,2 3 4 5 6 7 4 5 6 7,10,1,directed_rotations_only_no_reflection,4233600,1 1 1 1 1 2 1 1 1 4,True
SD-C23,full,31,10,2 3 4 5 6 7 8 3 4 5,10,1,directed_rotations_only_no_reflection,2419200,1 1 1 1 1 1 3 1 1 3,True
