candidate_id,q,d,length,predicted_length,first_vertex,last_vertex,simple_cycle,primitive_certificate,closing_quotient,mass
SD-C23,2,2,2,2,2,3,True,True,2,6
SD-C23,2,3,3,3,3,5,True,True,2,60
SD-C23,2,4,4,4,4,7,True,True,2,840
SD-C23,2,5,5,5,5,9,True,True,2,15120
SD-C23,2,6,6,6,6,11,True,True,2,332640
SD-C23,2,7,7,7,7,13,True,True,2,8648640
SD-C23,2,8,8,8,8,15,True,True,2,259459200
SD-C23,2,9,9,9,9,17,True,True,2,8821612800
SD-C23,2,10,10,10,10,19,True,True,2,335221286400
SD-C23,2,11,11,11,11,21,True,True,2,14079294028800
SD-C23,2,12,12,12,12,23,True,True,2,647647525324800
SD-C23,2,13,13,13,13,25,True,True,2,32382376266240000
SD-C23,2,14,14,14,14,27,True,True,2,1748648318376960000
SD-C23,2,15,15,15,15,29,True,True,2,101421602465863680000
SD-C23,2,16,16,16,16,31,True,True,2,6288139352883548160000
SD-C23,3,2,4,4,2,5,True,True,3,120
SD-C23,3,3,6,6,3,8,True,True,3,20160
SD-C23,3,4,8,8,4,11,True,True,3,6652800
SD-C23,3,5,10,10,5,14,True,True,3,3632428800
SD-C23,3,6,12,12,6,17,True,True,3,2964061900800
SD-C23,3,7,14,14,7,20,True,True,3,3379030566912000
SD-C23,3,8,16,16,8,23,True,True,3,5129368400572416000
SD-C23,3,9,18,18,9,26,True,True,3,10002268381116211200000
SD-C23,3,10,20,20,10,29,True,True,3,24365525776399090483200000
SD-C23,3,11,22,22,11,32,True,True,3,72511804710563693278003200000
SD-C23,3,12,24,24,12,35,True,True,3,258867142816712385002471424000000
SD-C23,3,13,26,26,13,38,True,True,3,1091901608400892839940424466432000000
SD-C23,3,14,28,28,14,41,True,True,3,5372155913332392772506888374845440000000
SD-C23,3,15,30,30,15,44,True,True,3,30492356964074661376749098415622717440000000
SD-C23,3,16,32,32,16,47,True,True,3,197773427268988253689594652323728945315840000000
SD-C23,4,2,6,6,2,7,True,True,4,5040
SD-C23,4,3,9,9,3,11,True,True,4,19958400
SD-C23,4,4,12,12,4,15,True,True,4,217945728000
SD-C23,4,5,15,15,5,19,True,True,4,5068545850368000
SD-C23,4,6,18,18,6,23,True,True,4,215433472824041472000
SD-C23,4,7,21,21,7,27,True,True,4,15123429792247711334400000
SD-C23,4,8,24,24,8,31,True,True,4,1631515605987683098755072000000
SD-C23,4,9,27,27,9,35,True,True,4,256278471388545261152446709760000000
SD-C23,4,10,30,30,10,39,True,True,4,56211094800477963400133051531919360000000
SD-C23,4,11,33,33,11,43,True,True,4,16648826902384765111705007734930003722240000000
SD-C23,4,12,36,36,12,47,True,True,4,6479057477332055190871120810125360248546918400000000
SD-C23,4,13,39,39,13,51,True,True,4,3238232927170561184397386180900655052223749816320000000000
SD-C23,4,14,42,42,14,55,True,True,4,2038920980263672144143970234942288447082161834347724800000000000
SD-C23,4,15,45,45,15,59,True,True,4,1590798771537401225615431880825732523028655977747444452556800000000000
SD-C23,4,16,48,48,16,63,True,True,4,1516133040396521761689945970067295941327782980775890399731594035200000000000
SD-C23,5,2,8,8,2,9,True,True,5,362880
