candidate_id,inventory,cycle_length,simple_cycle,strictly_positive_symbolic_weight,weight_representation,interpretation
SD-C23,n,2,True,True,6,weight_inventory_control_not_graph_selectivity_control
SD-C23,n,3,True,True,60,weight_inventory_control_not_graph_selectivity_control
SD-C23,n,4,True,True,840,weight_inventory_control_not_graph_selectivity_control
SD-C23,n,5,True,True,15120,weight_inventory_control_not_graph_selectivity_control
SD-C23,n,6,True,True,332640,weight_inventory_control_not_graph_selectivity_control
SD-C23,n,7,True,True,8648640,weight_inventory_control_not_graph_selectivity_control
SD-C23,n,8,True,True,259459200,weight_inventory_control_not_graph_selectivity_control
SD-C23,n,9,True,True,8821612800,weight_inventory_control_not_graph_selectivity_control
SD-C23,n,10,True,True,335221286400,weight_inventory_control_not_graph_selectivity_control
SD-C23,n,11,True,True,14079294028800,weight_inventory_control_not_graph_selectivity_control
SD-C23,n,12,True,True,647647525324800,weight_inventory_control_not_graph_selectivity_control
SD-C23,n,13,True,True,32382376266240000,weight_inventory_control_not_graph_selectivity_control
SD-C23,n,14,True,True,1748648318376960000,weight_inventory_control_not_graph_selectivity_control
SD-C23,n,15,True,True,101421602465863680000,weight_inventory_control_not_graph_selectivity_control
SD-C23,n,16,True,True,6288139352883548160000,weight_inventory_control_not_graph_selectivity_control
SD-C23,n,17,True,True,415017197290314178560000,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_plus_one,2,True,True,12,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_plus_one,3,True,True,120,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_plus_one,4,True,True,1680,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_plus_one,5,True,True,30240,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_plus_one,6,True,True,665280,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_plus_one,7,True,True,17297280,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_plus_one,8,True,True,518918400,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_plus_one,9,True,True,17643225600,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_plus_one,10,True,True,670442572800,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_plus_one,11,True,True,28158588057600,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_plus_one,12,True,True,1295295050649600,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_plus_one,13,True,True,64764752532480000,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_plus_one,14,True,True,3497296636753920000,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_plus_one,15,True,True,202843204931727360000,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_plus_one,16,True,True,12576278705767096320000,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_plus_one,17,True,True,830034394580628357120000,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_squared_plus_one,2,True,True,50,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_squared_plus_one,3,True,True,4420,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_squared_plus_one,4,True,True,817700,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_squared_plus_one,5,True,True,256373000,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_squared_plus_one,6,True,True,121501081000,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_squared_plus_one,7,True,True,80945990450000,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_squared_plus_one,8,True,True,72077547736298000,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_squared_plus_one,9,True,True,82645225119789076000,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_squared_plus_one,10,True,True,118575740674916887700000,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_squared_plus_one,11,True,True,208085162660431871383400000,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_squared_plus_one,12,True,True,438428615261180430648385000000,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_squared_plus_one,13,True,True,1092146846134957889041779026000000,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_squared_plus_one,14,True,True,3174999369578573754960809484938000000,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_squared_plus_one,15,True,True,10652686971118527384855057082535380000000,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_squared_plus_one,16,True,True,40855505594958570943149287552975801060000000,weight_inventory_control_not_graph_selectivity_control
SD-C23,n_squared_plus_one,17,True,True,177610169750846161035928177115028069005000000000,weight_inventory_control_not_graph_selectivity_control
SD-C23,two_to_n,2,True,True,2^5,weight_inventory_control_not_graph_selectivity_control
SD-C23,two_to_n,3,True,True,2^12,weight_inventory_control_not_graph_selectivity_control
SD-C23,two_to_n,4,True,True,2^22,weight_inventory_control_not_graph_selectivity_control
SD-C23,two_to_n,5,True,True,2^35,weight_inventory_control_not_graph_selectivity_control
SD-C23,two_to_n,6,True,True,2^51,weight_inventory_control_not_graph_selectivity_control
SD-C23,two_to_n,7,True,True,2^70,weight_inventory_control_not_graph_selectivity_control
SD-C23,two_to_n,8,True,True,2^92,weight_inventory_control_not_graph_selectivity_control
SD-C23,two_to_n,9,True,True,2^117,weight_inventory_control_not_graph_selectivity_control
SD-C23,two_to_n,10,True,True,2^145,weight_inventory_control_not_graph_selectivity_control
SD-C23,two_to_n,11,True,True,2^176,weight_inventory_control_not_graph_selectivity_control
SD-C23,two_to_n,12,True,True,2^210,weight_inventory_control_not_graph_selectivity_control
SD-C23,two_to_n,13,True,True,2^247,weight_inventory_control_not_graph_selectivity_control
SD-C23,two_to_n,14,True,True,2^287,weight_inventory_control_not_graph_selectivity_control
SD-C23,two_to_n,15,True,True,2^330,weight_inventory_control_not_graph_selectivity_control
SD-C23,two_to_n,16,True,True,2^376,weight_inventory_control_not_graph_selectivity_control
SD-C23,two_to_n,17,True,True,2^425,weight_inventory_control_not_graph_selectivity_control
