candidate_id,graph_variant,s_integer,cutoff,power,certified_cutoff,exact_infinite_trace,trace,trace_numerator,trace_denominator,algorithm,source_oracle_free
SD-C23,full,1,31,1,1,True,0,0,1,sparse_fraction_dynamic_program,True
SD-C23,full,1,31,2,3,True,1/18,1,18,sparse_fraction_dynamic_program,True
SD-C23,full,1,31,3,5,True,1/1200,1,1200,sparse_fraction_dynamic_program,True
SD-C23,full,1,31,4,7,True,29/15876,29,15876,sparse_fraction_dynamic_program,True
SD-C23,full,1,31,5,9,True,353/9144576,353,9144576,sparse_fraction_dynamic_program,True
SD-C23,full,1,31,6,11,True,303862639/5532468480000,303862639,5532468480000,sparse_fraction_dynamic_program,True
SD-C23,full,1,31,7,13,True,3500869/2137113538560,3500869,2137113538560,sparse_fraction_dynamic_program,True
SD-C23,full,1,31,8,15,True,85868402111/51541167918240000,85868402111,51541167918240000,sparse_fraction_dynamic_program,True
SD-C23,full,1,31,9,17,True,336298830928939/5296141343420928000000,336298830928939,5296141343420928000000,sparse_fraction_dynamic_program,True
SD-C23,full,1,31,10,19,True,24814903707498251/490120517347425828864000,24814903707498251,490120517347425828864000,sparse_fraction_dynamic_program,True
SD-C23,full,1,31,11,21,True,678525289125412919/289616669341660717056000000,678525289125412919,289616669341660717056000000,sparse_fraction_dynamic_program,True
SD-C23,full,1,31,12,23,True,43148307162339331624748787769/27977660357004132576766201036800000000,43148307162339331624748787769,27977660357004132576766201036800000000,sparse_fraction_dynamic_program,True
SD-C23,full,1,31,13,25,True,540059607382319637374626829/6456383159308645979253738700800000000,540059607382319637374626829,6456383159308645979253738700800000000,sparse_fraction_dynamic_program,True
SD-C23,full,1,31,14,27,True,8243292649380154437820464475889/175079402343784946671246869025259520000000,8243292649380154437820464475889,175079402343784946671246869025259520000000,sparse_fraction_dynamic_program,True
SD-C23,full,1,31,15,29,True,966763744429217333467735943390521091/331293999085027065338666887913047326720000000000,966763744429217333467735943390521091,331293999085027065338666887913047326720000000000,sparse_fraction_dynamic_program,True
SD-C23,full,1,31,16,31,True,92534456811950512630098173308271139011/64236542270825809622427879761507293514956800000000,92534456811950512630098173308271139011,64236542270825809622427879761507293514956800000000,sparse_fraction_dynamic_program,True
SD-C23,full,2,31,1,1,True,0,0,1,sparse_fraction_dynamic_program,True
SD-C23,full,2,31,2,3,True,1/648,1,648,sparse_fraction_dynamic_program,True
SD-C23,full,2,31,3,5,True,1/4320000,1,4320000,sparse_fraction_dynamic_program,True
SD-C23,full,2,31,4,7,True,6099781/5040947520000,6099781,5040947520000,sparse_fraction_dynamic_program,True
SD-C23,full,2,31,5,9,True,3111697/10452908777472000,3111697,10452908777472000,sparse_fraction_dynamic_program,True
SD-C23,full,2,31,6,11,True,57613280699979139/61216414964387020800000000,57613280699979139,61216414964387020800000000,sparse_fraction_dynamic_program,True
SD-C23,full,2,31,7,13,True,161942694358780817/499543436513673628876800000000,161942694358780817,499543436513673628876800000000,sparse_fraction_dynamic_program,True
SD-C23,full,2,31,8,15,True,248919666209838917709649/340030974768155163561561292800000000,248919666209838917709649,340030974768155163561561292800000000,sparse_fraction_dynamic_program,True
SD-C23,full,2,31,9,17,True,163680924582466594499256195601/504884036330863776281336190861312000000000000,163680924582466594499256195601,504884036330863776281336190861312000000000000,sparse_fraction_dynamic_program,True
SD-C23,full,2,31,10,19,True,7079465973523643394398466448326842459147/12432789152173537419353888162232697737550233600000000000,7079465973523643394398466448326842459147,12432789152173537419353888162232697737550233600000000000,sparse_fraction_dynamic_program,True
SD-C23,full,2,31,11,21,True,3981074625705604470036873642403979903/12917183534725753162965078610111893753298944000000000000,3981074625705604470036873642403979903,12917183534725753162965078610111893753298944000000000000,sparse_fraction_dynamic_program,True
SD-C23,full,2,31,12,23,True,693395984627016352993202613007720455083172591807627646249/1565498958103761214214656042175468089639637547244786789908480000000000000000,693395984627016352993202613007720455083172591807627646249,1565498958103761214214656042175468089639637547244786789908480000000000000000,sparse_fraction_dynamic_program,True
SD-C23,full,2,31,13,25,True,921157798529062423579436944113760703963613478803213323/3251420912984734829522747164518279878482324136585326409809920000000000000000,921157798529062423579436944113760703963613478803213323,3251420912984734829522747164518279878482324136585326409809920000000000000000,sparse_fraction_dynamic_program,True
