k,source_cycle,transported_cycle,transported_cofactor_word,source_holonomy,transported_holonomy,transported_successor_and_tensor_together,match
2,2-3,3-2,1-2,2,2,True,True
3,3-4-5,2-5-4,1-1-2,2,2,True,True
4,4-5-6-7,5-4-7-6,1-1-1-2,2,2,True,True
5,5-6-7-8-9,4-7-6-9-8,1-1-1-1-2,2,2,True,True
6,6-7-8-9-10-11,7-6-9-8-11-10,1-1-1-1-1-2,2,2,True,True
7,7-8-9-10-11-12-13,6-9-8-11-10-13-12,1-1-1-1-1-1-2,2,2,True,True
8,8-9-10-11-12-13-14-15,9-8-11-10-13-12-15-14,1-1-1-1-1-1-1-2,2,2,True,True
9,9-10-11-12-13-14-15-16-17,8-11-10-13-12-15-14-17-16,1-1-1-1-1-1-1-1-2,2,2,True,True
10,10-11-12-13-14-15-16-17-18-19,11-10-13-12-15-14-17-16-19-18,1-1-1-1-1-1-1-1-1-2,2,2,True,True
11,11-12-13-14-15-16-17-18-19-20-21,10-13-12-15-14-17-16-19-18-21-20,1-1-1-1-1-1-1-1-1-1-2,2,2,True,True
12,12-13-14-15-16-17-18-19-20-21-22-23,13-12-15-14-17-16-19-18-21-20-23-22,1-1-1-1-1-1-1-1-1-1-1-2,2,2,True,True
13,13-14-15-16-17-18-19-20-21-22-23-24-25,12-15-14-17-16-19-18-21-20-23-22-25-24,1-1-1-1-1-1-1-1-1-1-1-1-2,2,2,True,True
14,14-15-16-17-18-19-20-21-22-23-24-25-26-27,15-14-17-16-19-18-21-20-23-22-25-24-27-26,1-1-1-1-1-1-1-1-1-1-1-1-1-2,2,2,True,True
15,15-16-17-18-19-20-21-22-23-24-25-26-27-28-29,14-17-16-19-18-21-20-23-22-25-24-27-26-29-28,1-1-1-1-1-1-1-1-1-1-1-1-1-1-2,2,2,True,True
16,16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31,17-16-19-18-21-20-23-22-25-24-27-26-29-28-31-30,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-2,2,2,True,True
17,17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33,16-19-18-21-20-23-22-25-24-27-26-29-28-31-30-33-32,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-2,2,2,True,True
18,18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35,19-18-21-20-23-22-25-24-27-26-29-28-31-30-33-32-35-34,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-2,2,2,True,True
19,19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37,18-21-20-23-22-25-24-27-26-29-28-31-30-33-32-35-34-37-36,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-2,2,2,True,True
20,20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39,21-20-23-22-25-24-27-26-29-28-31-30-33-32-35-34-37-36-39-38,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-2,2,2,True,True
21,21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41,20-23-22-25-24-27-26-29-28-31-30-33-32-35-34-37-36-39-38-41-40,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-2,2,2,True,True
22,22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43,23-22-25-24-27-26-29-28-31-30-33-32-35-34-37-36-39-38-41-40-43-42,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-2,2,2,True,True
23,23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45,22-25-24-27-26-29-28-31-30-33-32-35-34-37-36-39-38-41-40-43-42-45-44,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-2,2,2,True,True
24,24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47,25-24-27-26-29-28-31-30-33-32-35-34-37-36-39-38-41-40-43-42-45-44-47-46,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-2,2,2,True,True
25,25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49,24-27-26-29-28-31-30-33-32-35-34-37-36-39-38-41-40-43-42-45-44-47-46-49-48,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-2,2,2,True,True
