t,k,holonomy,phase_real,phase_imag,absolute_value,selected_out,same_phase_for_all_k
0,2,2,1,-0,1,False,True
0,3,2,1,-0,1,False,True
0,4,2,1,-0,1,False,True
0,5,2,1,-0,1,False,True
0,6,2,1,-0,1,False,True
0,7,2,1,-0,1,False,True
0,8,2,1,-0,1,False,True
0,9,2,1,-0,1,False,True
0,10,2,1,-0,1,False,True
0,11,2,1,-0,1,False,True
0,12,2,1,-0,1,False,True
0,13,2,1,-0,1,False,True
0,14,2,1,-0,1,False,True
0,15,2,1,-0,1,False,True
0,16,2,1,-0,1,False,True
0,17,2,1,-0,1,False,True
0,18,2,1,-0,1,False,True
0,19,2,1,-0,1,False,True
0,20,2,1,-0,1,False,True
0,21,2,1,-0,1,False,True
0,22,2,1,-0,1,False,True
0,23,2,1,-0,1,False,True
0,24,2,1,-0,1,False,True
0,25,2,1,-0,1,False,True
0,26,2,1,-0,1,False,True
0,27,2,1,-0,1,False,True
0,28,2,1,-0,1,False,True
0,29,2,1,-0,1,False,True
0,30,2,1,-0,1,False,True
0,31,2,1,-0,1,False,True
0,32,2,1,-0,1,False,True
0.5,2,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,3,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,4,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,5,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,6,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,7,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,8,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,9,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,10,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,11,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,12,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,13,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,14,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,15,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,16,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,17,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,18,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,19,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,20,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,21,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,22,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,23,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,24,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,25,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,26,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,27,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,28,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,29,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,30,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,31,2,0.94054210468324384,-0.33967712510266851,1,False,True
0.5,32,2,0.94054210468324384,-0.33967712510266851,1,False,True
1,2,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,3,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,4,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,5,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,6,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,7,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,8,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,9,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,10,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,11,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,12,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,13,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,14,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,15,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,16,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,17,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,18,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,19,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,20,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,21,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,22,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,23,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,24,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,25,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,26,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,27,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,28,2,0.76923890136397211,-0.63896127631363475,1,False,True
