fiber,index,cycle_length,word_trace,column_source_trace,cyclic_trace_match,mass,scalar_cycle_weight,primitive_trace_factor,rooted_power_trace_factor,local_factor_convention,local_factor_coefficients_in_w,linear_trace_coefficient,second_repetition_trace,first_trace_zero,local_factor_nontrivial,trace_zero_repetition_leakage,scalar_trace_is_full_local_factor,expected_word
scalar,2,2,6,6,True,6,1/36,1/6,1/3,det(I-w_2*B*A^1),"[1,-6]",-6,36,False,True,False,True,1^12
scalar,3,3,12,12,True,60,1/3600,1/300,1/100,det(I-w_3*B*A^2),"[1,-12]",-12,144,False,True,False,True,1^22
scalar,4,4,24,24,True,840,1/705600,1/29400,1/7350,det(I-w_4*B*A^3),"[1,-24]",-24,576,False,True,False,True,1^32
scalar,5,5,48,48,True,15120,1/228614400,1/4762800,1/952560,det(I-w_5*B*A^4),"[1,-48]",-48,2304,False,True,False,True,1^42
jordan_two,2,2,1,1,True,6,1/36,1/36,1/18,det(I-w_2*B*A^1),"[1,-1,-1]",-1,3,False,True,False,False,1^12
jordan_two,3,3,2,2,True,60,1/3600,1/1800,1/600,det(I-w_3*B*A^2),"[1,-2,-1]",-2,6,False,True,False,False,1^22
jordan_two,4,4,3,3,True,840,1/705600,1/235200,1/58800,det(I-w_4*B*A^3),"[1,-3,-1]",-3,11,False,True,False,False,1^32
jordan_two,5,5,4,4,True,15120,1/228614400,1/57153600,1/11430720,det(I-w_5*B*A^4),"[1,-4,-1]",-4,18,False,True,False,False,1^42
nilpotent_three,2,2,0,0,True,6,1/36,0,0,det(I-w_2*B*A^1),"[1,0,-2,0]",0,4,True,True,True,False,1^12
nilpotent_three,3,3,1,1,True,60,1/3600,1/3600,1/1200,det(I-w_3*B*A^2),"[1,-1,0,0]",-1,1,False,True,False,False,1^22
nilpotent_three,4,4,0,0,True,840,1/705600,0,0,det(I-w_4*B*A^3),"[1,0,0,0]",0,0,True,False,False,False,1^32
nilpotent_three,5,5,0,0,True,15120,1/228614400,0,0,det(I-w_5*B*A^4),"[1,0,0,0]",0,0,True,False,False,False,1^42
trace_zero_repetition_leakage,2,2,0,0,True,6,1/36,0,0,det(I-w_2*B*A^1),"[1,0,-1]",0,2,True,True,True,False,1^12
trace_zero_repetition_leakage,3,3,0,0,True,60,1/3600,0,0,det(I-w_3*B*A^2),"[1,0,-1]",0,2,True,True,True,False,1^22
trace_zero_repetition_leakage,4,4,0,0,True,840,1/705600,0,0,det(I-w_4*B*A^3),"[1,0,-1]",0,2,True,True,True,False,1^32
trace_zero_repetition_leakage,5,5,0,0,True,15120,1/228614400,0,0,det(I-w_5*B*A^4),"[1,0,-1]",0,2,True,True,True,False,1^42
