frozen_family,tail_mu,period_lambda,accepted_residue,post_freeze_prime_witness,composite_witness,same_residue,same_response,proper_factor,quotient,composite_verified,candidate_used_target_predicate
cyclic_mod_2,0,2,1,3,9,True,True,3,3,True,False
cyclic_mod_3,0,3,1,7,28,True,True,7,4,True,False
cyclic_mod_4,0,4,1,5,25,True,True,5,5,True,False
cyclic_mod_5,0,5,1,11,66,True,True,11,6,True,False
cyclic_mod_6,0,6,1,7,49,True,True,7,7,True,False
cyclic_mod_7,0,7,1,29,232,True,True,29,8,True,False
cyclic_mod_8,0,8,1,17,153,True,True,17,9,True,False
cyclic_mod_9,0,9,1,19,190,True,True,19,10,True,False
cyclic_mod_10,0,10,1,11,121,True,True,11,11,True,False
cyclic_mod_11,0,11,1,23,276,True,True,23,12,True,False
cyclic_mod_12,0,12,1,13,169,True,True,13,13,True,False
