dimension,case,terms_checked,characteristic_coefficients,cayley_hamilton_zero,bilinear_residual_count,bilinear_nonzero_residuals,trace_residual_count,trace_nonzero_residuals,bilinear_numerator,trace_numerator,denominator,bilinear_series_match,trace_series_match,bilinear_minimal_order,trace_minimal_order,A,B
1,diagonalizable,20,[-1/2],True,19,0,19,0,[1/4],[1/2],"[1,-1/2]",True,True,1,1,[1/2],[1/2]
1,nilpotent,20,[0],True,19,0,19,0,[1/4],[1/2],"[1,0]",True,True,1,1,[0],[1/2]
1,jordan_repeated,20,[-2],True,19,0,19,0,[1/4],[1/2],"[1,-2]",True,True,1,1,[2],[1/2]
1,sparse_band,20,[-1],True,19,0,19,0,[1/4],[1/2],"[1,-1]",True,True,1,1,[1],[1/2]
1,full_deterministic,20,[3/2],True,19,0,19,0,[1/4],[1/2],"[1,3/2]",True,True,1,1,[-3/2],[1/2]
1,rank_one,20,[-1/3],True,19,0,19,0,[1/4],[1/2],"[1,-1/3]",True,True,1,1,[1/3],[1/2]
2,diagonalizable,24,"[-1,2/9]",True,22,0,22,0,"[1/18,-1/9]","[4/3,-2/3]","[1,-1,2/9]",True,True,2,2,"[1/3,0;0,2/3]","[2/3,-1/3;0,2/3]"
2,nilpotent,24,"[0,0]",True,22,0,22,0,"[1/18,5/9]","[4/3,-1/3]","[1,0,0]",True,True,2,2,"[0,0;1,0]","[2/3,-1/3;0,2/3]"
2,jordan_repeated,24,"[-4,4]",True,22,0,22,0,"[1/18,-2/9]","[4/3,-8/3]","[1,-4,4]",True,True,2,1,"[2,1;0,2]","[2/3,-1/3;0,2/3]"
2,sparse_band,24,"[-3,1]",True,22,0,22,0,"[1/18,1/9]","[4/3,-7/3]","[1,-3,1]",True,True,2,2,"[1,1;1,2]","[2/3,-1/3;0,2/3]"
2,full_deterministic,24,"[5/3,2/3]",True,22,0,22,0,"[1/18,17/54]","[4/3,1]","[1,5/3,2/3]",True,True,2,2,"[-2/3,0;1/3,-1]","[2/3,-1/3;0,2/3]"
2,rank_one,24,"[-5/4,0]",True,22,0,22,0,"[1/18,0]","[4/3,-1]","[1,-5/4,0]",True,True,1,2,"[1/4,1/2;1/2,1]","[2/3,-1/3;0,2/3]"
3,diagonalizable,28,"[-3/2,11/16,-3/32]",True,25,0,25,0,"[5/96,-31/384,5/256]","[0,0,0]","[1,-3/2,11/16,-3/32]",True,True,3,0,"[1/4,0,0;0,1/2,0;0,0,3/4]","[0,0,1/4;1/4,0,0;0,1/4,0]"
3,nilpotent,28,"[0,0,0]",True,25,0,25,0,"[5/96,11/48,1/16]","[0,0,1/4]","[1,0,0,0]",True,True,3,3,"[0,0,0;1,0,0;0,1,0]","[0,0,1/4;1/4,0,0;0,1/4,0]"
3,jordan_repeated,28,"[-6,12,-8]",True,25,0,25,0,"[5/96,-5/24,17/96]","[0,1/2,-1]","[1,-6,12,-8]",True,True,3,2,"[2,1,0;0,2,1;0,0,2]","[0,0,1/4;1/4,0,0;0,1/4,0]"
3,sparse_band,28,"[-6,9,-2]",True,25,0,25,0,"[5/96,-3/32,-1/48]","[0,1/2,-3/4]","[1,-6,9,-2]",True,True,2,3,"[1,1,0;1,2,1;0,1,3]","[0,0,1/4;1/4,0,0;0,1/4,0]"
3,full_deterministic,28,"[1,7/16,0]",True,25,0,25,0,"[5/96,13/192,21/512]","[0,0,7/32]","[1,1,7/16,0]",True,True,3,3,"[-1/4,1/4,3/4;1/2,-1/2,1/4;-1/2,1/2,-1/4]","[0,0,1/4;1/4,0,0;0,1/4,0]"
3,rank_one,28,"[-14/5,0,0]",True,25,0,25,0,"[5/96,0,0]","[0,11/20,0]","[1,-14/5,0,0]",True,True,1,2,"[1/5,2/5,3/5;2/5,4/5,6/5;3/5,6/5,9/5]","[0,0,1/4;1/4,0,0;0,1/4,0]"
4,diagonalizable,32,"[-2,7/5,-2/5,24/625]",True,28,0,28,0,"[-1/20,71/1500,-7/375,6/3125]","[4/5,-6/5,14/25,-2/25]","[1,-2,7/5,-2/5,24/625]",True,True,4,4,"[1/5,0,0,0;0,2/5,0,0;0,0,3/5,0;0,0,0,4/5]","[1/5,1/5,-1/5,0;-1/5,1/5,1/5,-1/5;1/5,-1/5,1/5,1/5;0,1/5,-1/5,1/5]"
4,nilpotent,32,"[0,0,0,0]",True,28,0,28,0,"[-1/20,47/300,-19/150,2/75]","[4/5,3/5,-2/5,0]","[1,0,0,0,0]",True,True,4,3,"[0,0,0,0;1,0,0,0;0,1,0,0;0,0,1,0]","[1/5,1/5,-1/5,0;-1/5,1/5,1/5,-1/5;1/5,-1/5,1/5,1/5;0,1/5,-1/5,1/5]"
4,jordan_repeated,32,"[-8,24,-32,16]",True,28,0,28,0,"[-1/20,13/50,-139/300,73/300]","[4/5,-27/5,62/5,-48/5]","[1,-8,24,-32,16]",True,True,4,3,"[2,1,0,0;0,2,1,0;0,0,2,1;0,0,0,2]","[1/5,1/5,-1/5,0;-1/5,1/5,1/5,-1/5;1/5,-1/5,1/5,1/5;0,1/5,-1/5,1/5]"
4,sparse_band,32,"[-10,32,-35,7]",True,28,0,28,0,"[-1/20,53/150,-69/100,9/100]","[4/5,-6,64/5,-7]","[1,-10,32,-35,7]",True,True,4,4,"[1,1,0,0;1,2,1,0;0,1,3,1;0,0,1,4]","[1/5,1/5,-1/5,0;-1/5,1/5,1/5,-1/5;1/5,-1/5,1/5,1/5;0,1/5,-1/5,1/5]"
4,full_deterministic,32,"[-2/5,-22/25,49/125,-98/625]",True,28,0,28,0,"[-1/20,-77/750,273/2500,1421/37500]","[4/5,-7/25,-44/125,49/625]","[1,-2/5,-22/25,49/125,-98/625]",True,True,4,4,"[0,2/5,-3/5,-1/5;3/5,-1/5,2/5,-2/5;-1/5,3/5,0,-3/5;2/5,0,-2/5,3/5]","[1/5,1/5,-1/5,0;-1/5,1/5,1/5,-1/5;1/5,-1/5,1/5,1/5;0,1/5,-1/5,1/5]"
4,rank_one,32,"[-5,0,0,0]",True,28,0,28,0,"[-1/20,0,0,0]","[4/5,-3,0,0]","[1,-5,0,0,0]",True,True,1,2,"[1/6,1/3,1/2,2/3;1/3,2/3,1,4/3;1/2,1,3/2,2;2/3,4/3,2,8/3]","[1/5,1/5,-1/5,0;-1/5,1/5,1/5,-1/5;1/5,-1/5,1/5,1/5;0,1/5,-1/5,1/5]"
5,diagonalizable,36,"[-5/2,85/36,-25/24,137/648,-5/324]",True,31,0,31,0,"[17/1080,-293/6480,103/2430,-527/29160,1/324]","[5/3,-10/3,85/36,-25/36,137/1944]","[1,-5/2,85/36,-25/24,137/648,-5/324]",True,True,5,5,"[1/6,0,0,0,0;0,1/3,0,0,0;0,0,1/2,0,0;0,0,0,2/3,0;0,0,0,0,5/6]","[1/3,-1/6,0,1/6,-1/6;0,1/3,-1/6,0,1/6;-1/6,0,1/3,-1/6,0;1/6,-1/6,0,1/3,-1/6;0,1/6,-1/6,0,1/3]"
5,nilpotent,36,"[0,0,0,0,0]",True,31,0,31,0,"[17/1080,131/1080,1/30,19/270,41/144]","[5/3,-2/3,0,1/3,-1/6]","[1,0,0,0,0,0]",True,True,5,5,"[0,0,0,0,0;1,0,0,0,0;0,1,0,0,0;0,0,1,0,0;0,0,0,1,0]","[1/3,-1/6,0,1/6,-1/6;0,1/3,-1/6,0,1/6;-1/6,0,1/3,-1/6,0;1/6,-1/6,0,1/3,-1/6;0,1/6,-1/6,0,1/3]"
5,jordan_repeated,36,"[-10,40,-80,80,-32]",True,31,0,31,0,"[17/1080,-31/216,1057/2160,-20/27,49/120]","[5/3,-40/3,79/2,-51,24]","[1,-10,40,-80,80,-32]",True,True,5,4,"[2,1,0,0,0;0,2,1,0,0;0,0,2,1,0;0,0,0,2,1;0,0,0,0,2]","[1/3,-1/6,0,1/6,-1/6;0,1/3,-1/6,0,1/6;-1/6,0,1/3,-1/6,0;1/6,-1/6,0,1/3,-1/6;0,1/6,-1/6,0,1/3]"
