index,length,one_count,product_equals_factorial_ratio,target_multiset_matches_sources,edge_monomial_identity,mass_bit_length,mass_sha256,graph_marker,diagonal_marker,marker_match,source_roof,diagonal_roof,roof_match,stirling_residual,post_freeze_selected,filter_mode,finite_block_trace_filter,candidate_used_target_predicate
2,2,1,True,True,True,3,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,z^2,z,False,2log(M_2),log(2),False,-0.36712361413161632,True,one-dimensional orbit-level oracle control,False,False
3,3,2,True,True,True,6,dabd3aff769f07eb2965401eb029974ebba3407afd02b26ddb564ea5f8efae72,z^3,z,False,2log(M_3),log(3),False,-0.36037538714189954,True,one-dimensional orbit-level oracle control,False,False
4,4,3,True,True,True,10,cf854e7e5e990dbd0110d7aefac74f20ae6826e97501aab1118655e97b9877e6,z^4,z,False,2log(M_4),log(4),False,-0.35695299712176531,False,one-dimensional orbit-level oracle control,False,False
5,5,4,True,True,True,14,bbe997a67f33b5a2f0de5c0cca3378eabeb3395d5b64ee6eb61efee45866d78a,z^5,z,False,2log(M_5),log(5),False,-0.35488771803643249,True,one-dimensional orbit-level oracle control,False,False
6,6,5,True,True,True,19,dfee83f3aa28567aedfda0ad4cb9c334e873b2d75e8d3e6a54d9f062e8dbb352,z^6,z,False,2log(M_6),log(6),False,-0.35350687899583422,False,one-dimensional orbit-level oracle control,False,False
7,7,6,True,True,True,24,53103859a4645d05ce4dcb52e06d7aeadbfc47b2e665ab1e0dd685c52ad5ac51,z^7,z,False,2log(M_7),log(7),False,-0.3525189301131082,True,one-dimensional orbit-level oracle control,False,False
8,8,7,True,True,True,28,5137f82cbb8645a1ac2fcb78d7592043b8e75a5b00cb366017f5cb279a1c1574,z^8,z,False,2log(M_8),log(8),False,-0.35177719962233489,False,one-dimensional orbit-level oracle control,False,False
9,9,8,True,True,True,34,60940a67584d382eb724ae5c82293f1d324832992c0270df5805ba7832649c0d,z^9,z,False,2log(M_9),log(9),False,-0.35119989871334845,False,one-dimensional orbit-level oracle control,False,False
10,10,9,True,True,True,39,4c5fb4b2d198dc494666185d8b6ee57746c2acbb95b5244684f11fe960b3a5cc,z^10,z,False,2log(M_10),log(10),False,-0.35073783402133918,False,one-dimensional orbit-level oracle control,False,False
11,11,10,True,True,True,44,591557c96c380b906be21869929b82274bf0fd41e993a87193d6b9952c2e2884,z^11,z,False,2log(M_11),log(11),False,-0.35035964769947814,True,one-dimensional orbit-level oracle control,False,False
12,12,11,True,True,True,50,7d9f05e0a6df69662507e2f11569c794676a0c565e8e5c0fe9ee2a891f26df32,z^12,z,False,2log(M_12),log(12),False,-0.35004440900420253,False,one-dimensional orbit-level oracle control,False,False
13,13,12,True,True,True,55,822ec1759e4ed055f8f9c02350330f5ebb018e1400707eb1c2c10970928a7e0e,z^13,z,False,2log(M_13),log(13),False,-0.34977761423991982,True,one-dimensional orbit-level oracle control,False,False
14,14,13,True,True,True,61,b78a1b13dd488873126385aae5d4c0ca1d6cb86064e8338be76d6a61acb870ec,z^14,z,False,2log(M_14),log(14),False,-0.3495488964091642,False,one-dimensional orbit-level oracle control,False,False
15,15,14,True,True,True,67,1b77a38f9c34cb43f8d4361688a59eedb27c8b4b3be9c6cefd55064bf423f6e7,z^15,z,False,2log(M_15),log(15),False,-0.34935064890219536,False,one-dimensional orbit-level oracle control,False,False
16,16,15,True,True,True,73,e84aea659365ca4f415c38ca8fb35384f9c909d6662be5f9a47570b859e00bfa,z^16,z,False,2log(M_16),log(16),False,-0.34917716428033074,False,one-dimensional orbit-level oracle control,False,False
17,17,16,True,True,True,79,78ee05b30c633466342d8cb0b7a51fb51f4dfb7c0680368b259d0d4c346a6b14,z^17,z,False,2log(M_17),log(17),False,-0.34902407649297373,True,one-dimensional orbit-level oracle control,False,False
18,18,17,True,True,True,85,299a77560996dc26a0ed2dae6b8e1e15b8c904ffb5f8442c2b3494bca5df87bc,z^18,z,False,2log(M_18),log(18),False,-0.34888798873879168,False,one-dimensional orbit-level oracle control,False,False
19,19,18,True,True,True,91,d1c601132ebb428ab4f897fa70b7780b664f53200951859bf1a2781bade3dbad,z^19,z,False,2log(M_19),log(19),False,-0.34876621868590885,True,one-dimensional orbit-level oracle control,False,False
20,20,19,True,True,True,98,c4c77bf92cb23349565155515b8be4e827588af44821f44d0903415dae822a8c,z^20,z,False,2log(M_20),log(20),False,-0.34865662003365383,False,one-dimensional orbit-level oracle control,False,False
21,21,20,True,True,True,104,c1f42e1db8cbca3099c7e2e3c83b84ecc4b644a29b8a2869186fc14a8e9901dc,z^21,z,False,2log(M_21),log(21),False,-0.34855745500137481,False,one-dimensional orbit-level oracle control,False,False
22,22,21,True,True,True,110,60506d17130abbbc0a7ab9858a9dce5576168e1957bf3039c0da60a568a9bfde,z^22,z,False,2log(M_22),log(22),False,-0.34846730155882888,False,one-dimensional orbit-level oracle control,False,False
23,23,22,True,True,True,117,b5f0dbe32ce3a025ab48db07f24ff9428fcdf25ffc7e2f65a206c5eb44093997,z^23,z,False,2log(M_23),log(23),False,-0.34838498483591529,True,one-dimensional orbit-level oracle control,False,False
24,24,23,True,True,True,123,e957b0c5efa70adb47d37dea7367302971e94cdc17cc2fd026c7d41f3f3c239e,z^24,z,False,2log(M_24),log(24),False,-0.34830952566609064,False,one-dimensional orbit-level oracle control,False,False
25,25,24,True,True,True,130,d42191aee39a7c6c0932f0ea1aa7a315eb567d9f2cd42f28caf9d87834fe0aff,z^25,z,False,2log(M_25),log(25),False,-0.3482401014697043,False,one-dimensional orbit-level oracle control,False,False
26,26,25,True,True,True,137,df71520b06d3668282fb0f88daa7e89c38908fa09705d2cbf9ddfeb473f81661,z^26,z,False,2log(M_26),log(26),False,-0.34817601615890403,False,one-dimensional orbit-level oracle control,False,False
27,27,26,True,True,True,143,8bdab4b413125ff0138e593140aa1608094dafc7f55108014f2f1b0597258de2,z^27,z,False,2log(M_27),log(27),False,-0.34811667672503965,False,one-dimensional orbit-level oracle control,False,False
28,28,27,True,True,True,150,816bb888089e7cd806c27747dce10acce53bb3119f2c7389ebb3dd1beef56665,z^28,z,False,2log(M_28),log(28),False,-0.34806157484133138,False,one-dimensional orbit-level oracle control,False,False
29,29,28,True,True,True,157,0edfaefc8e117833f38dd13799bd3bdccb8a51b5be7735aed29d6d7d379f3ecf,z^29,z,False,2log(M_29),log(29),False,-0.34801027226872705,True,one-dimensional orbit-level oracle control,False,False
30,30,29,True,True,True,164,eeb8dad0fee99af2ff09906a76b3adb5f2d97436bfea4910d9e453662fc5553a,z^30,z,False,2log(M_30),log(30),False,-0.34796238917989797,False,one-dimensional orbit-level oracle control,False,False
31,31,30,True,True,True,171,34519de09198a411a62599b2d3b6bebce69bdaf358313aba73955f22b3d36e4c,z^31,z,False,2log(M_31),log(31),False,-0.34791759474141415,True,one-dimensional orbit-level oracle control,False,False
32,32,31,True,True,True,178,351bdab20d81d8ae9add66072475320268ef6b3898411323a8cfb59162d6448f,z^32,z,False,2log(M_32),log(32),False,-0.34787559946153834,False,one-dimensional orbit-level oracle control,False,False
33,33,32,True,True,True,185,3b79c2b5d01054f45bc22bd6e866bafcd981882518b2b5fd2ce7f804bcd72cea,z^33,z,False,2log(M_33),log(33),False,-0.34783614892842607,False,one-dimensional orbit-level oracle control,False,False
34,34,33,True,True,True,192,71922291870271e3fb826d8ba3cff08140c17b0138844f36bb05d0d7f5b0c8f8,z^34,z,False,2log(M_34),log(34),False,-0.34779901865309171,False,one-dimensional orbit-level oracle control,False,False
35,35,34,True,True,True,199,8c489bfa383917ccd294d62b99bf33f123c9b4fb4f35b6ce00c66138af8918cb,z^35,z,False,2log(M_35),log(35),False,-0.34776400979572131,False,one-dimensional orbit-level oracle control,False,False
36,36,35,True,True,True,206,736005ec917c6122079fb060bf0aff2326544ae167a4f09e7449217202529358,z^36,z,False,2log(M_36),log(36),False,-0.34773094560484452,False,one-dimensional orbit-level oracle control,False,False
37,37,36,True,True,True,213,02278d6f595c6d9c90530dcfdbe0cfad1609ff3746ebd0a4a481cc1ba3dd14aa,z^37,z,False,2log(M_37),log(37),False,-0.34769966843268385,True,one-dimensional orbit-level oracle control,False,False
