cutoff,architecture,prime_witness,graph_step_degree,target_degree,marked_germ_match,induction_required_to_degree_one,same_object_after_induction,gate
127,raw_binary_cycle,127,8,1,False,True,False,STOP_GRAPH_STEP_MARKER
127,elias_gamma_cycle,127,14,1,False,True,False,STOP_GRAPH_STEP_MARKER
127,elias_delta_cycle,127,12,1,False,True,False,STOP_GRAPH_STEP_MARKER
127,framed_binary_cycle,127,16,1,False,True,False,STOP_GRAPH_STEP_MARKER
127,countable_atom_diagonal,127,1,1,True,False,True,MARKER_PASS_BUT_SELECTOR_TAUTOLOGICAL
511,raw_binary_cycle,509,10,1,False,True,False,STOP_GRAPH_STEP_MARKER
511,elias_gamma_cycle,509,18,1,False,True,False,STOP_GRAPH_STEP_MARKER
511,elias_delta_cycle,509,16,1,False,True,False,STOP_GRAPH_STEP_MARKER
511,framed_binary_cycle,509,20,1,False,True,False,STOP_GRAPH_STEP_MARKER
511,countable_atom_diagonal,509,1,1,True,False,True,MARKER_PASS_BUT_SELECTOR_TAUTOLOGICAL
2047,raw_binary_cycle,2039,12,1,False,True,False,STOP_GRAPH_STEP_MARKER
2047,elias_gamma_cycle,2039,22,1,False,True,False,STOP_GRAPH_STEP_MARKER
2047,elias_delta_cycle,2039,18,1,False,True,False,STOP_GRAPH_STEP_MARKER
2047,framed_binary_cycle,2039,24,1,False,True,False,STOP_GRAPH_STEP_MARKER
2047,countable_atom_diagonal,2039,1,1,True,False,True,MARKER_PASS_BUT_SELECTOR_TAUTOLOGICAL
8191,raw_binary_cycle,8191,14,1,False,True,False,STOP_GRAPH_STEP_MARKER
8191,elias_gamma_cycle,8191,26,1,False,True,False,STOP_GRAPH_STEP_MARKER
8191,elias_delta_cycle,8191,20,1,False,True,False,STOP_GRAPH_STEP_MARKER
8191,framed_binary_cycle,8191,28,1,False,True,False,STOP_GRAPH_STEP_MARKER
8191,countable_atom_diagonal,8191,1,1,True,False,True,MARKER_PASS_BUT_SELECTOR_TAUTOLOGICAL
