left_prime,right_prime,concatenated_norm,distinct_primes,perfect_prime_power,unique_factorization_contradiction,mixed_closed_word_legal_when_vertex_shared,prime_only_connected_ledger_survives
2,3,6,True,False,True,True,False
2,5,10,True,False,True,True,False
2,7,14,True,False,True,True,False
2,11,22,True,False,True,True,False
2,13,26,True,False,True,True,False
2,17,34,True,False,True,True,False
2,19,38,True,False,True,True,False
3,5,15,True,False,True,True,False
3,7,21,True,False,True,True,False
3,11,33,True,False,True,True,False
3,13,39,True,False,True,True,False
3,17,51,True,False,True,True,False
3,19,57,True,False,True,True,False
5,7,35,True,False,True,True,False
5,11,55,True,False,True,True,False
5,13,65,True,False,True,True,False
5,17,85,True,False,True,True,False
5,19,95,True,False,True,True,False
7,11,77,True,False,True,True,False
7,13,91,True,False,True,True,False
7,17,119,True,False,True,True,False
7,19,133,True,False,True,True,False
11,13,143,True,False,True,True,False
11,17,187,True,False,True,True,False
11,19,209,True,False,True,True,False
13,17,221,True,False,True,True,False
13,19,247,True,False,True,True,False
17,19,323,True,False,True,True,False
