case,atoms,degree,power,actual_supertrace,expected_weight_sum_power,exact_match
single_2,2,2,1,1/4,1/4,True
single_2,2,2,2,1/16,1/16,True
single_2,2,2,3,1/64,1/64,True
single_2,2,2,4,1/256,1/256,True
single_2,2,2,5,1/1024,1/1024,True
single_2,2,2,6,1/4096,1/4096,True
single_2,2,2,7,1/16384,1/16384,True
single_2,2,2,8,1/65536,1/65536,True
single_2,2,3,1,1/4,1/4,True
single_2,2,3,2,1/16,1/16,True
single_2,2,3,3,1/64,1/64,True
single_2,2,3,4,1/256,1/256,True
single_2,2,3,5,1/1024,1/1024,True
single_2,2,3,6,1/4096,1/4096,True
single_2,2,3,7,1/16384,1/16384,True
single_2,2,3,8,1/65536,1/65536,True
single_2,2,4,1,1/4,1/4,True
single_2,2,4,2,1/16,1/16,True
single_2,2,4,3,1/64,1/64,True
single_2,2,4,4,1/256,1/256,True
single_2,2,4,5,1/1024,1/1024,True
single_2,2,4,6,1/4096,1/4096,True
single_2,2,4,7,1/16384,1/16384,True
single_2,2,4,8,1/65536,1/65536,True
single_2,2,5,1,1/4,1/4,True
single_2,2,5,2,1/16,1/16,True
single_2,2,5,3,1/64,1/64,True
single_2,2,5,4,1/256,1/256,True
single_2,2,5,5,1/1024,1/1024,True
single_2,2,5,6,1/4096,1/4096,True
single_2,2,5,7,1/16384,1/16384,True
single_2,2,5,8,1/65536,1/65536,True
single_3,3,2,1,1/9,1/9,True
single_3,3,2,2,1/81,1/81,True
single_3,3,2,3,1/729,1/729,True
single_3,3,2,4,1/6561,1/6561,True
single_3,3,2,5,1/59049,1/59049,True
single_3,3,2,6,1/531441,1/531441,True
single_3,3,2,7,1/4782969,1/4782969,True
single_3,3,2,8,1/43046721,1/43046721,True
single_3,3,3,1,1/9,1/9,True
single_3,3,3,2,1/81,1/81,True
single_3,3,3,3,1/729,1/729,True
single_3,3,3,4,1/6561,1/6561,True
single_3,3,3,5,1/59049,1/59049,True
single_3,3,3,6,1/531441,1/531441,True
