atom,degree,weight,q,zero_form_determinant,one_form_determinant,graded_quotient,expected_euler_factor,quotient_exact
2,1,1/4,1/8,(z - 32)*(z - 4)/128,-(z - 32)/32,1 - z/4,1 - z/4,True
2,2,1/4,1/8,-(z - 256)*(z - 32)*(z - 4)/32768,(z - 256)*(z - 32)/8192,1 - z/4,1 - z/4,True
2,4,1/4,1/8,-(z - 16384)*(z - 2048)*(z - 256)*(z - 32)*(z - 4)/1099511627776,(z - 16384)*(z - 2048)*(z - 256)*(z - 32)/274877906944,1 - z/4,1 - z/4,True
2,8,1/4,1/8,-(z - 67108864)*(z - 8388608)*(z - 1048576)*(z - 131072)*(z - 16384)*(z - 2048)*(z - 256)*(z - 32)*(z - 4)/85070591730234615865843651857942052864,(z - 67108864)*(z - 8388608)*(z - 1048576)*(z - 131072)*(z - 16384)*(z - 2048)*(z - 256)*(z - 32)/21267647932558653966460912964485513216,1 - z/4,1 - z/4,True
3,1,1/9,1/8,(z - 72)*(z - 9)/648,-(z - 72)/72,1 - z/9,1 - z/9,True
3,2,1/9,1/8,-(z - 576)*(z - 72)*(z - 9)/373248,(z - 576)*(z - 72)/41472,1 - z/9,1 - z/9,True
3,4,1/9,1/8,-(z - 36864)*(z - 4608)*(z - 576)*(z - 72)*(z - 9)/63403380965376,(z - 36864)*(z - 4608)*(z - 576)*(z - 72)/7044820107264,1 - z/9,1 - z/9,True
3,8,1/9,1/8,-(z - 150994944)*(z - 18874368)*(z - 2359296)*(z - 294912)*(z - 36864)*(z - 4608)*(z - 576)*(z - 72)*(z - 9)/125725136747920421460999702454947161309184,(z - 150994944)*(z - 18874368)*(z - 2359296)*(z - 294912)*(z - 36864)*(z - 4608)*(z - 576)*(z - 72)/13969459638657824606777744717216351256576,1 - z/9,1 - z/9,True
5,1,1/25,1/32,(z - 800)*(z - 25)/20000,-(z - 800)/800,1 - z/25,1 - z/25,True
5,2,1/25,1/32,-(z - 25600)*(z - 800)*(z - 25)/512000000,(z - 25600)*(z - 800)/20480000,1 - z/25,1 - z/25,True
5,4,1/25,1/32,-(z - 26214400)*(z - 819200)*(z - 25600)*(z - 800)*(z - 25)/10995116277760000000000,(z - 26214400)*(z - 819200)*(z - 25600)*(z - 800)/439804651110400000000,1 - z/25,1 - z/25,True
5,8,1/25,1/32,-(z - 27487790694400)*(z - 858993459200)*(z - 26843545600)*(z - 838860800)*(z - 26214400)*(z - 819200)*(z - 25600)*(z - 800)*(z - 25)/5846006549323611672814739330865132078623730171904000000000000000000,(z - 27487790694400)*(z - 858993459200)*(z - 26843545600)*(z - 838860800)*(z - 26214400)*(z - 819200)*(z - 25600)*(z - 800)/233840261972944466912589573234605283144949206876160000000000000000,1 - z/25,1 - z/25,True
17,1,1/289,1/512,(z - 147968)*(z - 289)/42762752,-(z - 147968)/147968,1 - z/289,1 - z/289,True
17,2,1/289,1/512,-(z - 75759616)*(z - 147968)*(z - 289)/3239689670623232,(z - 75759616)*(z - 147968)/11209998860288,1 - z/289,1 - z/289,True
17,4,1/289,1/512,-(z - 19859928776704)*(z - 38788923392)*(z - 75759616)*(z - 147968)*(z - 289)/2495679568320922071016093294355940376576,(z - 19859928776704)*(z - 38788923392)*(z - 75759616)*(z - 147968)/8635569440556823775142191329951350784,1 - z/289,1 - z/289,True
17,8,1/289,1/512,-(z - 1364763913549327466758144)*(z - 2665554518651030208512)*(z - 5206161169240293376)*(z - 10168283533672448)*(z - 19859928776704)*(z - 38788923392)*(z - 75759616)*(z - 147968)*(z - 289)/480617057194841212547560845977613457806555342116719281107018586347163810304789414666041003112636802844762871775251922944,(z - 1364763913549327466758144)*(z - 2665554518651030208512)*(z - 5206161169240293376)*(z - 10168283533672448)*(z - 19859928776704)*(z - 38788923392)*(z - 75759616)*(z - 147968)/1663034799982149524386023688503852795178392187255084017671344589436552976833181365626439457137151566936895750087376896,1 - z/289,1 - z/289,True
257,1,1/66049,1/131072,(z - 8657174528)*(z - 66049)/571797720399872,-(z - 8657174528)/8657174528,1 - z/66049,1 - z/66049,True
257,2,1/66049,1/131072,-(z - 1134713179734016)*(z - 8657174528)*(z - 66049)/648826409479600583850120445952,(z - 1134713179734016)*(z - 8657174528)/9823410036179209130344448,1 - z/66049,1 - z/66049,True
257,4,1/66049,1/131072,-(z - 19494223989191074794962944)*(z - 148729125894096945152)*(z - 1134713179734016)*(z - 8657174528)*(z - 66049)/1881180620919368455881879416448935573531236149447534937997243297540998168576,(z - 19494223989191074794962944)*(z - 148729125894096945152)*(z - 1134713179734016)*(z - 8657174528)/28481591256784636495357680153354866440540146700896833229833052696346624,1 - z/66049,1 - z/66049,True
257,8,1/66049,1/131072,-(z - 5753679373506832530762861938242779801205080064)*(z - 43897089946798954244711776262228239450112)*(z - 334908217977897294957823000047517696)*(z - 2555146926711252555525382995968)*(z - 19494223989191074794962944)*(z - 148729125894096945152)*(z - 1134713179734016)*(z - 8657174528)*(z - 66049)/406587072743133608803502043223897547212739826538999678129053933281639130823592619845100695735131309714705324742800228217310198798638191174689571521420006064656037439835278291204193219145998107998987655247570862458568452660527104,(z - 5753679373506832530762861938242779801205080064)*(z - 43897089946798954244711776262228239450112)*(z - 334908217977897294957823000047517696)*(z - 2555146926711252555525382995968)*(z - 19494223989191074794962944)*(z - 148729125894096945152)*(z - 1134713179734016)*(z - 8657174528)/6155839948267704413443080791895373846882463421686924527684808752314783430840627713441546363080914316866346572132813944455028824034250195683349808799830520744538712771355785722784496648639617677769347836417975479697928093696,1 - z/66049,1 - z/66049,True
