cutoff,inventory,atom_count,finite_cohomology_sum_sigma1,finite_cohomology_sum_sigma2,shared_degreewise_trace_class_domain,disjoint_degreewise_trace_class_domain,graded_relative_determinant_domain,prime_cohomology_barrier,finite_prefix_is_domain_proof,remove_constant_cohomology_gives,retain_constant_cohomology,critical_strip_same_object_continuation
31,prime_evaluator,11,314016924901/200560490130,17942190650501641587001/40224510201185827416900,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,Re(s)>1,False,graded_determinant_one,True,False
31,square_control,4,1669/3600,1041361/12960000,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,control_inventory_not_used_for_prime_boundary,False,graded_determinant_one,True,False
31,fibonacci_control,6,14009/10920,50670281/119246400,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,control_inventory_not_used_for_prime_boundary,False,graded_determinant_one,True,False
31,all_integer_control,30,218572480850557/72201776446800,3196622307247428542801464609/5213096522073683233230240000,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,control_inventory_not_used_for_prime_boundary,False,graded_determinant_one,True,False
31,matched_density_seeded_random,11,70679621/66186120,418664607026623/1460200826884800,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,control_inventory_not_used_for_prime_boundary,False,graded_determinant_one,True,False
31,matched_density_hash,11,506168633/636756120,29958506024436889/405458356357454400,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,control_inventory_not_used_for_prime_boundary,False,graded_determinant_one,True,False
31,arbitrary_decidable_modular,13,12841141/8804400,256757989535909/697657134240000,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,control_inventory_not_used_for_prime_boundary,False,graded_determinant_one,True,False
127,prime_evaluator,31,7457575819106455685806801283735357697478405891621/4014476939333036189094441199026045136645885247730,7267245999673068544672745013377742260699424035510487559218851105498041243559874239139584789460841/16116025096436741923055068076409683317901388580679310996677231033506969291192210835795243470152900,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,Re(s)>1,False,graded_determinant_one,True,False
127,square_control,10,85758209/153679680,48477688087628977/590436101122560000,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,control_inventory_not_used_for_prime_boundary,False,graded_determinant_one,True,False
127,fibonacci_control,9,243843559/181741560,14078794808432033/33029994631233600,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,control_inventory_not_used_for_prime_boundary,False,graded_determinant_one,True,False
127,all_integer_control,126,29547419385244604730039532319357603762022765278826076663/6676878045498705789701874602220118271269436344024536000,28401961674075352068903216951916438612493726437047588698496773628659508006254084099140101094436998440640946569/44580700434462617501598374718495402261535626035420112538617082713277565731924424035275820116273370015296000000,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,control_inventory_not_used_for_prime_boundary,False,graded_determinant_one,True,False
127,matched_density_seeded_random,31,239382245726181849519211/204812037888966998790300,23078196428943792407299556766466448158788724097/83895941728463306972596165240866483326748180000,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,control_inventory_not_used_for_prime_boundary,False,graded_determinant_one,True,False
127,matched_density_hash,31,690173236745158945357715303/780644565686433010620657600,36719800533212235078941326437841730320484892566345249/609405937935759623426397542401627829479967856437760000,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,control_inventory_not_used_for_prime_boundary,False,graded_determinant_one,True,False
127,arbitrary_decidable_modular,54,608941346706729493068307798019860957/296078153075333202068354504261073600,33160370481031148960276106321683116235281328169796540483621684622711341/87662272728500439661623454075570133929012574744111528939148224616960000,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,control_inventory_not_used_for_prime_boundary,False,graded_determinant_one,True,False
511,prime_evaluator,97,67145739266000062990025166622717418361459616698917599983548266350250816970297671328885493552418953235583279070820588342094622498190667685445292643835657494214478054872642681745098790386247266094422536228250942571/31964081287196888554640742530273949712805599189441373009521636182430667982828077742788853029807931798207106885718293402541861369758591699412090677759187666930105491469725350718941073722934985042092154205321144030,461791139886916328937745887416442697626244501230847523806138800659589009749851571256039847209360138043137221187900204142213717543097561042955691004862961639290343245810659648204819374592903172702165675925822214148364085922327170359164531507746630150423624704846979224756677893608041407493734456515125812602327704281120308786895106746854252924297560039030362543899906827657628234139597675692322083216835696240134545221168161/1021702492534530299899072035742377694654291383995838600773726890330910651183103702803957970443243383381404670165435594277368257820863918347253395258837776442644778147065600386574651713939027495101438551150014829615903743554323480302917259089368491936407661031327600039427685359429050549635168014916722956678327705338271134641077524129905552410376979518807600116583887542989560104418936886294184666313570090653425788004640900,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,Re(s)>1,False,graded_determinant_one,True,False
511,square_control,21,132825941190529/221193371393280,34526019422537833111340365785767/419544802226891154340280033280000,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,control_inventory_not_used_for_prime_boundary,False,graded_determinant_one,True,False
511,fibonacci_control,12,9988240629883/7368166325520,23144664217615425920420437/54289875000526898603270400,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,control_inventory_not_used_for_prime_boundary,False,graded_determinant_one,True,False
511,all_integer_control,510,63206228236640010378652692739876683388950438651418047397291801582476032198638775989108075939570770535220645922760977322165259521526975475956239932311246183974464333699958099933496667466124917990126038945498605730118564879/10870330888959153886891122435644546459412931100558165290353416856224689159435427437222929486033227115395530592314418654621595737325592488189127844200460770129169987270623030588240890007883553635597714573968763099709269760,45718738898673626743615622919540766690365055877542926643719375132360426129292740160130076353071357015604548918283116734161009163815990215224629522249863889353895901879235890550977156829546202154331329436190360835080708147864302527166650645200701876829047976603146358073711775145312738114744784826284427116045073751257542986148580458708233009096574370279956601667791232419252836091101109066424719320129303545783942116218140782985190853843268369/71104556344593367208511090820180215579503651042730802790570384393887284868723971545986792188107401220636186800389792144542154813107222848657893363969270829074113965248681085082296605148077744265997322519807710920335799237044613666538228403049504630725445876708316695298417852911379053729826252670262532760357459177954740859424851473544633201173829106874592853610894562617327330273395478597974026171316783420919838818658904392769962201292800000,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,control_inventory_not_used_for_prime_boundary,False,graded_determinant_one,True,False
511,matched_density_seeded_random,97,38505696641303637929124115390077234951578521815954271456893664737466833906877153007331970303931/52065633268472390650785822281062452272138477193972297477210773505671417494672510410096309561600,1457132928954969286550484114306800398564434960560656378525124484082056081971682251629381825343254042540853564911271262321103718944378750593705765570181460126695417652276563126017986514673/73265680206677270178116651641248420959695114623863778951295995222255844234185450193127266937031128135577609589607086872044373627423683798644097184298667945856306154765576974152853626880000,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,control_inventory_not_used_for_prime_boundary,False,graded_determinant_one,True,False
511,matched_density_hash,97,23403625736604518974842947135548799914236009771426553696473406571321993963566111352639/24522812525315061423259748389086016740804288660320754940899720753509900403989264462400,609143922300663949736346723418298094035623528527583600002018142585736638518082548254805565475875759256540777280846951057185972809642064417682139658775800977703491865729/11346572342485835095434268527337372596051932877343595905748278171130103798770552735288251729491209708239609447812266277565474722541262969547957575103421148508821905920000,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,Re(s)>1_uniform_guarantee,control_inventory_not_used_for_prime_boundary,False,graded_determinant_one,True,False
