atom,degree,ordinary_block_determinant,graded_relative_determinant,ordinary_equals_graded,ordinary_object,graded_object,ownership_gate
2,1,-(z - 32)**2*(z - 4)/4096,1 - z/4,False,direct_sum_product,degree_ratio,STOP_ORDINARY_FREDHOLM_IDENTIFICATION
2,2,-(z - 256)**2*(z - 32)**2*(z - 4)/268435456,1 - z/4,False,direct_sum_product,degree_ratio,STOP_ORDINARY_FREDHOLM_IDENTIFICATION
2,4,-(z - 16384)**2*(z - 2048)**2*(z - 256)**2*(z - 32)**2*(z - 4)/302231454903657293676544,1 - z/4,False,direct_sum_product,degree_ratio,STOP_ORDINARY_FREDHOLM_IDENTIFICATION
2,8,-(z - 67108864)**2*(z - 8388608)**2*(z - 1048576)**2*(z - 131072)**2*(z - 16384)**2*(z - 2048)**2*(z - 256)**2*(z - 32)**2*(z - 4)/1809251394333065553493296640760748560207343510400633813116524750123642650624,1 - z/4,False,direct_sum_product,degree_ratio,STOP_ORDINARY_FREDHOLM_IDENTIFICATION
3,1,-(z - 72)**2*(z - 9)/46656,1 - z/9,False,direct_sum_product,degree_ratio,STOP_ORDINARY_FREDHOLM_IDENTIFICATION
3,2,-(z - 576)**2*(z - 72)**2*(z - 9)/15479341056,1 - z/9,False,direct_sum_product,degree_ratio,STOP_ORDINARY_FREDHOLM_IDENTIFICATION
3,4,-(z - 36864)**2*(z - 4608)**2*(z - 576)**2*(z - 72)**2*(z - 9)/446665413093400408190091264,1 - z/9,False,direct_sum_product,degree_ratio,STOP_ORDINARY_FREDHOLM_IDENTIFICATION
3,8,-(z - 150994944)**2*(z - 18874368)**2*(z - 2359296)**2*(z - 294912)**2*(z - 36864)**2*(z - 4608)**2*(z - 576)**2*(z - 72)**2*(z - 9)/1756312223364809996678663268068328416811171933315270297607158589957854127649193984,1 - z/9,False,direct_sum_product,degree_ratio,STOP_ORDINARY_FREDHOLM_IDENTIFICATION
5,1,-(z - 800)**2*(z - 25)/16000000,1 - z/25,False,direct_sum_product,degree_ratio,STOP_ORDINARY_FREDHOLM_IDENTIFICATION
5,2,-(z - 25600)**2*(z - 800)**2*(z - 25)/10485760000000000,1 - z/25,False,direct_sum_product,degree_ratio,STOP_ORDINARY_FREDHOLM_IDENTIFICATION
5,4,-(z - 26214400)**2*(z - 819200)**2*(z - 25600)**2*(z - 800)**2*(z - 25)/4835703278458516698824704000000000000000000,1 - z/25,False,direct_sum_product,degree_ratio,STOP_ORDINARY_FREDHOLM_IDENTIFICATION
5,8,-(z - 27487790694400)**2*(z - 858993459200)**2*(z - 26843545600)**2*(z - 838860800)**2*(z - 26214400)**2*(z - 819200)**2*(z - 25600)**2*(z - 800)**2*(z - 25)/1367031702989382452732813891948513353345730894308257772766106629006220624499609952014695735639408640000000000000000000000000000000000,1 - z/25,False,direct_sum_product,degree_ratio,STOP_ORDINARY_FREDHOLM_IDENTIFICATION
17,1,-(z - 147968)**2*(z - 289)/6327518887936,1 - z/289,False,direct_sum_product,degree_ratio,STOP_ORDINARY_FREDHOLM_IDENTIFICATION
17,2,-(z - 75759616)**2*(z - 147968)**2*(z - 289)/36316917515373236834655010816,1 - z/289,False,direct_sum_product,degree_ratio,STOP_ORDINARY_FREDHOLM_IDENTIFICATION
17,4,-(z - 19859928776704)**2*(z - 38788923392)**2*(z - 75759616)**2*(z - 147968)**2*(z - 289)/21551614213614200467865775236945047274055359813376493287792768561816832835584,1 - z/289,False,direct_sum_product,degree_ratio,STOP_ORDINARY_FREDHOLM_IDENTIFICATION
17,8,-(z - 1364763913549327466758144)**2*(z - 2665554518651030208512)**2*(z - 5206161169240293376)**2*(z - 10168283533672448)**2*(z - 19859928776704)**2*(z - 38788923392)**2*(z - 75759616)**2*(z - 147968)**2*(z - 289)/799282891580032073881672770766039854661005362257202351568861808443419606647496453044451708648557563757191314764379859878980800867393608184156280772791360127365133653028560628500351336915370438540393309432989216248761681328610644877901824,1 - z/289,False,direct_sum_product,degree_ratio,STOP_ORDINARY_FREDHOLM_IDENTIFICATION
257,1,-(z - 8657174528)**2*(z - 66049)/4950152660214237852860416,1 - z/66049,False,direct_sum_product,degree_ratio,STOP_ORDINARY_FREDHOLM_IDENTIFICATION
257,2,-(z - 1134713179734016)**2*(z - 8657174528)**2*(z - 66049)/6373687862620029529252082641045373971692276229127274496,1 - z/66049,False,direct_sum_product,degree_ratio,STOP_ORDINARY_FREDHOLM_IDENTIFICATION
257,4,-(z - 19494223989191074794962944)**2*(z - 148729125894096945152)**2*(z - 1134713179734016)**2*(z - 8657174528)**2*(z - 66049)/53579017525209778263620516472193748581851702408643142957476060866564416674053831713853354353513391505804974854253569966539915567534150230080487424,1 - z/66049,False,direct_sum_product,degree_ratio,STOP_ORDINARY_FREDHOLM_IDENTIFICATION
257,8,-(z - 5753679373506832530762861938242779801205080064)**2*(z - 43897089946798954244711776262228239450112)**2*(z - 334908217977897294957823000047517696)**2*(z - 2555146926711252555525382995968)**2*(z - 19494223989191074794962944)**2*(z - 148729125894096945152)**2*(z - 1134713179734016)**2*(z - 8657174528)**2*(z - 66049)/2502884944841408965596242164668053986838993776902679069595176988521853018677622279832799210108400669073692377614390552209284759117337109047453620185347521522128552284274627294021547569007849807023034100847673899811740524414057086504779318239485536562753079911520449016112122625470195377087812593503579953814115344342667041584225573557201317213976491070893709188236272404815398799632910735048676126194658066657964715599627707202876633368917121259536384,1 - z/66049,False,direct_sum_product,degree_ratio,STOP_ORDINARY_FREDHOLM_IDENTIFICATION
