atom,code_length,q,alpha_from_r1,power,normalized_trace_over_w_power,target,residual,match,r1_fit,r2_plus_failure,q_zero_rank_one_boundary
2,3,1/8,7/8,1,1/1,1/1,0/1,True,True,False,False
2,3,1/8,7/8,2,7/9,1/1,-2/9,False,False,True,False
2,3,1/8,7/8,3,49/73,1/1,-24/73,False,False,True,False
2,3,1/8,7/8,4,343/585,1/1,-242/585,False,False,True,False
2,3,1/8,7/8,5,2401/4681,1/1,-2280/4681,False,False,True,False
2,3,1/8,7/8,6,16807/37449,1/1,-20642/37449,False,False,True,False
3,3,1/8,7/8,1,1/1,1/1,0/1,True,True,False,False
3,3,1/8,7/8,2,7/9,1/1,-2/9,False,False,True,False
3,3,1/8,7/8,3,49/73,1/1,-24/73,False,False,True,False
3,3,1/8,7/8,4,343/585,1/1,-242/585,False,False,True,False
3,3,1/8,7/8,5,2401/4681,1/1,-2280/4681,False,False,True,False
3,3,1/8,7/8,6,16807/37449,1/1,-20642/37449,False,False,True,False
4,5,1/32,31/32,1,1/1,1/1,0/1,True,True,False,False
4,5,1/32,31/32,2,31/33,1/1,-2/33,False,False,True,False
4,5,1/32,31/32,3,961/1057,1/1,-96/1057,False,False,True,False
4,5,1/32,31/32,4,29791/33825,1/1,-4034/33825,False,False,True,False
4,5,1/32,31/32,5,923521/1082401,1/1,-158880/1082401,False,False,True,False
4,5,1/32,31/32,6,28629151/34636833,1/1,-6007682/34636833,False,False,True,False
5,5,1/32,31/32,1,1/1,1/1,0/1,True,True,False,False
5,5,1/32,31/32,2,31/33,1/1,-2/33,False,False,True,False
5,5,1/32,31/32,3,961/1057,1/1,-96/1057,False,False,True,False
5,5,1/32,31/32,4,29791/33825,1/1,-4034/33825,False,False,True,False
5,5,1/32,31/32,5,923521/1082401,1/1,-158880/1082401,False,False,True,False
5,5,1/32,31/32,6,28629151/34636833,1/1,-6007682/34636833,False,False,True,False
6,5,1/32,31/32,1,1/1,1/1,0/1,True,True,False,False
6,5,1/32,31/32,2,31/33,1/1,-2/33,False,False,True,False
6,5,1/32,31/32,3,961/1057,1/1,-96/1057,False,False,True,False
6,5,1/32,31/32,4,29791/33825,1/1,-4034/33825,False,False,True,False
6,5,1/32,31/32,5,923521/1082401,1/1,-158880/1082401,False,False,True,False
6,5,1/32,31/32,6,28629151/34636833,1/1,-6007682/34636833,False,False,True,False
7,5,1/32,31/32,1,1/1,1/1,0/1,True,True,False,False
7,5,1/32,31/32,2,31/33,1/1,-2/33,False,False,True,False
7,5,1/32,31/32,3,961/1057,1/1,-96/1057,False,False,True,False
7,5,1/32,31/32,4,29791/33825,1/1,-4034/33825,False,False,True,False
7,5,1/32,31/32,5,923521/1082401,1/1,-158880/1082401,False,False,True,False
7,5,1/32,31/32,6,28629151/34636833,1/1,-6007682/34636833,False,False,True,False
8,7,1/128,127/128,1,1/1,1/1,0/1,True,True,False,False
8,7,1/128,127/128,2,127/129,1/1,-2/129,False,False,True,False
8,7,1/128,127/128,3,16129/16513,1/1,-384/16513,False,False,True,False
8,7,1/128,127/128,4,2048383/2113665,1/1,-65282/2113665,False,False,True,False
8,7,1/128,127/128,5,260144641/270549121,1/1,-10404480/270549121,False,False,True,False
8,7,1/128,127/128,6,33038369407/34630287489,1/1,-1591918082/34630287489,False,False,True,False
9,7,1/128,127/128,1,1/1,1/1,0/1,True,True,False,False
9,7,1/128,127/128,2,127/129,1/1,-2/129,False,False,True,False
9,7,1/128,127/128,3,16129/16513,1/1,-384/16513,False,False,True,False
9,7,1/128,127/128,4,2048383/2113665,1/1,-65282/2113665,False,False,True,False
9,7,1/128,127/128,5,260144641/270549121,1/1,-10404480/270549121,False,False,True,False
9,7,1/128,127/128,6,33038369407/34630287489,1/1,-1591918082/34630287489,False,False,True,False
10,7,1/128,127/128,1,1/1,1/1,0/1,True,True,False,False
10,7,1/128,127/128,2,127/129,1/1,-2/129,False,False,True,False
10,7,1/128,127/128,3,16129/16513,1/1,-384/16513,False,False,True,False
10,7,1/128,127/128,4,2048383/2113665,1/1,-65282/2113665,False,False,True,False
10,7,1/128,127/128,5,260144641/270549121,1/1,-10404480/270549121,False,False,True,False
10,7,1/128,127/128,6,33038369407/34630287489,1/1,-1591918082/34630287489,False,False,True,False
11,7,1/128,127/128,1,1/1,1/1,0/1,True,True,False,False
11,7,1/128,127/128,2,127/129,1/1,-2/129,False,False,True,False
11,7,1/128,127/128,3,16129/16513,1/1,-384/16513,False,False,True,False
11,7,1/128,127/128,4,2048383/2113665,1/1,-65282/2113665,False,False,True,False
11,7,1/128,127/128,5,260144641/270549121,1/1,-10404480/270549121,False,False,True,False
11,7,1/128,127/128,6,33038369407/34630287489,1/1,-1591918082/34630287489,False,False,True,False
12,7,1/128,127/128,1,1/1,1/1,0/1,True,True,False,False
12,7,1/128,127/128,2,127/129,1/1,-2/129,False,False,True,False
12,7,1/128,127/128,3,16129/16513,1/1,-384/16513,False,False,True,False
12,7,1/128,127/128,4,2048383/2113665,1/1,-65282/2113665,False,False,True,False
12,7,1/128,127/128,5,260144641/270549121,1/1,-10404480/270549121,False,False,True,False
12,7,1/128,127/128,6,33038369407/34630287489,1/1,-1591918082/34630287489,False,False,True,False
13,7,1/128,127/128,1,1/1,1/1,0/1,True,True,False,False
13,7,1/128,127/128,2,127/129,1/1,-2/129,False,False,True,False
13,7,1/128,127/128,3,16129/16513,1/1,-384/16513,False,False,True,False
13,7,1/128,127/128,4,2048383/2113665,1/1,-65282/2113665,False,False,True,False
13,7,1/128,127/128,5,260144641/270549121,1/1,-10404480/270549121,False,False,True,False
13,7,1/128,127/128,6,33038369407/34630287489,1/1,-1591918082/34630287489,False,False,True,False
14,7,1/128,127/128,1,1/1,1/1,0/1,True,True,False,False
14,7,1/128,127/128,2,127/129,1/1,-2/129,False,False,True,False
14,7,1/128,127/128,3,16129/16513,1/1,-384/16513,False,False,True,False
14,7,1/128,127/128,4,2048383/2113665,1/1,-65282/2113665,False,False,True,False
14,7,1/128,127/128,5,260144641/270549121,1/1,-10404480/270549121,False,False,True,False
14,7,1/128,127/128,6,33038369407/34630287489,1/1,-1591918082/34630287489,False,False,True,False
15,7,1/128,127/128,1,1/1,1/1,0/1,True,True,False,False
15,7,1/128,127/128,2,127/129,1/1,-2/129,False,False,True,False
15,7,1/128,127/128,3,16129/16513,1/1,-384/16513,False,False,True,False
15,7,1/128,127/128,4,2048383/2113665,1/1,-65282/2113665,False,False,True,False
15,7,1/128,127/128,5,260144641/270549121,1/1,-10404480/270549121,False,False,True,False
15,7,1/128,127/128,6,33038369407/34630287489,1/1,-1591918082/34630287489,False,False,True,False
