cutoff,inventory,atoms,power,shared_supertrace,disjoint_supertrace,mixed_difference,equal,mixed_survives
31,prime_evaluator,2|3|5|7,1,18589/44100,18589/44100,0/1,True,False
31,prime_evaluator,2|3|5|7,2,345550921/1944810000,149482321/1944810000,247/2450,False,True
31,prime_evaluator,2|3|5|7,3,6423446070469/85766121000000,1463962672369/85766121000000,4165183/72030000,False,True
31,prime_evaluator,2|3|5|7,4,119405439003948241/3782285936100000000,15361373289887041/3782285936100000000,65535440737/2382392250000,False,True
31,prime_evaluator,2|3|5|7,5,2219627705644393851949/166798809782010000000000,165731885855865818449/166798809782010000000000,1034968919016643/84050798580000000,False,True
31,prime_evaluator,2|3|5|7,6,41260659420223637313879961/7355827511386641000000000000,1809728274133615790072161/7355827511386641000000000000,16566276621352994677/3088866847815000000000,False,True
31,prime_evaluator,2|3|5|7,7,766994397962537194027714595029/324391993252150868100000000000000,19867191928359948315454870129/324391993252150868100000000000000,268915238107539591013303/116759166847407000000000000,False,True
31,prime_evaluator,2|3|5|7,8,14257658863725603899781186606994081/14305686902419853283210000000000000000,218619882328106465759449939735681/14305686902419853283210000000000000000,4421466043524029174232091417/4505444350724317612500000000000,False,True
31,square_control,4|9|16|25,1,1041361/12960000,1041361/12960000,0/1,True,False
31,square_control,4|9|16|25,2,1084432732321/167961600000000,684692872321/167961600000000,9139/3840000,False,True
31,square_control,4|9|16|25,3,1129285954562528881/2176782336000000000000,535675662438338881/2176782336000000000000,9047558179/33177600000000,False,True
31,square_control,4|9|16|25,4,1175994350929189638047041/28211099074560000000000000000,431129323292614607927041/28211099074560000000000000000,8514689387706619/322486272000000000000,False,True
31,square_control,4|9|16|25,5,1224634653277971850666304662801/365615844006297600000000000000000000,348783634059433000412563012801/365615844006297600000000000000000000,8009611515487323733459/3343537668096000000000000000,False,True
31,square_control,4|9|16|25,6,1275286767172202044381713689959112161/4738381338321616896000000000000000000000000,282446330610609043231623418596332161/4738381338321616896000000000000000000000000,7566227987818876704390262699/36110206815436800000000000000000000,False,True
31,square_control,4|9|16|25,7,1328033903149211493139385749889510999091121/61409422144648154972160000000000000000000000000000,228770609758045376547538786626134881581121/61409422144648154972160000000000000000000000000000,50263525075041889190299358173908373/2807929681968365568000000000000000000000000,False,True
