cutoff,inventory,label_count,first_labels,weight_rule,trace_norm_partial_sum,determinant_at_z1,ell1_tail_upper_bound,countable_trace_class_domain,selector_compiler_identical,prime_selectivity_credit,proves_too_much
31,prime_evaluator,11,2|3|5|7|11|13|17|19,label^-2,17942190650501641587001/40224510201185827416900,50722704772300800/82920037520482019,1/31,all_inventory_subsets_with_label^-2,True,0,True
31,square_control,4,4|9|16|25,label^-2,1041361/12960000,221/240,1/31,all_inventory_subsets_with_label^-2,True,0,True
31,fibonacci_control,6,2|3|5|8|13|21,label^-2,50670281/119246400,528/845,1/31,all_inventory_subsets_with_label^-2,True,0,True
31,all_integer_control,30,2|3|4|5|6|7|8|9,label^-2,3196622307247428542801464609/5213096522073683233230240000,16/31,1/31,all_inventory_subsets_with_label^-2,True,0,True
31,matched_density_seeded_random,11,2|7|8|15|16|18|20|21,label^-2,1754305201/5715360000,4460795053/6298560000,1/31,all_inventory_subsets_with_label^-2,True,0,True
31,matched_density_hash,11,5|7|9|10|12|13|20|21,label^-2,6263220278117/59682838105800,30764371968/34209739655,1/31,all_inventory_subsets_with_label^-2,True,0,True
31,arbitrary_decidable_modular,13,2|4|8|9|11|15|16|18,label^-2,256757989535909/697657134240000,5313108073/7989993000,1/31,all_inventory_subsets_with_label^-2,True,0,True
127,prime_evaluator,31,2|3|5|7|11|13|17|19,label^-2,7267245999673068544672745013377742260699424035510487559218851105498041243559874239139584789460841/16116025096436741923055068076409683317901388580679310996677231033506969291192210835795243470152900,62721385923051660005207941795466564214611360029702097388070502400000000000/103037010066247336574150234198301233099615801602110233420605945100950524757,1/127,all_inventory_subsets_with_label^-2,True,0,True
127,square_control,10,4|9|16|25|36|49|64|81,label^-2,48477688087628977/590436101122560000,134258694505/146057167872,1/127,all_inventory_subsets_with_label^-2,True,0,True
127,fibonacci_control,9,2|3|5|8|13|21|34|55,label^-2,14078794808432033/33029994631233600,1207084032/1934347805,1/127,all_inventory_subsets_with_label^-2,True,0,True
127,all_integer_control,126,2|3|4|5|6|7|8|9,label^-2,28401961674075352068903216951916438612493726437047588698496773628659508006254084099140101094436998440640946569/44580700434462617501598374718495402261535626035420112538617082713277565731924424035275820116273370015296000000,64/127,1/127,all_inventory_subsets_with_label^-2,True,0,True
127,matched_density_seeded_random,31,8|15|18|21|24|25|27|32,label^-2,1913007642980008280539905027462355321280663/51230792802866397080441730779315877007680000,237662368624854965825189220450966967948859375/246740781284786614159596868125806131120963584,1/127,all_inventory_subsets_with_label^-2,True,0,True
127,matched_density_hash,31,9|10|12|13|20|21|23|26,label^-2,344841593708908797181487398131179354101/6901828009702340449212888004885530240000,29052651562680920633890649866855608779/30546590416324931941785348146027775000,1/127,all_inventory_subsets_with_label^-2,True,0,True
127,arbitrary_decidable_modular,54,2|4|8|9|11|15|16|18,label^-2,33160370481031148960276106321683116235281328169796540483621684622711341/87662272728500439661623454075570133929012574744111528939148224616960000,40750256013567269762669167987113809932251134497/61912525765971091454911863055235432719217610615,1/127,all_inventory_subsets_with_label^-2,True,0,True
511,prime_evaluator,97,2|3|5|7|11|13|17|19,label^-2,461791139886916328937745887416442697626244501230847523806138800659589009749851571256039847209360138043137221187900204142213717543097561042955691004862961639290343245810659648204819374592903172702165675925822214148364085922327170359164531507746630150423624704846979224756677893608041407493734456515125812602327704281120308786895106746854252924297560039030362543899906827657628234139597675692322083216835696240134545221168161/1021702492534530299899072035742377694654291383995838600773726890330910651183103702803957970443243383381404670165435594277368257820863918347253395258837776442644778147065600386574651713939027495101438551150014829615903743554323480302917259089368491936407661031327600039427685359429050549635168014916722956678327705338271134641077524129905552410376979518807600116583887542989560104418936886294184666313570090653425788004640900,1336093232485013149625848000611375047211355023396398665349525715156491450017401978170796431437789776864387302897310968410400288404556226255508017635532857847013764680718588237919319263125195803471023052479513724117759440421085411186925569521927593451176566579584890306560000000000000000000000000000000000000000000000000000000/2197202023760686827802830383855514597344974445405265643978005224585725722006173889756686339758058102603750516779181041671781344729696464374923631950369220232548450948850693212200799807448386598368247420415494492855750885468918232668817463392177666606545337500429234862221933992134393775205168812263242010546971691766248689483,1/511,all_inventory_subsets_with_label^-2,True,0,True
511,square_control,21,4|9|16|25|36|49|64|81,label^-2,34526019422537833111340365785767/419544802226891154340280033280000,2615042401600849381405188878375/2845386866872199376292181704704,1/511,all_inventory_subsets_with_label^-2,True,0,True
511,fibonacci_control,12,2|3|5|8|13|21|34|55,label^-2,23144664217615425920420437/54289875000526898603270400,13105311335424/21002761597129,1/511,all_inventory_subsets_with_label^-2,True,0,True
511,all_integer_control,510,2|3|4|5|6|7|8|9,label^-2,45718738898673626743615622919540766690365055877542926643719375132360426129292740160130076353071357015604548918283116734161009163815990215224629522249863889353895901879235890550977156829546202154331329436190360835080708147864302527166650645200701876829047976603146358073711775145312738114744784826284427116045073751257542986148580458708233009096574370279956601667791232419252836091101109066424719320129303545783942116218140782985190853843268369/71104556344593367208511090820180215579503651042730802790570384393887284868723971545986792188107401220636186800389792144542154813107222848657893363969270829074113965248681085082296605148077744265997322519807710920335799237044613666538228403049504630725445876708316695298417852911379053729826252670262532760357459177954740859424851473544633201173829106874592853610894562617327330273395478597974026171316783420919838818658904392769962201292800000,256/511,1/511,all_inventory_subsets_with_label^-2,True,0,True
511,matched_density_seeded_random,97,8|15|21|24|25|27|34|36,label^-2,11075184348841177918991259686079544886618143401822816352739208510981457559593776231122015382976587780026562303934088186568700328945483685691937828880944699816325513217948627791346429981/326478988939698499971364752137702560258014893866790367457558379370361279801595393304066134599023167741555570471236025632342406602697959477669214770213961563582818344381207394339154560000,5320816957523393644133713153999732134816486742384779413744460609088107583864116719002636703362065700432720546189289504573393651446875000000000000000/5505188450815503949160968445596663734810375382464677575873270715259735682306864739272979750084361281099268721821689417062357730154192761574370428349,1/511,all_inventory_subsets_with_label^-2,True,0,True
511,matched_density_hash,97,10|13|20|21|23|26|29|33,label^-2,903987791457479451726992261902481946692800859866348338555020150129312384469461884810658399460255555372943062187781523285796368759444230971206320969/28712702301027149203628599179999740602169011458255647396545224159277893801579928672226387880522209789901714277210154078335086542336654300759736000000,284616253320239685194065052512632277358218628376027193073645479924064697523912819477343883236014938732114083840/293742675793014644456252233595352566293894655467165696928394592271124780050228789781150957820372846803758067419,1/511,all_inventory_subsets_with_label^-2,True,0,True
511,arbitrary_decidable_modular,218,2|4|8|9|11|15|16|18,label^-2,29300268263380869687392952179433153554780988477831721977366592186833611476260832787422871959675373921231680577285082702758301208765356587230676409769055943899488907573608468977777801727388618855832249828121540632459712990166875437724230600267972110591322384552159303816989451362667147820303/76943148395008811599453752046570664365284458499063503735830463445801967260625124007320801015155818142408181687003950485616727890081451348968105173977485574641567673299868154525698854740189565743175199627335106320888819128348270325546149458541350607458101198372663872181776704122579968000000,226513129806893349689420672852759780040672721482518387897610381620783487251131750881887938063730926645998947654982162218698972917712282293449346971512673881288647273965117168069939698276095225/345016874026935942774471598540647773790490508485360923462401517909974851007083402662703926853469791453275334027337567765542212403920083803958545849118519315902878080153100604484889727780323328,1/511,all_inventory_subsets_with_label^-2,True,0,True
