color_count,even_dimension,odd_dimension,length,word,support_size,even_trace,odd_trace,supertrace,expected,common_sector_cancels,exact
1,3,2,1,0,1,2,1,1,1,True,True
1,3,2,2,0|0,1,8,7,1,1,True,True
1,3,2,3,0|0|0,1,11,10,1,1,True,True
1,3,2,4,0|0|0|0,1,32,31,1,1,True,True
2,4,2,1,0,1,2,1,1,1,True,True
2,4,2,1,1,1,5,4,1,1,True,True
2,4,2,2,0|0,1,8,7,1,1,True,True
2,4,2,2,0|1,2,7,7,0,0,True,True
2,4,2,2,1|0,2,7,7,0,0,True,True
2,4,2,2,1|1,1,11,10,1,1,True,True
2,4,2,3,0|0|0,1,11,10,1,1,True,True
2,4,2,3,0|0|1,2,19,19,0,0,True,True
2,4,2,3,0|1|0,2,19,19,0,0,True,True
2,4,2,3,0|1|1,2,25,25,0,0,True,True
2,4,2,3,1|0|0,2,19,19,0,0,True,True
2,4,2,3,1|0|1,2,25,25,0,0,True,True
2,4,2,3,1|1|0,2,25,25,0,0,True,True
2,4,2,3,1|1|1,1,29,28,1,1,True,True
2,4,2,4,0|0|0|0,1,32,31,1,1,True,True
2,4,2,4,0|0|0|1,2,40,40,0,0,True,True
2,4,2,4,0|0|1|0,2,40,40,0,0,True,True
2,4,2,4,0|0|1|1,2,55,55,0,0,True,True
2,4,2,4,0|1|0|0,2,40,40,0,0,True,True
2,4,2,4,0|1|0|1,2,67,67,0,0,True,True
2,4,2,4,0|1|1|0,2,55,55,0,0,True,True
2,4,2,4,0|1|1|1,2,79,79,0,0,True,True
2,4,2,4,1|0|0|0,2,40,40,0,0,True,True
2,4,2,4,1|0|0|1,2,55,55,0,0,True,True
2,4,2,4,1|0|1|0,2,67,67,0,0,True,True
2,4,2,4,1|0|1|1,2,79,79,0,0,True,True
2,4,2,4,1|1|0|0,2,55,55,0,0,True,True
2,4,2,4,1|1|0|1,2,79,79,0,0,True,True
2,4,2,4,1|1|1|0,2,79,79,0,0,True,True
2,4,2,4,1|1|1|1,1,83,82,1,1,True,True
3,5,2,1,0,1,2,1,1,1,True,True
3,5,2,1,1,1,5,4,1,1,True,True
3,5,2,1,2,1,8,7,1,1,True,True
3,5,2,2,0|0,1,8,7,1,1,True,True
3,5,2,2,0|1,2,7,7,0,0,True,True
3,5,2,2,0|2,2,7,7,0,0,True,True
3,5,2,2,1|0,2,7,7,0,0,True,True
3,5,2,2,1|1,1,11,10,1,1,True,True
3,5,2,2,1|2,2,13,13,0,0,True,True
3,5,2,2,2|0,2,7,7,0,0,True,True
3,5,2,2,2|1,2,13,13,0,0,True,True
3,5,2,2,2|2,1,20,19,1,1,True,True
3,5,2,3,0|0|0,1,11,10,1,1,True,True
3,5,2,3,0|0|1,2,19,19,0,0,True,True
3,5,2,3,0|0|2,2,28,28,0,0,True,True
3,5,2,3,0|1|0,2,19,19,0,0,True,True
3,5,2,3,0|1|1,2,25,25,0,0,True,True
3,5,2,3,0|1|2,3,31,31,0,0,True,True
3,5,2,3,0|2|0,2,28,28,0,0,True,True
3,5,2,3,0|2|1,3,31,31,0,0,True,True
3,5,2,3,0|2|2,2,34,34,0,0,True,True
3,5,2,3,1|0|0,2,19,19,0,0,True,True
3,5,2,3,1|0|1,2,25,25,0,0,True,True
3,5,2,3,1|0|2,3,31,31,0,0,True,True
3,5,2,3,1|1|0,2,25,25,0,0,True,True
3,5,2,3,1|1|1,1,29,28,1,1,True,True
3,5,2,3,1|1|2,2,31,31,0,0,True,True
3,5,2,3,1|2|0,3,31,31,0,0,True,True
3,5,2,3,1|2|1,2,31,31,0,0,True,True
3,5,2,3,1|2|2,2,31,31,0,0,True,True
3,5,2,3,2|0|0,2,28,28,0,0,True,True
