label,gamma_length,digit_marker,return_marker,selector_weight,selector_preserves_supplied_marker,selector_derives_marker,digit_and_return_markers_equal
2,3,u^3,z,u^3*2^-s,True,False,False
3,3,u^3,z,u^3*3^-s,True,False,False
4,5,u^5,z,u^5*4^-s,True,False,False
5,5,u^5,z,u^5*5^-s,True,False,False
6,5,u^5,z,u^5*6^-s,True,False,False
7,5,u^5,z,u^5*7^-s,True,False,False
8,7,u^7,z,u^7*8^-s,True,False,False
9,7,u^7,z,u^7*9^-s,True,False,False
10,7,u^7,z,u^7*10^-s,True,False,False
11,7,u^7,z,u^7*11^-s,True,False,False
12,7,u^7,z,u^7*12^-s,True,False,False
13,7,u^7,z,u^7*13^-s,True,False,False
14,7,u^7,z,u^7*14^-s,True,False,False
15,7,u^7,z,u^7*15^-s,True,False,False
16,9,u^9,z,u^9*16^-s,True,False,False
17,9,u^9,z,u^9*17^-s,True,False,False
18,9,u^9,z,u^9*18^-s,True,False,False
19,9,u^9,z,u^9*19^-s,True,False,False
20,9,u^9,z,u^9*20^-s,True,False,False
21,9,u^9,z,u^9*21^-s,True,False,False
22,9,u^9,z,u^9*22^-s,True,False,False
23,9,u^9,z,u^9*23^-s,True,False,False
24,9,u^9,z,u^9*24^-s,True,False,False
25,9,u^9,z,u^9*25^-s,True,False,False
26,9,u^9,z,u^9*26^-s,True,False,False
27,9,u^9,z,u^9*27^-s,True,False,False
28,9,u^9,z,u^9*28^-s,True,False,False
29,9,u^9,z,u^9*29^-s,True,False,False
30,9,u^9,z,u^9*30^-s,True,False,False
31,9,u^9,z,u^9*31^-s,True,False,False
32,11,u^11,z,u^11*32^-s,True,False,False
33,11,u^11,z,u^11*33^-s,True,False,False
34,11,u^11,z,u^11*34^-s,True,False,False
35,11,u^11,z,u^11*35^-s,True,False,False
36,11,u^11,z,u^11*36^-s,True,False,False
37,11,u^11,z,u^11*37^-s,True,False,False
38,11,u^11,z,u^11*38^-s,True,False,False
39,11,u^11,z,u^11*39^-s,True,False,False
40,11,u^11,z,u^11*40^-s,True,False,False
41,11,u^11,z,u^11*41^-s,True,False,False
42,11,u^11,z,u^11*42^-s,True,False,False
43,11,u^11,z,u^11*43^-s,True,False,False
44,11,u^11,z,u^11*44^-s,True,False,False
45,11,u^11,z,u^11*45^-s,True,False,False
46,11,u^11,z,u^11*46^-s,True,False,False
47,11,u^11,z,u^11*47^-s,True,False,False
48,11,u^11,z,u^11*48^-s,True,False,False
49,11,u^11,z,u^11*49^-s,True,False,False
50,11,u^11,z,u^11*50^-s,True,False,False
51,11,u^11,z,u^11*51^-s,True,False,False
52,11,u^11,z,u^11*52^-s,True,False,False
53,11,u^11,z,u^11*53^-s,True,False,False
54,11,u^11,z,u^11*54^-s,True,False,False
