label,gamma_code,gamma_length,repetition,observed_digit_exponent,expected_digit_exponent,return_exponent,exact
2,010,3,1,3,3,1,True
2,010,3,2,6,6,2,True
2,010,3,3,9,9,3,True
2,010,3,4,12,12,4,True
2,010,3,5,15,15,5,True
2,010,3,6,18,18,6,True
2,010,3,7,21,21,7,True
2,010,3,8,24,24,8,True
3,011,3,1,3,3,1,True
3,011,3,2,6,6,2,True
3,011,3,3,9,9,3,True
3,011,3,4,12,12,4,True
3,011,3,5,15,15,5,True
3,011,3,6,18,18,6,True
3,011,3,7,21,21,7,True
3,011,3,8,24,24,8,True
5,00101,5,1,5,5,1,True
5,00101,5,2,10,10,2,True
5,00101,5,3,15,15,3,True
5,00101,5,4,20,20,4,True
5,00101,5,5,25,25,5,True
5,00101,5,6,30,30,6,True
5,00101,5,7,35,35,7,True
5,00101,5,8,40,40,8,True
7,00111,5,1,5,5,1,True
7,00111,5,2,10,10,2,True
7,00111,5,3,15,15,3,True
7,00111,5,4,20,20,4,True
7,00111,5,5,25,25,5,True
7,00111,5,6,30,30,6,True
7,00111,5,7,35,35,7,True
7,00111,5,8,40,40,8,True
11,0001011,7,1,7,7,1,True
11,0001011,7,2,14,14,2,True
11,0001011,7,3,21,21,3,True
11,0001011,7,4,28,28,4,True
11,0001011,7,5,35,35,5,True
11,0001011,7,6,42,42,6,True
11,0001011,7,7,49,49,7,True
11,0001011,7,8,56,56,8,True
13,0001101,7,1,7,7,1,True
13,0001101,7,2,14,14,2,True
13,0001101,7,3,21,21,3,True
13,0001101,7,4,28,28,4,True
13,0001101,7,5,35,35,5,True
13,0001101,7,6,42,42,6,True
13,0001101,7,7,49,49,7,True
13,0001101,7,8,56,56,8,True
17,000010001,9,1,9,9,1,True
17,000010001,9,2,18,18,2,True
17,000010001,9,3,27,27,3,True
17,000010001,9,4,36,36,4,True
17,000010001,9,5,45,45,5,True
17,000010001,9,6,54,54,6,True
17,000010001,9,7,63,63,7,True
17,000010001,9,8,72,72,8,True
19,000010011,9,1,9,9,1,True
19,000010011,9,2,18,18,2,True
19,000010011,9,3,27,27,3,True
19,000010011,9,4,36,36,4,True
19,000010011,9,5,45,45,5,True
19,000010011,9,6,54,54,6,True
19,000010011,9,7,63,63,7,True
19,000010011,9,8,72,72,8,True
23,000010111,9,1,9,9,1,True
23,000010111,9,2,18,18,2,True
23,000010111,9,3,27,27,3,True
23,000010111,9,4,36,36,4,True
23,000010111,9,5,45,45,5,True
23,000010111,9,6,54,54,6,True
23,000010111,9,7,63,63,7,True
23,000010111,9,8,72,72,8,True
29,000011101,9,1,9,9,1,True
29,000011101,9,2,18,18,2,True
29,000011101,9,3,27,27,3,True
29,000011101,9,4,36,36,4,True
29,000011101,9,5,45,45,5,True
29,000011101,9,6,54,54,6,True
29,000011101,9,7,63,63,7,True
29,000011101,9,8,72,72,8,True
