label,cover_derived_atom,rank,trace,idempotent,oblique,entry_formula_exact,similarity_exact
1,False,1,1,True,True,True,True
2,True,1,1,True,True,True,True
3,True,1,1,True,True,True,True
4,False,1,1,True,True,True,True
5,True,1,1,True,True,True,True
6,False,1,1,True,True,True,True
7,True,1,1,True,True,True,True
8,False,1,1,True,True,True,True
9,False,1,1,True,True,True,True
10,False,1,1,True,True,True,True
11,True,1,1,True,True,True,True
12,False,1,1,True,True,True,True
13,True,1,1,True,True,True,True
14,False,1,1,True,True,True,True
15,False,1,1,True,True,True,True
16,False,1,1,True,True,True,True
17,True,1,1,True,True,True,True
18,False,1,1,True,True,True,True
19,True,1,1,True,True,True,True
20,False,1,1,True,True,True,True
21,False,1,1,True,True,True,True
22,False,1,1,True,True,True,True
23,True,1,1,True,True,True,True
24,False,1,1,True,True,True,True
25,False,1,1,True,True,True,True
26,False,1,1,True,True,True,True
27,False,1,1,True,True,True,True
28,False,1,1,True,True,True,True
29,True,1,1,True,True,True,True
30,False,1,1,True,True,True,True
