control,label,exact
downset_cutoff_restriction,1,True
downset_cutoff_restriction,2,True
downset_cutoff_restriction,3,True
downset_cutoff_restriction,4,True
downset_cutoff_restriction,5,True
downset_cutoff_restriction,6,True
downset_cutoff_restriction,7,True
downset_cutoff_restriction,8,True
downset_cutoff_restriction,9,True
downset_cutoff_restriction,10,True
downset_cutoff_restriction,11,True
downset_cutoff_restriction,12,True
downset_cutoff_restriction,13,True
downset_cutoff_restriction,14,True
downset_cutoff_restriction,15,True
downset_cutoff_restriction,16,True
downset_cutoff_restriction,17,True
downset_cutoff_restriction,18,True
source_relabeling_equivariance,2,True
source_relabeling_equivariance,9,True
source_relabeling_equivariance,4,True
source_relabeling_equivariance,11,True
source_relabeling_equivariance,6,True
source_relabeling_equivariance,1,True
source_relabeling_equivariance,8,True
source_relabeling_equivariance,3,True
source_relabeling_equivariance,10,True
source_relabeling_equivariance,5,True
source_relabeling_equivariance,12,True
source_relabeling_equivariance,7,True
