fixture,left_label,right_label,gram,diagonal,positive,nonnegative,symmetric,native_oblique,exact
standard_divisibility_N30,2,2,1241825507758477463/1084326484321080000,True,True,True,True,True,True
standard_divisibility_N30,2,3,313/405000,False,True,True,True,True,True
standard_divisibility_N30,2,5,41/405000,False,True,True,True,True,True
standard_divisibility_N30,3,2,313/405000,False,True,True,True,True,True
standard_divisibility_N30,3,3,85935484507/78764805000,True,True,True,True,True,True
standard_divisibility_N30,3,5,17/810000,False,True,True,True,True,True
standard_divisibility_N30,5,2,41/405000,False,True,True,True,True,True
standard_divisibility_N30,5,3,17/810000,False,True,True,True,True,True
standard_divisibility_N30,5,5,136553449/126562500,True,True,True,True,True,True
mutated_divisibility_N12,2,2,180897/160000,True,True,True,True,True,True
mutated_divisibility_N12,2,3,0,False,False,True,True,True,True
mutated_divisibility_N12,2,5,1/10000,False,True,True,True,True,True
mutated_divisibility_N12,2,6,0,False,False,True,True,True,True
mutated_divisibility_N12,3,2,0,False,False,True,True,True,True
mutated_divisibility_N12,3,3,863993/839808,True,True,True,True,True,True
mutated_divisibility_N12,3,5,0,False,False,True,True,True,True
mutated_divisibility_N12,3,6,1/20736,False,True,True,True,True,True
mutated_divisibility_N12,5,2,1/10000,False,True,True,True,True,True
mutated_divisibility_N12,5,3,0,False,False,True,True,True,True
mutated_divisibility_N12,5,5,5321/5000,True,True,True,True,True,True
mutated_divisibility_N12,5,6,0,False,False,True,True,True,True
mutated_divisibility_N12,6,2,0,False,False,True,True,True,True
mutated_divisibility_N12,6,3,1/20736,False,True,True,True,True,True
mutated_divisibility_N12,6,5,0,False,False,True,True,True,True
mutated_divisibility_N12,6,6,22049/20736,True,True,True,True,True,True
composite_only_divisibility_subposet,4,4,10537/10368,True,True,True,True,True,True
composite_only_divisibility_subposet,4,6,1/20736,False,True,True,True,True,True
composite_only_divisibility_subposet,4,9,0,False,False,True,True,True,True
composite_only_divisibility_subposet,6,4,1/20736,False,True,True,True,True,True
composite_only_divisibility_subposet,6,6,904009/839808,True,True,True,True,True,True
composite_only_divisibility_subposet,6,9,1/104976,False,True,True,True,True,True
composite_only_divisibility_subposet,9,4,0,False,False,True,True,True,True
composite_only_divisibility_subposet,9,6,1/104976,False,True,True,True,True,True
composite_only_divisibility_subposet,9,9,55777/52488,True,True,True,True,True,True
seeded_random_locally_finite_DAG,10,10,6410641/6250000,True,True,True,True,True,True
seeded_random_locally_finite_DAG,10,14,1/390625,False,True,True,True,True,True
seeded_random_locally_finite_DAG,10,21,0,False,False,True,True,True,True
seeded_random_locally_finite_DAG,14,10,1/390625,False,True,True,True,True,True
seeded_random_locally_finite_DAG,14,14,16482468097/15006250000,True,True,True,True,True,True
seeded_random_locally_finite_DAG,14,21,0,False,False,True,True,True,True
seeded_random_locally_finite_DAG,21,10,0,False,False,True,True,True,True
seeded_random_locally_finite_DAG,21,14,0,False,False,True,True,True,True
seeded_random_locally_finite_DAG,21,21,217431264964/179607287601,True,True,True,True,True,True
