alpha,beta,removes_divergence,preserves_baseline,cancels_controls,selective_solution
-2,-2,false,false,false,false
-2,-1,false,false,false,false
-2,-1/2,false,false,false,false
-2,0,false,true,false,false
-2,1/2,false,false,false,false
-2,1,false,false,true,false
-2,2,false,false,false,false
-1,-2,false,false,false,false
-1,-1,false,false,false,false
-1,-1/2,false,false,false,false
-1,0,false,true,false,false
-1,1/2,false,false,false,false
-1,1,false,false,true,false
-1,2,false,false,false,false
-1/2,-2,false,false,false,false
-1/2,-1,false,false,false,false
-1/2,-1/2,false,false,false,false
-1/2,0,false,true,false,false
-1/2,1/2,false,false,false,false
-1/2,1,false,false,true,false
-1/2,2,false,false,false,false
0,-2,false,false,false,false
0,-1,false,false,false,false
0,-1/2,false,false,false,false
0,0,false,true,false,false
0,1/2,false,false,false,false
0,1,false,false,true,false
0,2,false,false,false,false
1/2,-2,false,false,false,false
1/2,-1,false,false,false,false
1/2,-1/2,false,false,false,false
1/2,0,false,true,false,false
1/2,1/2,false,false,false,false
1/2,1,false,false,true,false
1/2,2,false,false,false,false
1,-2,true,false,false,false
1,-1,true,false,false,false
1,-1/2,true,false,false,false
1,0,true,true,false,false
1,1/2,true,false,false,false
1,1,true,false,true,false
1,2,true,false,false,false
2,-2,false,false,false,false
2,-1,false,false,false,false
2,-1/2,false,false,false,false
2,0,false,true,false,false
2,1/2,false,false,false,false
2,1,false,false,true,false
2,2,false,false,false,false
