cutoff,coefficient_S0,coefficient_S1,coefficient_S2,shift_value,atom_local,isomorphism_natural,prefix_additive
12,0,0,0,0,true,true,true
12,1,0,0,2351512537926707/32887427507550000,true,true,true
12,0,1,0,2593584941945698009/75969957542440500000,true,true,true
12,1/2,-1,2,3048848547900795663563/87745300961518777500000,true,true,true
12,-2,1/2,1,-9596379428436859843361/87745300961518777500000,true,true,true
18,0,0,0,0,true,true,true
18,1,0,0,1239795164847939411641852407/17337691547974399064012550000,true,true,true
18,0,1,0,302176330631042409813345830643889/8851064912156410466169046900500000,true,true,true
18,1/2,-1,2,78508907804429745398648889523419223783/2259278574152484553541980066587127500000,true,true,true
18,-2,1/2,1,-247119011401536877482670694806996019701/2259278574152484553541980066587127500000,true,true,true
30,0,0,0,0,true,true,true
30,1,0,0,405279370156083846477745209935116128375704755351/5667459777354529661710447865095133373707142150000,true,true,true
30,0,1,0,1251808245406690432445953487128200364938844315887263979121/36666726152847907862202274773073937693820157570502644500000,true,true,true
30,1/2,-1,2,4121752494495238034905804601258642448128244704500042056730392337351/118611234978672027357876914994978120493575043135707103409373367500000,true,true,true
30,-2,1/2,1,-12973935316470767017309568884286712579423821859504491408083981259797/118611234978672027357876914994978120493575043135707103409373367500000,true,true,true
