source,kind,atom_weights,UJ,BI,MU,RM,TA,full,coefficient
mutated_cover_promote_6,pair,2*3,false,false,false,false,false,false,0
mutated_cover_promote_6,pair,2*5,true,true,true,true,true,true,1/1000000000
mutated_cover_promote_6,pair,2*6,true,false,true,true,true,false,0
mutated_cover_promote_6,pair,2*7,true,true,true,true,true,true,1/20661046784
mutated_cover_promote_6,pair,2*11,false,false,false,false,false,false,0
mutated_cover_promote_6,pair,2*13,false,false,false,false,false,false,0
mutated_cover_promote_6,pair,2*17,false,false,false,false,false,false,0
mutated_cover_promote_6,pair,3*5,true,true,true,true,true,true,1/38443359375
mutated_cover_promote_6,pair,3*6,true,false,true,true,true,false,0
mutated_cover_promote_6,pair,3*7,false,false,false,false,false,false,0
mutated_cover_promote_6,pair,3*11,false,false,false,false,false,false,0
mutated_cover_promote_6,pair,3*13,false,false,false,false,false,false,0
mutated_cover_promote_6,pair,3*17,false,false,false,false,false,false,0
mutated_cover_promote_6,pair,5*6,false,false,false,false,false,false,0
mutated_cover_promote_6,pair,5*7,false,false,false,false,false,false,0
mutated_cover_promote_6,pair,5*11,false,false,false,false,false,false,0
mutated_cover_promote_6,pair,5*13,false,false,false,false,false,false,0
mutated_cover_promote_6,pair,5*17,false,false,false,false,false,false,0
mutated_cover_promote_6,pair,6*7,false,false,false,false,false,false,0
mutated_cover_promote_6,pair,6*11,false,false,false,false,false,false,0
mutated_cover_promote_6,pair,6*13,false,false,false,false,false,false,0
mutated_cover_promote_6,pair,6*17,false,false,false,false,false,false,0
mutated_cover_promote_6,pair,7*11,false,false,false,false,false,false,0
mutated_cover_promote_6,pair,7*13,false,false,false,false,false,false,0
mutated_cover_promote_6,pair,7*17,false,false,false,false,false,false,0
mutated_cover_promote_6,pair,11*13,false,false,false,false,false,false,0
mutated_cover_promote_6,pair,11*17,false,false,false,false,false,false,0
mutated_cover_promote_6,pair,13*17,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,2*3*5,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,2*3*6,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,2*3*7,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,2*3*11,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,2*3*13,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,2*3*17,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,2*5*6,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,2*5*7,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,2*5*11,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,2*5*13,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,2*5*17,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,2*6*7,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,2*6*11,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,2*6*13,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,2*6*17,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,2*7*11,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,2*7*13,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,2*7*17,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,2*11*13,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,2*11*17,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,2*13*17,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,3*5*6,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,3*5*7,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,3*5*11,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,3*5*13,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,3*5*17,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,3*6*7,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,3*6*11,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,3*6*13,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,3*6*17,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,3*7*11,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,3*7*13,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,3*7*17,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,3*11*13,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,3*11*17,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,3*13*17,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,5*6*7,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,5*6*11,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,5*6*13,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,5*6*17,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,5*7*11,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,5*7*13,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,5*7*17,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,5*11*13,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,5*11*17,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,5*13*17,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,6*7*11,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,6*7*13,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,6*7*17,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,6*11*13,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,6*11*17,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,6*13*17,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,7*11*13,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,7*11*17,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,7*13*17,false,false,false,false,false,false,0
mutated_cover_promote_6,triple,11*13*17,false,false,false,false,false,false,0
composite_only,pair,4*6,true,true,true,false,true,false,0
composite_only,pair,4*9,true,false,false,true,true,false,0
composite_only,pair,6*9,true,true,true,false,true,false,0
composite_only,triple,4*6*9,true,false,false,false,true,false,0
seeded_generic_dag_29031,pair,10*14,false,false,false,false,false,false,0
seeded_generic_dag_29031,pair,10*21,false,false,false,false,false,false,0
seeded_generic_dag_29031,pair,10*25,true,true,true,false,true,false,0
seeded_generic_dag_29031,pair,14*21,false,false,false,false,false,false,0
seeded_generic_dag_29031,pair,14*25,false,false,false,false,false,false,0
seeded_generic_dag_29031,pair,21*25,false,false,false,false,false,false,0
