left,right,X_left,X_right,ordinary_polynomial_sum,required_target,ordinary_sum_is_required_monic_monomial
1,1,1,1,(1)+(1),x_2,0
1,2,1,x_2,(1)+(x_2),x_3,0
1,3,1,x_3,(1)+(x_3),x_2^2,0
1,4,1,x_2^2,(1)+(x_2^2),x_5,0
1,5,1,x_5,(1)+(x_5),x_2*x_3,0
1,6,1,x_2*x_3,(1)+(x_2*x_3),x_7,0
1,7,1,x_7,(1)+(x_7),x_2^3,0
1,8,1,x_2^3,(1)+(x_2^3),x_3^2,0
1,9,1,x_3^2,(1)+(x_3^2),x_2*x_5,0
1,10,1,x_2*x_5,(1)+(x_2*x_5),x_11,0
1,11,1,x_11,(1)+(x_11),x_2^2*x_3,0
1,12,1,x_2^2*x_3,(1)+(x_2^2*x_3),x_13,0
2,1,x_2,1,(x_2)+(1),x_3,0
2,2,x_2,x_2,(x_2)+(x_2),x_2^2,0
2,3,x_2,x_3,(x_2)+(x_3),x_5,0
2,4,x_2,x_2^2,(x_2)+(x_2^2),x_2*x_3,0
2,5,x_2,x_5,(x_2)+(x_5),x_7,0
2,6,x_2,x_2*x_3,(x_2)+(x_2*x_3),x_2^3,0
2,7,x_2,x_7,(x_2)+(x_7),x_3^2,0
2,8,x_2,x_2^3,(x_2)+(x_2^3),x_2*x_5,0
2,9,x_2,x_3^2,(x_2)+(x_3^2),x_11,0
2,10,x_2,x_2*x_5,(x_2)+(x_2*x_5),x_2^2*x_3,0
2,11,x_2,x_11,(x_2)+(x_11),x_13,0
2,12,x_2,x_2^2*x_3,(x_2)+(x_2^2*x_3),x_2*x_7,0
3,1,x_3,1,(x_3)+(1),x_2^2,0
3,2,x_3,x_2,(x_3)+(x_2),x_5,0
3,3,x_3,x_3,(x_3)+(x_3),x_2*x_3,0
3,4,x_3,x_2^2,(x_3)+(x_2^2),x_7,0
3,5,x_3,x_5,(x_3)+(x_5),x_2^3,0
3,6,x_3,x_2*x_3,(x_3)+(x_2*x_3),x_3^2,0
